architecture,seed,true_phase,predicted_phase,count,row_fraction
gru64_progress,11,0,0,779,0.6105015673981191
gru64_progress,11,0,1,207,0.16222570532915362
gru64_progress,11,0,2,144,0.11285266457680251
gru64_progress,11,0,3,146,0.11442006269592477
gru64_progress,11,0,4,0,0.0
gru64_progress,11,0,5,0,0.0
gru64_progress,11,0,6,0,0.0
gru64_progress,11,0,7,0,0.0
gru64_progress,11,0,8,0,0.0
gru64_progress,11,0,9,0,0.0
gru64_progress,11,1,0,245,0.2045075125208681
gru64_progress,11,1,1,761,0.6352253756260434
gru64_progress,11,1,2,180,0.15025041736227046
gru64_progress,11,1,3,12,0.01001669449081803
gru64_progress,11,1,4,0,0.0
gru64_progress,11,1,5,0,0.0
gru64_progress,11,1,6,0,0.0
gru64_progress,11,1,7,0,0.0
gru64_progress,11,1,8,0,0.0
gru64_progress,11,1,9,0,0.0
gru64_progress,11,2,0,1,0.0008257638315441783
gru64_progress,11,2,1,305,0.2518579686209744
gru64_progress,11,2,2,561,0.4632535094962841
gru64_progress,11,2,3,265,0.21882741535920727
gru64_progress,11,2,4,75,0.061932287365813375
gru64_progress,11,2,5,3,0.002477291494632535
gru64_progress,11,2,6,1,0.0008257638315441783
gru64_progress,11,2,7,0,0.0
gru64_progress,11,2,8,0,0.0
gru64_progress,11,2,9,0,0.0
gru64_progress,11,3,0,0,0.0
gru64_progress,11,3,1,62,0.05136702568351284
gru64_progress,11,3,2,273,0.22618061309030654
gru64_progress,11,3,3,421,0.3487986743993372
gru64_progress,11,3,4,346,0.2866611433305717
gru64_progress,11,3,5,84,0.0695940347970174
gru64_progress,11,3,6,13,0.010770505385252692
gru64_progress,11,3,7,6,0.004971002485501243
gru64_progress,11,3,8,2,0.0016570008285004142
gru64_progress,11,3,9,0,0.0
gru64_progress,11,4,0,0,0.0
gru64_progress,11,4,1,6,0.005089058524173028
gru64_progress,11,4,2,138,0.11704834605597965
gru64_progress,11,4,3,230,0.19508057675996607
gru64_progress,11,4,4,410,0.3477523324851569
gru64_progress,11,4,5,274,0.23240033927056827
gru64_progress,11,4,6,98,0.08312128922815945
gru64_progress,11,4,7,11,0.009329940627650551
gru64_progress,11,4,8,12,0.010178117048346057
gru64_progress,11,4,9,0,0.0
gru64_progress,11,5,0,0,0.0
gru64_progress,11,5,1,0,0.0
gru64_progress,11,5,2,34,0.027597402597402596
gru64_progress,11,5,3,148,0.12012987012987013
gru64_progress,11,5,4,331,0.26866883116883117
gru64_progress,11,5,5,359,0.2913961038961039
gru64_progress,11,5,6,216,0.17532467532467533
gru64_progress,11,5,7,108,0.08766233766233766
gru64_progress,11,5,8,23,0.018668831168831168
gru64_progress,11,5,9,13,0.010551948051948052
gru64_progress,11,6,0,0,0.0
gru64_progress,11,6,1,0,0.0
gru64_progress,11,6,2,2,0.0016406890894175555
gru64_progress,11,6,3,60,0.04922067268252666
gru64_progress,11,6,4,166,0.1361771944216571
gru64_progress,11,6,5,351,0.28794093519278097
gru64_progress,11,6,6,289,0.23707957342083674
gru64_progress,11,6,7,220,0.1804757998359311
gru64_progress,11,6,8,94,0.0771123872026251
gru64_progress,11,6,9,37,0.030352748154224774
gru64_progress,11,7,0,0,0.0
gru64_progress,11,7,1,0,0.0
gru64_progress,11,7,2,0,0.0
gru64_progress,11,7,3,13,0.010842368640533779
gru64_progress,11,7,4,117,0.097581317764804
gru64_progress,11,7,5,177,0.14762301918265222
gru64_progress,11,7,6,286,0.23853211009174313
gru64_progress,11,7,7,302,0.2518765638031693
gru64_progress,11,7,8,253,0.21100917431192662
gru64_progress,11,7,9,51,0.042535446205170975
gru64_progress,11,8,0,0,0.0
gru64_progress,11,8,1,0,0.0
gru64_progress,11,8,2,0,0.0
gru64_progress,11,8,3,0,0.0
gru64_progress,11,8,4,57,0.047107438016528926
gru64_progress,11,8,5,117,0.09669421487603305
gru64_progress,11,8,6,193,0.15950413223140497
gru64_progress,11,8,7,299,0.24710743801652893
gru64_progress,11,8,8,477,0.3942148760330578
gru64_progress,11,8,9,67,0.05537190082644628
gru64_progress,11,9,0,0,0.0
gru64_progress,11,9,1,0,0.0
gru64_progress,11,9,2,0,0.0
gru64_progress,11,9,3,0,0.0
gru64_progress,11,9,4,30,0.026292725679228746
gru64_progress,11,9,5,63,0.05521472392638037
gru64_progress,11,9,6,100,0.0876424189307625
gru64_progress,11,9,7,178,0.15600350569675722
gru64_progress,11,9,8,531,0.4653812445223488
gru64_progress,11,9,9,239,0.20946538124452235
gru64_progress,23,0,0,918,0.719435736677116
gru64_progress,23,0,1,212,0.16614420062695925
