architecture,routing,seed,oracle_test_balanced_accuracy,predicted_test_balanced_accuracy,delta_pred_minus_oracle,gap_oracle_minus_pred
gru64_progress,hard,11,0.7153339715839716,0.427997002997003,-0.2873369685869686,0.2873369685869686
gru64_progress,local2,11,0.7194375069375071,0.4474775224775225,-0.2719599844599846,0.2719599844599846
gru64_progress,hard,23,0.630476467976468,0.3681034243534244,-0.26237304362304353,0.26237304362304353
gru64_progress,local2,23,0.6428391053391054,0.3690954878454879,-0.2737436174936175,0.2737436174936175
gru64_progress,hard,37,0.7174152236652236,0.4387230824730824,-0.2786921411921412,0.2786921411921412
gru64_progress,local2,37,0.7038870851370852,0.43709970584970587,-0.26678737928737933,0.26678737928737933
gru64_progress,hard,53,0.7077200577200577,0.4254807692307692,-0.28223928848928853,0.28223928848928853
gru64_progress,local2,53,0.6937340437340437,0.42534548784548787,-0.2683885558885558,0.2683885558885558
gru64_progress,hard,71,0.6622655122655122,0.3973353035853036,-0.2649302086802086,0.2649302086802086
gru64_progress,local2,71,0.6827380952380953,0.3738504551004551,-0.30888764013764014,0.30888764013764014
rsnn64_progress,hard,11,0.7153339715839716,0.41132131757131757,-0.30401265401265404,0.30401265401265404
rsnn64_progress,local2,11,0.7194375069375071,0.42606698856698855,-0.29337051837051853,0.29337051837051853
rsnn64_progress,hard,23,0.630476467976468,0.32873862248862246,-0.3017378454878455,0.3017378454878455
rsnn64_progress,local2,23,0.6428391053391054,0.32903832278832273,-0.31380078255078264,0.31380078255078264
rsnn64_progress,hard,37,0.7174152236652236,0.44202394827394825,-0.27539127539127534,0.27539127539127534
rsnn64_progress,local2,37,0.7038870851370852,0.452763209013209,-0.2511238761238762,0.2511238761238762
rsnn64_progress,hard,53,0.7077200577200577,0.4311015373515373,-0.27661852036852047,0.27661852036852047
rsnn64_progress,local2,53,0.6937340437340437,0.4383075258075258,-0.2554265179265179,0.2554265179265179
rsnn64_progress,hard,71,0.6622655122655122,0.2979194416694417,-0.36434607059607055,0.36434607059607055
rsnn64_progress,local2,71,0.6827380952380953,0.31669233544233544,-0.3660457597957598,0.3660457597957598
