when,seed,split,sample_balanced_progress_mae,sample_balanced_smooth_l1,progress_r2,progress_spearman,sample_balanced_phase10_accuracy,sample_balanced_mean_abs_bin_error,sample_balanced_within1_bin_accuracy,sample_balanced_progress_backtrack_rate,sample_balanced_phase_backtrack_rate,n_samples,n_valid_timesteps
oracle,11,test,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,
oracle,23,test,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,
oracle,37,test,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,
oracle,53,test,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,
oracle,71,test,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,
gru64_progress,11,test,0.10307601413925369,0.06578796028185281,0.7997864783598365,0.8991007384667726,0.35213491371707717,1.0195085209920653,0.748903323434795,0.24814648603882666,0.054585499536054946,146.0,12072.0
gru64_progress,11,train,0.07475919584170501,0.040599182939262256,0.8618072834056072,0.9427028820959779,0.44970955166567966,0.7240798720996829,0.8643962135681048,0.24384241983872004,0.04700126228298575,581.0,59707.0
gru64_progress,11,val,0.09048971577415511,0.054308194183883655,0.8291777257951696,0.910132212893837,0.3863045157737993,0.8876481649483791,0.7964851071864202,0.24330122622231753,0.05058882544726509,126.0,11391.0
gru64_progress,23,test,0.09676436618255085,0.06049051642501957,0.817899240458689,0.9095628163933356,0.385027698251651,0.9588304415604599,0.7758746713030256,0.20272824234309822,0.03588810768726044,146.0,12072.0
gru64_progress,23,train,0.06339536993537197,0.03151383037066408,0.8914491018923073,0.9600459055401219,0.5099514657049962,0.6133186129062181,0.9068139697677223,0.19863137690868526,0.030280191469342296,581.0,59707.0
gru64_progress,23,val,0.09081244721553049,0.05440578534791003,0.8286386823729601,0.9114914188704022,0.3820849291509867,0.8996745564250526,0.7923314268408409,0.20815722718830307,0.03487869699939715,126.0,11391.0
gru64_progress,37,test,0.09428719072374395,0.05787728351540123,0.8247194352304245,0.9104584945796174,0.3897587602781247,0.916705454502135,0.7849262996345451,0.2076285725722079,0.03552487704516483,146.0,12072.0
gru64_progress,37,train,0.0729265751013713,0.03895683233757241,0.8657862123921023,0.9506837598606511,0.4627243079168267,0.6992136168984756,0.8749084432206652,0.2036590200726755,0.030576114759824104,581.0,59707.0
gru64_progress,37,val,0.08959949741879829,0.05334452219509358,0.8321160406907875,0.9123430362229598,0.3918939649172286,0.8723111810051222,0.8024588875157364,0.19527602423335738,0.03296664430557724,126.0,11391.0
gru64_progress,53,test,0.09640165661883668,0.059989523900630004,0.8202224449981574,0.9082319436928603,0.37939860257662067,0.9531847433222083,0.7746020884095683,0.1999591625871426,0.03488011376757392,146.0,12072.0
gru64_progress,53,train,0.06251306233295696,0.0306648732523371,0.8975305123791671,0.9599905240164551,0.5109901545764814,0.603379942767139,0.9114694097419997,0.19599965289783516,0.030479930251690834,581.0,59707.0
gru64_progress,53,val,0.09471085293201793,0.058237376798396454,0.8160038166326814,0.9024399448276491,0.3817928737336491,0.9296602686922241,0.7779338215284836,0.2002003101304826,0.035503410040787185,126.0,11391.0
gru64_progress,71,test,0.09625163178472614,0.05939662960566392,0.8243853990078267,0.9086591611046511,0.37494620061697986,0.9331064875761559,0.7806056297340471,0.23237977010302788,0.03828906747256606,146.0,12072.0
gru64_progress,71,train,0.07263297387640621,0.03872360922916723,0.865584462279539,0.9446302690958387,0.4670717355281388,0.6914744271563017,0.8793714141554374,0.2257735843437623,0.03382136766541585,581.0,59707.0
gru64_progress,71,val,0.08893883427299937,0.052839738330018524,0.834839329584625,0.912872532446749,0.39938579805185837,0.8574390609534683,0.8145007251968428,0.22334156415476528,0.03547464564217167,126.0,11391.0
rsnn64_progress,11,test,0.1465510895737487,0.1037092151934706,0.6310940942030988,0.7818230617622712,0.22136069443217712,1.3774707461624396,0.606890256686058,0.355228609467728,0.06766790300871371,146.0,12072.0
rsnn64_progress,11,train,0.10418024105205996,0.0659073509478666,0.7487122810973041,0.8669656752829602,0.3400237332815778,0.9760879575923452,0.7616297921397525,0.35224154372231403,0.06213535231255063,581.0,59707.0
rsnn64_progress,11,val,0.14225252797404367,0.09957550523217136,0.6281014985824582,0.7761269612644572,0.22397638280167836,1.3376797908959637,0.6143024451400042,0.33316103242539596,0.06007321439687179,126.0,11391.0
rsnn64_progress,23,test,0.14074167727334017,0.09808025342362603,0.6716880078759961,0.8065654197763589,0.21371194656946757,1.4563522758258913,0.562917816156173,0.3470408397100685,0.07966464216814556,146.0,12072.0
rsnn64_progress,23,train,0.10108426209927208,0.06359218694395373,0.7556387912005019,0.8732548704296312,0.3548634412728843,1.0392464768397094,0.7534077835454053,0.3542296882258025,0.07085530144792532,581.0,59707.0
rsnn64_progress,23,val,0.14656669515336843,0.1037355061640612,0.6031738278446559,0.757758941068474,0.20912402622628673,1.513024344286241,0.5684399207585372,0.33685556043086384,0.0697804082077216,126.0,11391.0
rsnn64_progress,37,test,0.1429452030484,0.1003058998803717,0.651095776035816,0.7999914530052805,0.21519116248099587,1.4785016600583767,0.5625508094422383,0.351374563994166,0.08763789169479912,146.0,12072.0
rsnn64_progress,37,train,0.1023844863637666,0.06470878376878089,0.7605338886120487,0.8825460423687835,0.35430792585683984,1.0465901739837258,0.742787528748993,0.35713193767598,0.07744693543826797,581.0,59707.0
rsnn64_progress,37,val,0.14217875137600036,0.0996638744629383,0.6270117494858559,0.7865910017587582,0.2209528113588053,1.4653528514684215,0.5667316673735875,0.3471542301917985,0.07598905189166708,126.0,11391.0
rsnn64_progress,53,test,0.14026685132602,0.09789214970376538,0.6632833614003764,0.8064157521439917,0.21896978658600602,1.465509138109872,0.5646049195087725,0.33857308075965536,0.07618530885172678,146.0,12072.0
rsnn64_progress,53,train,0.09988500008830611,0.06248568262726285,0.7696062102002721,0.8829070495482273,0.36325866106360466,1.0280290626565913,0.7515859967846464,0.33860947309465644,0.06761485034512309,581.0,59707.0
rsnn64_progress,53,val,0.13916392915130327,0.09682713193422778,0.6485602567330864,0.8032122150366059,0.22256470450614524,1.4395709970642792,0.5814721931836001,0.329218156371902,0.0692934262974044,126.0,11391.0
rsnn64_progress,71,test,0.1391377946253628,0.09669872870656991,0.6630607612409669,0.8082686791548442,0.2228398703680155,1.4484824653305417,0.5740282697785831,0.3412351499862613,0.07785837078702756,146.0,12072.0
rsnn64_progress,71,train,0.10997493099153037,0.07124563277276656,0.7220704293661901,0.8625412486250825,0.32472844896405095,1.1324621587903607,0.718111006503526,0.34561179836463746,0.07125958303201083,581.0,59707.0
rsnn64_progress,71,val,0.14284135347235646,0.10040852466968639,0.6260487085409434,0.784936826158771,0.2213594333766592,1.4797262992327234,0.5723671713040903,0.3322073177259072,0.07232264596294896,126.0,11391.0
