experiment,split_seed,representation_family,condition,normalization,n_bins,requested_duration_ms,samples_per_bin,actual_duration_ms,feature_dim,classifier,eval_split,accuracy,balanced_accuracy,macro_f1
experiment_1_3_1,11,relative_progress,relative_1bin,raw,1,,,,30,linear,val,0.3392857142857143,0.3398923992673992,0.32274066194280954
experiment_1_3_1,11,relative_progress,relative_1bin,raw,1,,,,30,linear,test,0.4519230769230769,0.4411696623093682,0.4352431585260292
experiment_1_3_1,11,relative_progress,relative_1bin,raw,1,,,,30,5nn,val,0.2857142857142857,0.2711538461538462,0.25539138281073764
experiment_1_3_1,11,relative_progress,relative_1bin,raw,1,,,,30,5nn,test,0.30288461538461536,0.2975217864923747,0.29405606389926736
experiment_1_3_1,11,relative_progress,relative_4bin,raw,4,,,,120,linear,val,0.5,0.4903235653235653,0.49734975089268535
experiment_1_3_1,11,relative_progress,relative_4bin,raw,4,,,,120,linear,test,0.7836538461538461,0.780126633986928,0.7754696572730029
experiment_1_3_1,11,relative_progress,relative_4bin,raw,4,,,,120,5nn,val,0.4166666666666667,0.4081692612942613,0.3998921472818395
experiment_1_3_1,11,relative_progress,relative_4bin,raw,4,,,,120,5nn,test,0.6105769230769231,0.5985566448801742,0.5889323607309933
experiment_1_3_1,11,relative_progress,relative_10bin,raw,10,,,,300,linear,val,0.5476190476190477,0.5299068986568987,0.5265747592191816
experiment_1_3_1,11,relative_progress,relative_10bin,raw,10,,,,300,linear,test,0.8173076923076923,0.817824074074074,0.8150728645096385
experiment_1_3_1,11,relative_progress,relative_10bin,raw,10,,,,300,5nn,val,0.39285714285714285,0.37061965811965814,0.3567748126007267
experiment_1_3_1,11,relative_progress,relative_10bin,raw,10,,,,300,5nn,test,0.6634615384615384,0.647208605664488,0.6361834126891406
experiment_1_3_1,11,relative_progress,relative_20bin,raw,20,,,,600,linear,val,0.4880952380952381,0.46637667887667894,0.45367505453228724
experiment_1_3_1,11,relative_progress,relative_20bin,raw,20,,,,600,linear,test,0.8028846153846154,0.7967184095860566,0.801274940977246
experiment_1_3_1,11,relative_progress,relative_20bin,raw,20,,,,600,5nn,val,0.19642857142857142,0.18266178266178268,0.1586492791096372
experiment_1_3_1,11,relative_progress,relative_20bin,raw,20,,,,600,5nn,test,0.40384615384615385,0.394607843137255,0.4064961200077868
experiment_1_3_1,23,relative_progress,relative_1bin,raw,1,,,,30,linear,val,0.46408839779005523,0.47059923328305686,0.44225294112464497
experiment_1_3_1,23,relative_progress,relative_1bin,raw,1,,,,30,linear,test,0.4067796610169492,0.38381866635543105,0.3640365719025651
experiment_1_3_1,23,relative_progress,relative_1bin,raw,1,,,,30,5nn,val,0.26519337016574585,0.2612169012904307,0.24039239703834733
experiment_1_3_1,23,relative_progress,relative_1bin,raw,1,,,,30,5nn,test,0.2824858757062147,0.2706349206349206,0.2611129770612529
experiment_1_3_1,23,relative_progress,relative_4bin,raw,4,,,,120,linear,val,0.6077348066298343,0.6080039173789173,0.6039967837582112
experiment_1_3_1,23,relative_progress,relative_4bin,raw,4,,,,120,linear,test,0.655367231638418,0.63822848583878,0.6390683908574157
experiment_1_3_1,23,relative_progress,relative_4bin,raw,4,,,,120,5nn,val,0.5082872928176796,0.5123303167420815,0.4988595138436336
experiment_1_3_1,23,relative_progress,relative_4bin,raw,4,,,,120,5nn,test,0.5706214689265536,0.555070222533458,0.5603340357896468
experiment_1_3_1,23,relative_progress,relative_10bin,raw,10,,,,300,linear,val,0.6906077348066298,0.6866159711747947,0.6921542253939362
experiment_1_3_1,23,relative_progress,relative_10bin,raw,10,,,,300,linear,test,0.6949152542372882,0.6836465141612201,0.7002844000714182
experiment_1_3_1,23,relative_progress,relative_10bin,raw,10,,,,300,5nn,val,0.4530386740331492,0.43664268057650407,0.44920773127205654
experiment_1_3_1,23,relative_progress,relative_10bin,raw,10,,,,300,5nn,test,0.5254237288135594,0.5012439698101463,0.5159427280950343
experiment_1_3_1,23,relative_progress,relative_20bin,raw,20,,,,600,linear,val,0.6740331491712708,0.6623214136081783,0.6626354360363274
experiment_1_3_1,23,relative_progress,relative_20bin,raw,20,,,,600,linear,test,0.6101694915254238,0.5940991674447558,0.6140245324229351
experiment_1_3_1,23,relative_progress,relative_20bin,raw,20,,,,600,5nn,val,0.2430939226519337,0.23020833333333332,0.19512860031649062
experiment_1_3_1,23,relative_progress,relative_20bin,raw,20,,,,600,5nn,test,0.3050847457627119,0.2898002256458139,0.3140428500747708
experiment_1_3_1,37,relative_progress,relative_1bin,raw,1,,,,30,linear,val,0.4602272727272727,0.4578013149704326,0.44226970242182057
experiment_1_3_1,37,relative_progress,relative_1bin,raw,1,,,,30,linear,test,0.41139240506329117,0.39910228660228664,0.3922736586529689
experiment_1_3_1,37,relative_progress,relative_1bin,raw,1,,,,30,5nn,val,0.32954545454545453,0.3184698879551821,0.3124655619632318
experiment_1_3_1,37,relative_progress,relative_1bin,raw,1,,,,30,5nn,test,0.2911392405063291,0.2853028915528915,0.2640145443406313
experiment_1_3_1,37,relative_progress,relative_4bin,raw,4,,,,120,linear,val,0.7386363636363636,0.7405219032057268,0.7403192699638778
experiment_1_3_1,37,relative_progress,relative_4bin,raw,4,,,,120,linear,test,0.6265822784810127,0.6415952103452104,0.6402107425886161
experiment_1_3_1,37,relative_progress,relative_4bin,raw,4,,,,120,5nn,val,0.5795454545454546,0.5649587612822906,0.5567108288866954
experiment_1_3_1,37,relative_progress,relative_4bin,raw,4,,,,120,5nn,test,0.569620253164557,0.5533480408480408,0.5464381517218003
experiment_1_3_1,37,relative_progress,relative_10bin,raw,10,,,,300,linear,val,0.7556818181818182,0.74994650638033,0.7494463765825327
