sample_id,valid_length,package_padded_length,tail_timesteps,max_abs_event_in_padding
user_0/action_0/24,72,256,184,0.0
user_0/action_0/25,128,256,128,0.0
user_0/action_0/26,106,256,150,0.0
user_0/action_0/27,122,256,134,0.0
user_0/action_0/31,124,256,132,0.0
user_0/action_0/35,85,256,171,0.0
user_0/action_0/37,59,256,197,0.0
user_0/action_0/38,110,256,146,0.0
user_0/action_0/39,128,256,128,0.0
user_0/action_0/42,120,256,136,0.0
user_0/action_0/44,129,256,127,0.0
user_0/action_0/72,78,256,178,0.0
user_0/action_0/74,121,256,135,0.0
user_0/action_0/76,72,256,184,0.0
user_0/action_0/78,110,256,146,0.0
user_0/action_0/81,121,256,135,0.0
user_0/action_0/82,129,256,127,0.0
user_0/action_0/83,132,256,124,0.0
user_0/action_0/84,81,256,175,0.0
user_0/action_0/85,130,256,126,0.0
user_0/action_0/86,119,256,137,0.0
user_0/action_0/90,68,256,188,0.0
user_1/action_0/27,86,256,170,0.0
user_1/action_0/28,112,256,144,0.0
user_1/action_0/29,88,256,168,0.0
user_1/action_0/30,125,256,131,0.0
user_1/action_0/34,99,256,157,0.0
user_1/action_0/38,79,256,177,0.0
user_1/action_0/40,52,256,204,0.0
user_1/action_0/41,96,256,160,0.0
user_1/action_0/42,118,256,138,0.0
user_1/action_0/45,106,256,150,0.0
user_1/action_0/47,100,256,156,0.0
user_1/action_0/71,108,256,148,0.0
user_1/action_0/73,87,256,169,0.0
user_1/action_0/76,109,256,147,0.0
user_1/action_0/78,81,256,175,0.0
user_1/action_0/80,77,256,179,0.0
user_1/action_0/81,49,256,207,0.0
user_1/action_0/82,102,256,154,0.0
user_1/action_0/84,74,256,182,0.0
user_1/action_0/86,88,256,168,0.0
user_1/action_0/89,67,256,189,0.0
user_1/action_0/91,61,256,195,0.0
user_1/action_0/114,107,256,149,0.0
user_1/action_0/115,81,256,175,0.0
user_1/action_0/117,86,256,170,0.0
user_1/action_0/121,77,256,179,0.0
user_1/action_0/127,67,256,189,0.0
user_1/action_0/130,102,256,154,0.0
user_1/action_0/131,98,256,158,0.0
user_1/action_0/132,60,256,196,0.0
user_1/action_0/133,92,256,164,0.0
user_1/action_0/134,95,256,161,0.0
user_2/action_0/26,104,256,152,0.0
user_2/action_0/27,115,256,141,0.0
user_2/action_0/28,83,256,173,0.0
