representation_family,condition,normalization,n_bins,requested_duration_ms,samples_per_bin,actual_duration_ms,feature_dim,classifier,eval_split,mean_balanced_accuracy,sd_balanced_accuracy,n_splits
fixed_duration,fixed_0050ms_raw,raw,86,50.0,3.0,46.875,2580,5nn,test,0.14802355460443697,0.04012039347486819,5
fixed_duration,fixed_0050ms_raw,raw,86,50.0,3.0,46.875,2580,5nn,val,0.12098807539210017,0.04142602715254743,5
fixed_duration,fixed_0050ms_raw,raw,86,50.0,3.0,46.875,2580,linear,test,0.4238027182512477,0.031183525640624776,5
fixed_duration,fixed_0050ms_raw,raw,86,50.0,3.0,46.875,2580,linear,val,0.4062996677528411,0.06871234941448158,5
fixed_duration,fixed_0050ms_unit_total_intensity,unit_total_intensity,86,50.0,3.0,46.875,2580,5nn,test,0.09979808590102708,0.01292175396544257,5
fixed_duration,fixed_0050ms_unit_total_intensity,unit_total_intensity,86,50.0,3.0,46.875,2580,5nn,val,0.10140163757810816,0.007936023094088,5
fixed_duration,fixed_0050ms_unit_total_intensity,unit_total_intensity,86,50.0,3.0,46.875,2580,linear,test,0.3611920949420949,0.02580671829474416,5
fixed_duration,fixed_0050ms_unit_total_intensity,unit_total_intensity,86,50.0,3.0,46.875,2580,linear,val,0.3932356485104163,0.038954017401195834,5
fixed_duration,fixed_0150ms_raw,raw,26,150.0,10.0,156.25,780,5nn,test,0.36354808318043613,0.04517014190550248,5
fixed_duration,fixed_0150ms_raw,raw,26,150.0,10.0,156.25,780,5nn,val,0.33659051632348846,0.0891300571235573,5
fixed_duration,fixed_0150ms_raw,raw,26,150.0,10.0,156.25,780,linear,test,0.5786265069353305,0.05439629227622027,5
fixed_duration,fixed_0150ms_raw,raw,26,150.0,10.0,156.25,780,linear,val,0.5914938631772998,0.0737224341008146,5
fixed_duration,fixed_0150ms_unit_total_intensity,unit_total_intensity,26,150.0,10.0,156.25,780,5nn,test,0.3712387843637844,0.03711741829123176,5
fixed_duration,fixed_0150ms_unit_total_intensity,unit_total_intensity,26,150.0,10.0,156.25,780,5nn,val,0.3669981806262766,0.058356670757959715,5
fixed_duration,fixed_0150ms_unit_total_intensity,unit_total_intensity,26,150.0,10.0,156.25,780,linear,test,0.5258278459013754,0.06869379490313877,5
fixed_duration,fixed_0150ms_unit_total_intensity,unit_total_intensity,26,150.0,10.0,156.25,780,linear,val,0.5269777030245297,0.07312603839583888,5
fixed_duration,fixed_0250ms_raw,raw,16,250.0,16.0,250.0,480,5nn,test,0.42987119906237553,0.042157185144352814,5
fixed_duration,fixed_0250ms_raw,raw,16,250.0,16.0,250.0,480,5nn,val,0.42647615062669236,0.12010556265881087,5
fixed_duration,fixed_0250ms_raw,raw,16,250.0,16.0,250.0,480,linear,test,0.5848818284112401,0.08417764483369686,5
fixed_duration,fixed_0250ms_raw,raw,16,250.0,16.0,250.0,480,linear,val,0.5955594822274388,0.08182213670365629,5
fixed_duration,fixed_0250ms_unit_total_intensity,unit_total_intensity,16,250.0,16.0,250.0,480,5nn,test,0.40094007571948753,0.03133062503286895,5
fixed_duration,fixed_0250ms_unit_total_intensity,unit_total_intensity,16,250.0,16.0,250.0,480,5nn,val,0.412907146889345,0.06411473096943675,5
fixed_duration,fixed_0250ms_unit_total_intensity,unit_total_intensity,16,250.0,16.0,250.0,480,linear,test,0.5086304926010807,0.06444326439204258,5
fixed_duration,fixed_0250ms_unit_total_intensity,unit_total_intensity,16,250.0,16.0,250.0,480,linear,val,0.5274970774409629,0.05366984881151423,5
fixed_duration,fixed_0350ms_raw,raw,12,350.0,22.0,343.75,360,5nn,test,0.4682517523326347,0.04609338174443502,5
fixed_duration,fixed_0350ms_raw,raw,12,350.0,22.0,343.75,360,5nn,val,0.4616638669637895,0.09033941112792458,5
fixed_duration,fixed_0350ms_raw,raw,12,350.0,22.0,343.75,360,linear,test,0.5858257619287031,0.07308535985942906,5
fixed_duration,fixed_0350ms_raw,raw,12,350.0,22.0,343.75,360,linear,val,0.5961805476801607,0.07594243901472078,5
fixed_duration,fixed_0350ms_unit_total_intensity,unit_total_intensity,12,350.0,22.0,343.75,360,5nn,test,0.45041061879297173,0.030416921011762958,5
fixed_duration,fixed_0350ms_unit_total_intensity,unit_total_intensity,12,350.0,22.0,343.75,360,5nn,val,0.43355341754335563,0.07040085781265254,5
fixed_duration,fixed_0350ms_unit_total_intensity,unit_total_intensity,12,350.0,22.0,343.75,360,linear,test,0.5360571536306831,0.052102026240858884,5
fixed_duration,fixed_0350ms_unit_total_intensity,unit_total_intensity,12,350.0,22.0,343.75,360,linear,val,0.5601057602528191,0.08144235689187347,5
fixed_duration,fixed_0450ms_raw,raw,9,450.0,29.0,453.125,270,5nn,test,0.4438440984396867,0.044007748296143255,5
fixed_duration,fixed_0450ms_raw,raw,9,450.0,29.0,453.125,270,5nn,val,0.42670550102632143,0.057461264560975035,5
fixed_duration,fixed_0450ms_raw,raw,9,450.0,29.0,453.125,270,linear,test,0.5976365886292356,0.04484473632421399,5
fixed_duration,fixed_0450ms_raw,raw,9,450.0,29.0,453.125,270,linear,val,0.6097795503716557,0.08321258195913375,5
fixed_duration,fixed_0450ms_unit_total_intensity,unit_total_intensity,9,450.0,29.0,453.125,270,5nn,test,0.4394031064251652,0.02983567383736807,5
fixed_duration,fixed_0450ms_unit_total_intensity,unit_total_intensity,9,450.0,29.0,453.125,270,5nn,val,0.4135283477988586,0.05753322642250554,5
fixed_duration,fixed_0450ms_unit_total_intensity,unit_total_intensity,9,450.0,29.0,453.125,270,linear,test,0.5355964678023502,0.03746546100080763,5
fixed_duration,fixed_0450ms_unit_total_intensity,unit_total_intensity,9,450.0,29.0,453.125,270,linear,val,0.5538919248536122,0.07161551301310193,5
fixed_duration,fixed_0550ms_raw,raw,8,550.0,35.0,546.875,240,5nn,test,0.43964118670001023,0.04572047560873129,5
fixed_duration,fixed_0550ms_raw,raw,8,550.0,35.0,546.875,240,5nn,val,0.40641317660667503,0.07381760949726608,5
fixed_duration,fixed_0550ms_raw,raw,8,550.0,35.0,546.875,240,linear,test,0.5897535321432381,0.05662556674191479,5
fixed_duration,fixed_0550ms_raw,raw,8,550.0,35.0,546.875,240,linear,val,0.5868303559615479,0.07989063498220773,5
fixed_duration,fixed_0550ms_unit_total_intensity,unit_total_intensity,8,550.0,35.0,546.875,240,5nn,test,0.4271872599078481,0.06070738715052749,5
fixed_duration,fixed_0550ms_unit_total_intensity,unit_total_intensity,8,550.0,35.0,546.875,240,5nn,val,0.40953370416992707,0.07692476060987358,5
fixed_duration,fixed_0550ms_unit_total_intensity,unit_total_intensity,8,550.0,35.0,546.875,240,linear,test,0.52545512766101,0.06274696779483437,5
fixed_duration,fixed_0550ms_unit_total_intensity,unit_total_intensity,8,550.0,35.0,546.875,240,linear,val,0.52058090566411,0.04088232913506445,5
fixed_duration,fixed_0650ms_raw,raw,7,650.0,42.0,656.25,210,5nn,test,0.4394657140245376,0.037558967328935974,5
fixed_duration,fixed_0650ms_raw,raw,7,650.0,42.0,656.25,210,5nn,val,0.4292674000549388,0.07971254460473147,5
fixed_duration,fixed_0650ms_raw,raw,7,650.0,42.0,656.25,210,linear,test,0.5244626683229624,0.056845644296725506,5
fixed_duration,fixed_0650ms_raw,raw,7,650.0,42.0,656.25,210,linear,val,0.5305182293340188,0.056098120086867244,5
fixed_duration,fixed_0650ms_unit_total_intensity,unit_total_intensity,7,650.0,42.0,656.25,210,5nn,test,0.4345998949307773,0.0508571539910197,5
