requested_duration_ms,samples_per_bin,actual_duration_ms,n_time_bins,feature_dim
50,3,46.875,86,2580
150,10,156.25,26,780
250,16,250.0,16,480
350,22,343.75,12,360
450,29,453.125,9,270
550,35,546.875,8,240
650,42,656.25,7,210
750,48,750.0,6,180
850,54,843.75,5,150
950,61,953.125,5,150
