experiment,split_seed,representation_family,condition,normalization,control_seed,n_bins,requested_duration_ms,samples_per_bin,actual_duration_ms,feature_dim,classifier,eval_split,accuracy,balanced_accuracy,macro_f1
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,11,10,,,,300,linear,val,0.19047619047619047,0.18576388888888887,0.17123102127058945
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,11,10,,,,300,linear,test,0.20192307692307693,0.20326116557734206,0.19649925899249213
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,11,10,,,,300,5nn,val,0.10119047619047619,0.08963293650793651,0.04477203449685885
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,11,10,,,,300,5nn,test,0.11538461538461539,0.117020697167756,0.08281743175579465
experiment_1_3_1,11,relative_control,random_10_groups,raw,11,10,,,,300,linear,val,0.1488095238095238,0.144120115995116,0.12963098278440607
experiment_1_3_1,11,relative_control,random_10_groups,raw,11,10,,,,300,linear,test,0.23076923076923078,0.2255514705882353,0.23132144176687455
experiment_1_3_1,11,relative_control,random_10_groups,raw,11,10,,,,300,5nn,val,0.08928571428571429,0.08141025641025641,0.0361640398337646
experiment_1_3_1,11,relative_control,random_10_groups,raw,11,10,,,,300,5nn,test,0.07692307692307693,0.0801334422657952,0.03761590843233845
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,23,10,,,,300,linear,val,0.19642857142857142,0.189854242979243,0.18497531934691644
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,23,10,,,,300,linear,test,0.27403846153846156,0.2783428649237473,0.27414761714052543
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,23,10,,,,300,5nn,val,0.08333333333333333,0.07579365079365079,0.053427786621063934
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,23,10,,,,300,5nn,test,0.11057692307692307,0.11347358387799565,0.07357491017078274
experiment_1_3_1,11,relative_control,random_10_groups,raw,23,10,,,,300,linear,val,0.2261904761904762,0.2188606532356532,0.20777261639107322
experiment_1_3_1,11,relative_control,random_10_groups,raw,23,10,,,,300,linear,test,0.22596153846153846,0.21803513071895428,0.2145344575188249
experiment_1_3_1,11,relative_control,random_10_groups,raw,23,10,,,,300,5nn,val,0.09523809523809523,0.08511904761904761,0.042740259703938625
experiment_1_3_1,11,relative_control,random_10_groups,raw,23,10,,,,300,5nn,test,0.11538461538461539,0.11721132897603485,0.06200044756194489
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,37,10,,,,300,linear,val,0.17857142857142858,0.16975351037851036,0.1670779631192807
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,37,10,,,,300,linear,test,0.23557692307692307,0.23227124183006534,0.22767629626889674
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,37,10,,,,300,5nn,val,0.11904761904761904,0.10854319291819292,0.060644242251181146
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,37,10,,,,300,5nn,test,0.11057692307692307,0.11381399782135077,0.06665571806826481
experiment_1_3_1,11,relative_control,random_10_groups,raw,37,10,,,,300,linear,val,0.22023809523809523,0.2127213064713065,0.21519340681815893
experiment_1_3_1,11,relative_control,random_10_groups,raw,37,10,,,,300,linear,test,0.1875,0.1835716230936819,0.18519114163676817
experiment_1_3_1,11,relative_control,random_10_groups,raw,37,10,,,,300,5nn,val,0.11904761904761904,0.10699404761904763,0.04394370651486401
experiment_1_3_1,11,relative_control,random_10_groups,raw,37,10,,,,300,5nn,test,0.0673076923076923,0.06821214596949891,0.0334703712740591
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,53,10,,,,300,linear,val,0.25595238095238093,0.25044261294261294,0.24055879914432543
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,53,10,,,,300,linear,test,0.1875,0.1814950980392157,0.17879443554846783
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,53,10,,,,300,5nn,val,0.13095238095238096,0.12095543345543346,0.07991877338273219
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,53,10,,,,300,5nn,test,0.1346153846153846,0.13615876906318083,0.08016076516076516
experiment_1_3_1,11,relative_control,random_10_groups,raw,53,10,,,,300,linear,val,0.14285714285714285,0.13284874847374847,0.11786388359718945
experiment_1_3_1,11,relative_control,random_10_groups,raw,53,10,,,,300,linear,test,0.22596153846153846,0.22020016339869283,0.2115809910391093
experiment_1_3_1,11,relative_control,random_10_groups,raw,53,10,,,,300,5nn,val,0.1130952380952381,0.10224358974358976,0.04306934895170189
experiment_1_3_1,11,relative_control,random_10_groups,raw,53,10,,,,300,5nn,test,0.10096153846153846,0.1036696623093682,0.04819634529024911
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,71,10,,,,300,linear,val,0.19642857142857142,0.189010989010989,0.1852294530865959
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,71,10,,,,300,linear,test,0.2644230769230769,0.25731889978213507,0.25410340773243995
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,71,10,,,,300,5nn,val,0.08928571428571429,0.08139880952380953,0.04204545454545455
experiment_1_3_1,11,relative_control,permuted_10_bins,raw,71,10,,,,300,5nn,test,0.1201923076923077,0.12138480392156863,0.07391834421537392
experiment_1_3_1,11,relative_control,random_10_groups,raw,71,10,,,,300,linear,val,0.19642857142857142,0.18581349206349207,0.18299011715678382
experiment_1_3_1,11,relative_control,random_10_groups,raw,71,10,,,,300,linear,test,0.23557692307692307,0.22798883442265797,0.2244132374882579
experiment_1_3_1,11,relative_control,random_10_groups,raw,71,10,,,,300,5nn,val,0.10714285714285714,0.09518849206349206,0.03314116002795248
experiment_1_3_1,11,relative_control,random_10_groups,raw,71,10,,,,300,5nn,test,0.11538461538461539,0.11636029411764708,0.05636546007701893
experiment_1_3_1,23,relative_control,permuted_10_bins,raw,11,10,,,,300,linear,val,0.281767955801105,0.27404788838612365,0.26233900150318007
experiment_1_3_1,23,relative_control,permuted_10_bins,raw,11,10,,,,300,linear,test,0.23728813559322035,0.22797716308745722,0.22034123951301002
experiment_1_3_1,23,relative_control,permuted_10_bins,raw,11,10,,,,300,5nn,val,0.09944751381215469,0.09327708647561589,0.08836248306821903
experiment_1_3_1,23,relative_control,permuted_10_bins,raw,11,10,,,,300,5nn,test,0.096045197740113,0.08647875816993465,0.07452387923402416
experiment_1_3_1,23,relative_control,random_10_groups,raw,11,10,,,,300,linear,val,0.23756906077348067,0.23031726579520698,0.2180610532258681
experiment_1_3_1,23,relative_control,random_10_groups,raw,11,10,,,,300,linear,test,0.2598870056497175,0.252974245253657,0.24384171027016768
