split_seed,split,users,samples,classes_present
11,train,12,477,12
11,val,4,168,12
11,test,4,208,12
23,train,12,495,12
23,val,4,181,12
23,test,4,177,12
37,train,12,519,12
37,val,4,176,12
37,test,4,158,12
53,train,12,514,12
53,val,4,199,12
53,test,4,140,12
71,train,12,503,12
71,val,4,170,12
71,test,4,180,12
