classifier,representation,detail,feature_dim,test_mean_balanced_accuracy,test_sd_balanced_accuracy
linear,whole_count,1 relative bin(s),30.0,0.4017388085770439,0.03519502633111159
linear,relative_10bin,10 relative bin(s),300.0,0.7147395700704524,0.07789580661279387
linear,raw_timestep_flatten,1 sample = 15.625 ms,7680.0,0.30519756523432995,0.029454370335148913
linear,best_fixed_raw,mean selected = 309.375 ± 111.803 ms,,0.6078330914727974,0.05363866722061654
linear,best_fixed_unit_total_intensity,mean selected = 409.375 ± 59.907 ms,,0.525644829027182,0.04573935289108904
5nn,whole_count,1 relative bin(s),30.0,0.27369490123166595,0.04016151689688457
5nn,relative_10bin,10 relative bin(s),300.0,0.5250503064473653,0.08815791530248443
5nn,raw_timestep_flatten,1 sample = 15.625 ms,7680.0,0.07837476657329598,0.005052612202524501
5nn,best_fixed_raw,mean selected = 487.500 ± 264.566 ms,,0.4602697261888438,0.05680424228299518
5nn,best_fixed_unit_total_intensity,mean selected = 487.500 ± 281.987 ms,,0.40447040024245906,0.04242702424920265
