epoch,optimization_train_loss,train_lif_ba,val_lif_ba,train_lif_loss,val_lif_loss,train_linear_ba,val_linear_ba,train_linear_loss,val_linear_loss,weight_relative_frobenius_drift,weight_norm_ratio,weight_mean_class_cosine,weight_min_class_cosine,val_mean_total_output_spikes_per_sample,val_silent_sample_fraction,val_output_spike_fraction,val_mean_spike_count_margin
0.0,,0.824587716633681,0.4608225108225108,2.104478021496955,2.200760841369629,0.912588663623759,0.5454124579124578,0.7293787707355059,1.3531155586242676,0.0,1.0,1.0,0.9999999999999998,286.76983642578125,0.0,0.2643388054897141,-1.6111111640930176
1.0,2.1034767681062734,0.8319844751946553,0.4892316017316017,2.1001464733773787,2.1974337100982666,0.9076462385405182,0.5077140452140452,0.7306123655962656,1.3522645235061646,0.017691888122467265,1.0018043109870751,0.9998454377158111,0.9997272368082429,276.8333435058594,0.0,0.2551795276973049,-1.20634925365448
2.0,2.099416591214231,0.8301653030813657,0.4680675805675805,2.0970179324716383,2.195767641067505,0.9077483627235247,0.522991822991823,0.7321643893977245,1.3537323474884033,0.030547049657990513,1.0033219536959785,0.9995475269318472,0.9990514828360485,268.1111145019531,0.0,0.24713955461914378,-0.9285714030265808
3.0,2.0958735216505144,0.8242962023614494,0.4846019721019721,2.094022525567401,2.195394277572632,0.9018550624753859,0.5279521404521405,0.7338234662188926,1.3590344190597534,0.041930737374503625,1.004698916021342,0.9991539510431237,0.9980453965574723,261.9126892089844,0.0,0.2414259795745179,-0.920634925365448
4.0,2.0939084227852485,0.8197592338353946,0.49217772967772966,2.0925416819199842,2.194509983062744,0.8991668904323751,0.5329124579124579,0.735673898776509,1.3674677610397339,0.05141384858928503,1.0058328621452886,0.9987244223549503,0.9968551792062404,257.8968200683594,0.0,0.23772422672870394,-0.9920634627342224
5.0,2.0921807280916354,0.8288606589003772,0.49217772967772966,2.090740388108613,2.1944286823272705,0.9007101003089182,0.5126743626743627,0.7371688641081989,1.3729174137115479,0.059754651029362386,1.0067264221392822,0.9982663787619735,0.9955508077871945,254.44444274902344,0.0,0.2345418897960378,-1.023809552192688
6.0,2.090325281254806,0.8280766087211657,0.48384439634439635,2.0887583918907966,2.1940035820007324,0.8933015215847165,0.5126743626743627,0.738459189767066,1.3758963346481323,0.06797298937362306,1.007542674481638,0.9977459960347318,0.9943592166694951,250.44444274902344,0.0,0.23085476838439703,-0.9841269850730896
7.0,2.0882845876959637,0.8245521164869961,0.49217772967772966,2.0873100039470627,2.193735122680664,0.8936997692947921,0.5196188071188071,0.7397303205759308,1.3791804313659668,0.07569040685326353,1.0083511528706661,0.9971991938244572,0.9931681301438187,247.2063446044922,0.0,0.2278699558130688,-0.9682539701461792
8.0,2.086968081338065,0.8346119957442949,0.500511063011063,2.0862573063106833,2.1928837299346924,0.888917565707557,0.5265632515632516,0.7399510035416346,1.3789843320846558,0.08231859390641318,1.0090971694149102,0.9966900883321653,0.992390889349657,244.11111450195312,0.0,0.22501682614929916,-0.7460317611694336
9.0,2.085932358201728,0.8346119957442949,0.4935666185666185,2.0849556426378206,2.192626476287842,0.888917565707557,0.5348965848965849,0.740989719015801,1.3794912099838257,0.08865239223336403,1.009775778801439,0.9961615266498338,0.9919761440209327,242.1666717529297,0.0,0.22322447546308488,-0.682539701461792
10.0,2.0847052124404253,0.8338433729675315,0.4935666185666185,2.0837673517184494,2.191706657409668,0.8868342323742237,0.5348965848965849,0.741708419819502,1.3820910453796387,0.09456031257667472,1.0103534207315124,0.9956343333983099,0.9914220556566102,241.1746063232422,0.0,0.2223100108272613,-0.6904761791229248
11.0,2.0835275686956725,0.8338433729675315,0.500511063011063,2.082507331687284,2.191568374633789,0.888917565707557,0.5279521404521405,0.7420788437076772,1.3841267824172974,0.10061546954427175,1.010850675028041,0.9950512501470231,0.9903901406882112,239.61111450195312,0.0,0.2208688145612033,-0.7222222089767456
12.0,2.0823862392602814,0.8355794840786427,0.5074555074555074,2.081383985003998,2.1916730403900146,0.888917565707557,0.5265632515632516,0.7424208990678114,1.3847565650939941,0.10599746883726145,1.011259744430615,0.99449819008128,0.9893303346179704,239.07142639160156,0.0,0.22037134579931525,-0.7857142686843872
13.0,2.0812439545091377,0.8254548019109498,0.48860630110630104,2.0804663053272923,2.191391706466675,0.8835412216215355,0.5265632515632516,0.7435753431664892,1.3852627277374268,0.11118288066340543,1.0115418836976586,0.9939313011315134,0.9881595866139565,238.53175354003906,0.0,0.2198738770374272,-0.8571428656578064
14.0,2.080200512109648,0.8351675466035332,0.49555074555074546,2.0793157354279352,2.191650390625,0.8835412216215355,0.5196188071188071,0.7436071283435658,1.3843340873718262,0.11616962136214472,1.0117508980296952,0.9933589068917185,0.987391429318739,238.3253936767578,0.0,0.2196836683931759,-0.8650793433189392
15.0,2.079226261572255,0.8365469724129905,0.4899591149591149,2.07854058984635,2.191269636154175,0.8845627269978796,0.5265632515632516,0.7440599342631802,1.3823589086532593,0.1209749558733111,1.0119300953929269,0.9927839144384741,0.9870018136970776,238.10317993164062,0.0,0.2194788283147514,-0.841269850730896
16.0,2.0783735930201517,0.8442404863363432,0.5018638768638769,2.0775110857006607,2.1904611587524414,0.8845627269978796,0.5265632515632516,0.7446706502244723,1.383281946182251,0.12606017227154542,1.0121178887051538,0.9921524422425824,0.9862589044813573,237.6825408935547,0.0,0.2190910953091622,-0.7301587462425232
