label_idx,label,test_samples,intra_cosine_distance
0,A,11,0.04361418663725625
1,B,9,0.05650623835633306
2,C,12,0.04901722605208969
3,D,11,0.03254273622903048
4,E,12,0.061920298919146965
5,G,12,0.03416892898960011
6,H,12,0.032808107250346996
7,I,11,0.04651982409188782
8,J,12,0.034827884079998594
9,K,12,0.030367930170668078
10,L,6,0.032961290584987535
11,X,7,0.03215112964785083
