k,same_label_micro,same_label_macro
1,0.2283464566929134,0.22372534872534874
3,0.22309711286089234,0.21898548981882313
5,0.1921259842519685,0.18851010101010104
10,0.16692913385826774,0.16505531505531507
20,0.15551181102362205,0.1527627465127465
50,0.12472440944881891,0.12245851370851372
