epoch,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,loss
1,train,0.0859375,0.08607135111689439,0.018530531049991347,0.018913385443694856,2.511275291442871
1,val,0.08275862068965517,0.08333333333333333,0.01342281879194631,0.013330247627863922,2.5211397878054913
2,train,0.0859375,0.08607135111689439,0.01872942483015746,0.019139051318227407,2.5089677810668944
2,val,0.08275862068965517,0.08333333333333333,0.013333333333333334,0.013241379310344827,2.5187370431834255
3,train,0.0859375,0.08607135111689439,0.01872942483015746,0.019139051318227407,2.5068246364593505
3,val,0.08275862068965517,0.08333333333333333,0.013071895424836602,0.012981744421906694,2.5164977747818518
4,train,0.0859375,0.08607135111689439,0.01898496240601504,0.01942434210526316,2.504854106903076
4,val,0.08275862068965517,0.08333333333333333,0.013071895424836602,0.012981744421906694,2.5143521555538837
5,train,0.0859375,0.08607135111689439,0.019166342754548652,0.019625256816036427,2.5028138160705566
5,val,0.08275862068965517,0.08333333333333333,0.01298701298701299,0.012897447380206001,2.5124066533713507
6,train,0.0859375,0.08607135111689439,0.019224051896207586,0.01968983907185629,2.5010979652404783
6,val,0.08275862068965517,0.08333333333333333,0.012903225806451613,0.012814238042269189,2.510565080313847
7,train,0.084375,0.08463456950769899,0.017264327712088905,0.017562269819732506,2.499540328979492
7,val,0.08275862068965517,0.08333333333333333,0.012903225806451613,0.012814238042269189,2.5088464671167836
8,train,0.0828125,0.08319778789850359,0.015129914461266616,0.015246501144532349,2.4979298591613768
8,val,0.08275862068965517,0.08333333333333333,0.012903225806451613,0.012814238042269189,2.507261166079291
9,train,0.0828125,0.08319778789850359,0.015173370700076932,0.01529555102209034,2.496552896499634
9,val,0.08275862068965517,0.08333333333333333,0.01298701298701299,0.012897447380206001,2.5057563370671767
10,train,0.0828125,0.08319778789850359,0.015186924013215091,0.01531207616066771,2.4951714515686034
10,val,0.08275862068965517,0.08333333333333333,0.01298701298701299,0.012897447380206001,2.5043255444230703
11,train,0.0859375,0.08607135111689439,0.020545970401042862,0.02114003910743041,2.4940033912658692
11,val,0.08275862068965517,0.08333333333333333,0.01298701298701299,0.012897447380206001,2.5029272112353094
12,train,0.0875,0.0875081327260898,0.023105621146212434,0.023920082164410925,2.49275918006897
12,val,0.08275862068965517,0.08333333333333333,0.013071895424836602,0.012981744421906694,2.5016734797379065
13,train,0.0875,0.0875081327260898,0.022981174403330095,0.023775709798352012,2.4915926456451416
13,val,0.08275862068965517,0.08333333333333333,0.013245033112582785,0.013153688056633937,2.500512325352636
14,train,0.0875,0.0875081327260898,0.022798000425336595,0.023569180884240294,2.4905088901519776
14,val,0.08275862068965517,0.08333333333333333,0.013245033112582785,0.013153688056633937,2.499371681542232
15,train,0.0890625,0.08894491433528519,0.024938227677953704,0.025889261993714052,2.489401865005493
15,val,0.08275862068965517,0.08333333333333333,0.013245033112582785,0.013153688056633937,2.498291173474542
16,train,0.0890625,0.08894491433528519,0.024824015635724395,0.02576318832403237,2.4884524822235106
16,val,0.08275862068965517,0.08333333333333333,0.013245033112582785,0.013153688056633937,2.4972248307589826
17,train,0.0890625,0.08894491433528519,0.02470402560938534,0.025623273110145395,2.4873841762542725
17,val,0.08275862068965517,0.08333333333333333,0.013245033112582785,0.013153688056633937,2.4961952620539174
18,train,0.0890625,0.08894491433528519,0.02474467525323192,0.025663668693717927,2.4865081310272217
18,val,0.08275862068965517,0.08333333333333333,0.013333333333333334,0.013241379310344827,2.49515250140223
19,train,0.0921875,0.09177058483336947,0.02996690276357404,0.03142649435602346,2.4854941844940184
19,val,0.08275862068965517,0.08333333333333333,0.013333333333333334,0.013241379310344827,2.494155837749613
20,train,0.0921875,0.09177058483336947,0.02973097556671037,0.031158771369515875,2.484660577774048
20,val,0.08275862068965517,0.08333333333333333,0.01342281879194631,0.013330247627863922,2.4931239144555453
21,train,0.09375,0.09320736644256489,0.03178924941296556,0.0333872102972243,2.4836673736572266
21,val,0.08275862068965517,0.08333333333333333,0.013513513513513516,0.013420316868592734,2.492171206967584
22,train,0.0984375,0.09751771127015108,0.038535133469774,0.04070656082298239,2.482725238800049
22,val,0.08275862068965517,0.08333333333333333,0.01360544217687075,0.013511611541168193,2.491247905533889
23,train,0.1,0.09895449287934648,0.04089875417704796,0.043274947972445396,2.4818994045257567
23,val,0.08275862068965517,0.08333333333333333,0.01360544217687075,0.013511611541168193,2.4902921808177028
24,train,0.0984375,0.09738216583532132,0.04068465452371226,0.0430616569491971,2.4809548377990724
24,val,0.0896551724137931,0.08928571428571429,0.023502551705613755,0.024963183194865096,2.4893644201344456
25,train,0.1,0.09877105472421022,0.042790901500578925,0.045418742042733974,2.480085754394531
25,val,0.08275862068965517,0.08234126984126984,0.02253540305010893,0.024002704530087893,2.488443003029659
26,train,0.1015625,0.10007229089857587,0.0468171956649669,0.04981229400131838,2.479233503341675
26,val,0.08275862068965517,0.08234126984126984,0.02207977207977208,0.023460064839375187,2.4875349801162194
27,train,0.103125,0.10150907250777126,0.04848558647861243,0.05161190123966179,2.478423595428467
27,val,0.0896551724137931,0.08875152625152626,0.03407481928608689,0.03635760925707502,2.4865927909982615
