title,experiment,configuration,configuration_label,objective,seed,best_epoch_by_val_ba,best_val_ba,val_loss_at_best_val_ba,firing_onset_epoch,backbone_parameters,readout_parameters,total_parameters,train_accuracy,train_balanced_accuracy,train_macro_f1,train_loss,train_mean_hidden_firing_rate,train_hidden_1_firing_rate,train_hidden_2_firing_rate,train_hidden_1_shift_2_firing_rate,train_hidden_2_shift_2_firing_rate,train_output_firing_rate,train_network_firing_rate,train_silent_output_fraction,train_samples,val_accuracy,val_balanced_accuracy,val_macro_f1,val_loss,val_mean_hidden_firing_rate,val_hidden_1_firing_rate,val_hidden_2_firing_rate,val_hidden_1_shift_2_firing_rate,val_hidden_2_shift_2_firing_rate,val_output_firing_rate,val_network_firing_rate,val_silent_output_fraction,val_samples,test_accuracy,test_balanced_accuracy,test_macro_f1,test_loss,test_mean_hidden_firing_rate,test_hidden_1_firing_rate,test_hidden_2_firing_rate,test_hidden_1_shift_2_firing_rate,test_hidden_2_shift_2_firing_rate,test_output_firing_rate,test_network_firing_rate,test_silent_output_fraction,test_samples,before_zero_hidden_1_firing_rate,before_zero_hidden_2_firing_rate,before_zero_output_firing_rate,before_zero_mean_hidden_firing_rate,after_zero_hidden_1_firing_rate,after_zero_hidden_2_firing_rate,after_zero_output_firing_rate,after_zero_mean_hidden_firing_rate,train_hidden_1_shift_3_firing_rate,train_hidden_2_shift_3_firing_rate,val_hidden_1_shift_3_firing_rate,val_hidden_2_shift_3_firing_rate,test_hidden_1_shift_3_firing_rate,test_hidden_2_shift_3_firing_rate,train_hidden_2_shift_4_firing_rate,train_hidden_2_shift_5_firing_rate,train_hidden_2_shift_6_firing_rate,train_hidden_2_shift_7_firing_rate,val_hidden_2_shift_4_firing_rate,val_hidden_2_shift_5_firing_rate,val_hidden_2_shift_6_firing_rate,val_hidden_2_shift_7_firing_rate,test_hidden_2_shift_4_firing_rate,test_hidden_2_shift_5_firing_rate,test_hidden_2_shift_6_firing_rate,test_hidden_2_shift_7_firing_rate,train_hidden_1_shift_4_firing_rate,train_hidden_1_shift_5_firing_rate,train_hidden_1_shift_6_firing_rate,train_hidden_1_shift_7_firing_rate,val_hidden_1_shift_4_firing_rate,val_hidden_1_shift_5_firing_rate,val_hidden_1_shift_6_firing_rate,val_hidden_1_shift_7_firing_rate,test_hidden_1_shift_4_firing_rate,test_hidden_1_shift_5_firing_rate,test_hidden_1_shift_6_firing_rate,test_hidden_1_shift_7_firing_rate,neurons_per_layer,L1_shift_syn,L1_tau_syn_ms,L1_neurons_per_tau,L2_shift_syn,L2_tau_syn_ms,L2_neurons_per_tau
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_2,Single-scale 2,timestep_ce,11,75,0.30853174603174605,2.3845582008361816,20,21760,0,21760,0.46987951807228917,0.45200812144994534,0.3986628588367272,2.313944451780204,0.03541742121945501,0.008456399584638317,0.062378442854271694,0.008456399584638317,0.062378442854271694,0.10970517136460828,0.03874373839013351,0.03098106712564544,581,0.3253968253968254,0.30853174603174605,0.2505022377288148,2.3845582008361816,0.02585957389605829,0.005716547054692301,0.04600260073742428,0.005716547054692301,0.04600260073742428,0.10774588125128025,0.029526124971665246,0.07142857142857142,126,0.3287671232876712,0.2991772116772117,0.20422388757882662,2.3639699922849053,0.04367577089546057,0.0096303688286945,0.07772117296222664,0.0096303688286945,0.07772117296222664,0.14074580296001768,0.04802219024163477,0.0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[2],[54.31343],[128],[2],[54.31343],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_2,Single-scale 2,timestep_ce,23,94,0.3177910052910053,2.381742000579834,17,21760,0,21760,0.5094664371772806,0.49549860909530713,0.4381212031233781,2.2911172549203425,0.04114506569581456,0.009377433759860653,0.07291269763176847,0.009377433759860653,0.07291269763176847,0.10126115865811379,0.04383683105233542,0.024096385542168676,581,0.3412698412698413,0.3177910052910053,0.24715081487140309,2.381742000579834,0.03078670935387587,0.006649300983232376,0.054924117724519356,0.006649300983232376,0.054924117724519356,0.10415386416176514,0.034071805837811206,0.06349206349206349,126,0.3424657534246575,0.3124819624819624,0.24484132690560645,2.3657950571138566,0.05136369284294234,0.010780369864148443,0.09194701582173626,0.010780369864148443,0.09194701582173626,0.12406118842500552,0.05461880458542279,0.0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[2],[54.31343],[128],[2],[54.31343],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_2,Single-scale 2,timestep_ce,101,93,0.3400132275132275,2.3670661449432373,21,21760,0,21760,0.5352839931153184,0.5154769464497082,0.47321695668880226,2.265112987278661,0.04915926681544878,0.011308478277253923,0.08701005535364363,0.011308478277253923,0.08701005535364363,0.130075479703664,0.05278238082536886,0.01549053356282272,581,0.35714285714285715,0.3400132275132275,0.27483393375841886,2.3670661449432373,0.03761981772890879,0.007994935694846808,0.06724469976297076,0.007994935694846808,0.06724469976297076,0.12417698182775876,0.041495511643782665,0.023809523809523808,126,0.3698630136986301,0.34179570429570433,0.27867669788474997,2.342217938540733,0.062386747224983434,0.013210450836646785,0.11156304361332008,0.013210450836646785,0.11156304361332008,0.1499475370002209,0.06630737960297914,0.0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[2],[54.31343],[128],[2],[54.31343],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_2,Single-scale 2,relative_10bin_ce,11,96,0.53241341991342,1.9759736061096191,21,21760,1452,23212,0.8623063683304647,0.8634751989861531,0.8681414767850586,0.4535336609602795,0.023585749995812887,0.00581747115078634,0.041354028840839434,0.00581747115078634,0.041354028840839434,0.14397390590718007,0.028976264439605447,0.06540447504302926,581,0.5396825396825397,0.53241341991342,0.5395754597750156,1.9759736061096191,0.014849305372662628,0.003595903564217365,0.026102707181107892,0.003595903564217365,0.026102707181107892,0.1174026278055775,0.019441245183091652,0.14285714285714285,126,0.541095890410959,0.5518793706293705,0.527092135103702,2.1181719564411736,0.028436153909874088,0.006564777998674619,0.05030752982107356,0.006564777998674619,0.05030752982107356,0.18053484647669538,0.035246543129284,0.0273972602739726,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[2],[54.31343],[128],[2],[54.31343],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_2,Single-scale 2,relative_10bin_ce,23,68,0.5592231842231843,1.6496340036392212,19,21760,1452,23212,0.7986230636833046,0.7972184655933595,0.8091090644165627,0.6566996607230575,0.01762990782069104,0.0048159658833972566,0.030443849757984826,0.0048159658833972566,0.030443849757984826,0.11471435510074196,0.02197697262427541,0.10843373493975904,581,0.5555555555555556,0.5592231842231843,0.5374088837046502,1.6496340036392212,0.009711957356685102,0.002769456149591783,0.01665445856377842,0.002769456149591783,0.01665445856377842,0.07827817282650046,0.012782086407572358,0.2222222222222222,126,0.5205479452054794,0.5094030969030968,0.49985226432783897,1.6761305038243124,0.020468012239065605,0.005344236663353214,0.035591787814778,0.005344236663353214,0.035591787814778,0.13758421692069803,0.02571202140391482,0.06164383561643835,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[2],[54.31343],[128],[2],[54.31343],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_2,Single-scale 2,relative_10bin_ce,101,65,0.5052609427609427,1.8695666790008545,19,21760,1452,23212,0.7228915662650602,0.7208154956363263,0.7414190951863882,0.8869615496743771,0.015261309917597601,0.004689043998191167,0.025833575837004037,0.004689043998191167,0.025833575837004037,0.09090642638216624,0.01864840468466784,0.14457831325301204,581,0.5079365079365079,0.5052609427609427,0.530298912210993,1.8695666790008545,0.008624887520849793,0.002781801422175402,0.014467973619524186,0.002781801422175402,0.014467973619524186,0.06583413806221286,0.011186495754045156,0.21428571428571427,126,0.410958904109589,0.3945533633033633,0.38492111980015203,2.292360702606097,0.018959485275844932,0.00543742751822399,0.03248154303346587,0.00543742751822399,0.03248154303346587,0.11790368897724762,0.023389822755012214,0.06164383561643835,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[2],[54.31343],[128],[2],[54.31343],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_3,Single-scale 3,timestep_ce,11,92,0.384030784030784,2.3091611862182617,3,21760,0,21760,0.729776247848537,0.7086548461506842,0.6680244866880676,2.1301569647304777,0.084119049587988,0.022392160885658298,0.14584593829031772,,,0.13361359081291418,0.08633522307567126,0.0051635111876075735,581,0.3968253968253968,0.384030784030784,0.3448126835275173,2.3091611862182617,0.07137453636642964,0.01646996532350101,0.12627910740935827,,,0.14121528692242413,0.07450173415251894,0.007936507936507936,126,0.4452054794520548,0.42416888666888664,0.36540343380607077,2.293738557867808,0.10206631305914513,0.025954947398939696,0.17817767871935056,,,0.13157168102496133,0.10338744893821153,0.0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022392160885658298,0.14584593829031772,0.01646996532350101,0.12627910740935827,0.025954947398939696,0.17817767871935056,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[3],[117.013683],[128],[3],[117.013683],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_3,Single-scale 3,timestep_ce,23,89,0.41167628667628664,2.3215644359588623,5,21760,0,21760,0.7177280550774526,0.7020072528012405,0.6722925791617719,2.131366298449019,0.08611695707789706,0.019469817190614167,0.15276409696517995,,,0.12063632963192479,0.08766260062509233,0.01549053356282272,581,0.42857142857142855,0.41167628667628664,0.35682333144556083,2.3215644359588623,0.0703125,0.014095557896585023,0.12652944210341496,,,0.11966318438533345,0.07252223213665672,0.031746031746031744,126,0.4178082191780822,0.3955884393384393,0.35010718393071333,2.303307732490644,0.10371980357438701,0.022317915424121936,0.1851216917246521,,,0.1273470289374862,0.10477773903840638,0.0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019469817190614167,0.15276409696517995,0.014095557896585023,0.12652944210341496,0.022317915424121936,0.1851216917246521,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[3],[117.013683],[128],[3],[117.013683],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_3,Single-scale 3,timestep_ce,101,99,0.36117724867724865,2.3105404376983643,6,21760,0,21760,0.7469879518072289,0.7248355828650871,0.6965962546138972,2.1172212310994554,0.08915765215971326,0.02284162137605306,0.15547368294337346,,,0.12413536101294656,0.09072381822776848,0.008605851979345954,581,0.373015873015873,0.36117724867724865,0.3189560295748881,2.3105404376983643,0.07683560486348871,0.01698572337810552,0.13668548634887193,,,0.13404588417756708,0.07939725916113402,0.015873015873015872,126,0.4794520547945205,0.45027333777333783,0.4114848496668984,2.2685754037883186,0.10602239428015242,0.026174334203114647,0.18587045435719018,,,0.12588358736470068,0.1069117014331919,0.0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02284162137605306,0.15547368294337346,0.01698572337810552,0.13668548634887193,0.026174334203114647,0.18587045435719018,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[3],[117.013683],[128],[3],[117.013683],[128]
Experiment 3.0 - Layer-wise Multi-Tau Synaptic SNN Comparison,experiment_3_0_phase_c_layerwise_multitau_comparison,single_scale_3,Single-scale 3,relative_10bin_ce,11,88,0.5802669552669553,1.79779851436615,7,21760,1452,23212,0.9621342512908778,0.9633964247016874,0.964476064621686,0.1569437755691769,0.054724202668866295,0.014523004002880735,0.09492540133485186,,,0.22418783950513899,0.062312126706311345,0.024096385542168676,581,0.5873015873015873,0.5802669552669553,0.5757275911124528,1.79779851436615,0.04007275480642612,0.009803518128346941,0.07034199148450532,,,0.17748661223773154,0.046225614094395025,0.05555555555555555,126,0.6095890410958904,0.6093808968808969,0.6056192014365086,1.8530614457718313,0.06642501760271703,0.016592502277998675,0.11625753292743539,,,0.25042108460349016,0.07466364746842329,0.00684931506849315,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014523004002880735,0.09492540133485186,0.009803518128346941,0.07034199148450532,0.016592502277998675,0.11625753292743539,,,,,,,,,,,,,,,,,,,,,,,,,128/128,[3],[117.013683],[128],[3],[117.013683],[128]
