configuration,configuration_label,objective,seeds,mean_best_val_ba,sd_best_val_ba,mean_test_ba,sd_test_ba,mean_test_macro_f1,sd_test_macro_f1,mean_test_output_fr,mean_test_l1_fr,mean_test_l2_fr
single_scale_2,Single-scale 2,timestep_ce,3,0.3221119929453263,0.01617943508898905,0.3178182928182928,0.021804616354386,0.24258063745639435,0.03727785238183373,0.13825150946174802,0.011207063176496576,0.09374374413242766
single_scale_2,Single-scale 2,relative_10bin_ce,3,0.5322991822991824,0.02698130211056716,0.48527861027861025,0.08139017929982086,0.47062183974389765,0.07545835069181325,0.14534091745821368,0.005782147393417275,0.03946028688977248
single_scale_3,Single-scale 3,timestep_ce,3,0.38562810646143975,0.02528738398723121,0.4233435545935546,0.027351789868027318,0.37566515580122745,0.03194967396602241,0.12826743244238273,0.02481573234205876,0.18305660826706427
single_scale_3,Single-scale 3,relative_10bin_ce,3,0.5667408209074876,0.0128080947449784,0.5591020091020091,0.043772324769601224,0.5586187739710642,0.040833160330989236,0.2666155842721449,0.014349665893527722,0.10221505170366689
short_to_multi_scale,Short → Multi-scale,timestep_ce,3,0.322857543690877,0.03756517059363186,0.39126683501683496,0.05420144719951627,0.3415302854231088,0.05591905888282487,0.09646519033944483,0.008712050612988733,0.12033549570631764
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,3,0.5261223344556677,0.018806223381161596,0.4894753394753395,0.04059678075752983,0.4878030527816873,0.041509928630143154,0.24170946542964436,0.006554207739673072,0.08038185815661586
multi_scale_to_short,Multi-scale → Short,timestep_ce,3,0.35500841750841744,0.010146586221232965,0.327011877011877,0.022831766797607848,0.2894485024939393,0.029190700622570256,0.09215540092776674,0.047843580875855975,0.12967852606582728
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,3,0.49978555395222063,0.06038256825137456,0.49504800754800754,0.07944849730952876,0.5008634881513339,0.0778395793861096,0.18674757013474708,0.04100376042356969,0.12109029848685664
