epoch,train_loss,train_phase_ce,train_progress_loss,train_phase_balanced_accuracy,train_progress_sample_balanced_mae,val_loss,val_phase_ce,val_progress_loss,val_phase_balanced_accuracy,val_progress_sample_balanced_mae
1,4.770104672945715,4.700385338673288,0.06971926620412816,0.12644108830449444,0.3245411148990493,2.920567750930786,2.8710315227508545,0.049536243081092834,0.18461760264510002,0.2698053632463728
2,3.249197474034846,3.1911633605595915,0.0580340746001512,0.15937905069652356,0.2879530402756394,2.8697900772094727,2.825085401535034,0.04470476880669594,0.19111380418436236,0.2547937423463852
3,2.931100590503975,2.8777400585542243,0.05336054224719689,0.17833677245338628,0.27367056093199527,2.620201587677002,2.576698064804077,0.04350341856479645,0.20693954582292204,0.25135585239955355
4,2.7051591873168945,2.6566808515079257,0.048478319535669896,0.1890714726011942,0.2640177321310913,2.4935462474823,2.4518320560455322,0.04171423614025116,0.21385367575401784,0.2461397685701885
5,2.548731245805803,2.5029009467763457,0.04583029991429357,0.1997047168122319,0.2552670201418117,2.3630809783935547,2.322948694229126,0.040132369846105576,0.22894792601082442,0.2403278350830078
6,2.470314898302141,2.423853792545102,0.04646109306155712,0.2082117794933558,0.25926784640129996,2.325958728790283,2.28263258934021,0.04332621395587921,0.220636127417123,0.2545869918096633
7,2.350797776716301,2.3075613294328963,0.04323645998529846,0.21648207114937051,0.24801585185958677,2.3589742183685303,2.318526029586792,0.04044819623231888,0.21984935051413096,0.23814034840417286
8,2.2993326589285608,2.256334039717656,0.042998630502189085,0.2173075487352954,0.2459538077323244,2.2685487270355225,2.2296462059020996,0.03890258073806763,0.2299662460604582,0.2363143799796937
9,2.231196341949568,2.1897975865001316,0.04139877496072429,0.2258186822344975,0.2427760729896427,2.224520444869995,2.186981678009033,0.03753870353102684,0.2303730662294463,0.23048682439894902
10,2.205336442297379,2.1652604618499285,0.040075943963970864,0.2319224542566717,0.23725475994116674,2.21695876121521,2.1800169944763184,0.036941759288311005,0.2390512912064104,0.22533612024216426
11,2.1693005701350674,2.1299280824841813,0.039372491934008116,0.23664981287411874,0.23429321380982915,2.2049853801727295,2.1683449745178223,0.03664030507206917,0.23334530059012498,0.2279001720367916
12,2.1395409849958043,2.101002123187618,0.03853882210595267,0.24519072136965508,0.2331967838044421,2.2126564979553223,2.1771934032440186,0.035463009029626846,0.23255241094623713,0.22069956764342294
13,2.109971313591463,2.0716797415032446,0.03829157753188721,0.25139503490802806,0.23012941429413944,2.1959760189056396,2.1609139442443848,0.03506208583712578,0.24403556060718595,0.22029772258940197
14,2.1127704864114576,2.0751540131495045,0.037616456334644256,0.2503893787876067,0.23077171640839306,2.152883768081665,2.1183340549468994,0.03454962372779846,0.24545378645454954,0.21872276730007595
15,2.069852166249707,2.0335403904447045,0.036311763365995044,0.2570524360485702,0.22416459836976252,2.16586971282959,2.1305601596832275,0.03530966117978096,0.2383708794358835,0.21977837880452475
16,2.0528568039662662,2.0170696676290385,0.0357871640621077,0.2640242532088471,0.22315145482705095,2.1504878997802734,2.1166460514068604,0.033841896802186966,0.24803433088767313,0.2171636460319398
17,2.0399811202195344,2.0053184303277125,0.0346626907830702,0.2640517899049981,0.21897142479218631,2.1600265502929688,2.1251132488250732,0.03491322323679924,0.24696215175714697,0.21867537120031932
18,2.029550222849887,1.9952239099755344,0.03432629129844565,0.2678996177202058,0.21759848340242946,2.119624137878418,2.0861868858337402,0.033437348902225494,0.2538384885683837,0.21650913783482142
19,2.0083577928362533,1.9740476760109198,0.03431015382817403,0.2684550266669973,0.2184816711740937,2.1200599670410156,2.0852882862091064,0.03477159142494202,0.24491107831571166,0.21804891313825334
20,1.9846823673034903,1.9507767708904773,0.03390559457922146,0.2714004074468938,0.21651172802083052,2.1166515350341797,2.0844461917877197,0.032205287367105484,0.2418764829653705,0.210077512831915
21,1.9765240399234265,1.9441238578133246,0.0324001318475363,0.2781100406500397,0.2103100430329367,2.092233419418335,2.0589780807495117,0.03325534239411354,0.2545052446159325,0.21300850217304532
22,1.9536141021731799,1.921576443309423,0.03203765573476965,0.28219708737864496,0.20951978351901607,2.0936920642852783,2.061974287033081,0.03171772509813309,0.25802890734708084,0.20785946316189235
23,1.9448291139225131,1.9133626770439738,0.031466444768332165,0.283499355868821,0.20727931037416966,2.075251817703247,2.043151378631592,0.032100360840559006,0.2520753491790756,0.20902872842455666
24,1.9288103875933333,1.8977360891598227,0.031074278229741754,0.28929322173038746,0.20506133310971283,2.0579211711883545,2.026803493499756,0.03111763298511505,0.2551687170192386,0.20707790435306608
25,1.9155545380357621,1.884802124176091,0.03075241632503097,0.2913408364587283,0.2052530035915145,2.068402051925659,2.0362372398376465,0.03216473385691643,0.24982644944943525,0.20921979631696427
