epoch,train_loss,train_phase_ce,train_progress_loss,train_phase_balanced_accuracy,train_progress_sample_balanced_mae,val_loss,val_phase_ce,val_progress_loss,val_phase_balanced_accuracy,val_progress_sample_balanced_mae
1,2.40715876749994,2.361449786184577,0.04570898643843894,0.1187235347518449,0.2523648628064154,2.2210142612457275,2.185861825942993,0.035152435302734375,0.15327101825156805,0.22061070941743396
2,2.17304809737739,2.132763070616993,0.04028506060860243,0.17096620669105128,0.23785547135003463,2.1202666759490967,2.08550763130188,0.034759074449539185,0.15337801384676553,0.21937220437186106
3,2.055603628930044,2.0216667711632184,0.03393688011215599,0.20013382134723673,0.2139618097196963,2.0392770767211914,2.002488136291504,0.03678884357213974,0.20344614553049595,0.22600976247636098
4,1.9831369349960617,1.9487027641828212,0.03443412970680994,0.2361963462669717,0.21558107156146208,1.9902901649475098,1.9581936597824097,0.03209653124213219,0.21624287726451802,0.2071749066549634
5,1.9317948288843676,1.900574072297797,0.0312207850680499,0.2528191321607557,0.20280965716416166,1.9553494453430176,1.923775315284729,0.031574077904224396,0.22787853872702843,0.20391417306566995
6,1.895019772541092,1.8636734877519066,0.031346261937318695,0.26526899549908844,0.2030611530638808,1.9530352354049683,1.922896146774292,0.030139131471514702,0.22323382690440408,0.19905647398933532
7,1.865267366632537,1.835680562945118,0.02958680680678859,0.2759875167144278,0.19663616548101587,1.9136958122253418,1.883360505104065,0.03033525124192238,0.2434268770601113,0.20153018406459264
8,1.8365109332046903,1.8078180840832025,0.02869284019617944,0.2796720462960286,0.19334584956735423,1.9207407236099243,1.8914308547973633,0.02930985391139984,0.24813372295088518,0.19703693995400082
9,1.8108067295021937,1.7828840470765421,0.027922680745744458,0.2949932117808043,0.18953849936926837,1.8924466371536255,1.8639894723892212,0.028457120060920715,0.2580448237789893,0.19258771623883927
10,1.7862611215003796,1.7588490795555705,0.02741202969174582,0.2991220711771404,0.1869543998048556,1.8886264562606812,1.8602464199066162,0.028380077332258224,0.26135796516637916,0.1932053187536815
11,1.7628342054797121,1.7359951533466937,0.026839053517980133,0.3146516254380556,0.185246395367148,1.8686772584915161,1.8400808572769165,0.028596432879567146,0.26870670273885733,0.19376912192692833
12,1.7408765944269151,1.7148571102631482,0.026019488360328847,0.31544020936013395,0.18164676889495063,1.8808404207229614,1.8530933856964111,0.027747033163905144,0.2686895520521418,0.18987325638059585
13,1.7202751527759992,1.6946182952690452,0.025656868589852846,0.3264830448504419,0.17967407633638627,1.866244912147522,1.8383253812789917,0.02791953645646572,0.2689549619146083,0.19117061675540983
14,1.7130567258073213,1.6877949100353222,0.025261828778455876,0.32234510455724685,0.1779144553022007,1.8936817646026611,1.8657946586608887,0.027887074276804924,0.2650401035002597,0.19095432947552393
15,1.708437164966498,1.683227493512651,0.025209667892059032,0.33184148749099374,0.17800794657249253,1.835692048072815,1.809101939201355,0.02659005858004093,0.26367284615521347,0.18526964338998947
16,1.7058477112430304,1.6811368756778473,0.024710839982954032,0.34552165045737865,0.1753991236990372,1.9181441068649292,1.8901853561401367,0.027958713471889496,0.3516793787973117,0.19186490679544116
17,1.6958207960998746,1.6714105651218591,0.02441026197614953,0.4083307608232568,0.17432047044553772,1.8542332649230957,1.8277045488357544,0.026528676971793175,0.3499826087235858,0.18515583825489831
18,1.6999841895653336,1.6757957609097847,0.024188420483634107,0.39529641812353555,0.17273592825805875,1.8918747901916504,1.86503005027771,0.026844752952456474,0.36051248776631384,0.1863576192704458
19,1.6785794402153684,1.6545132644820746,0.024066171087901687,0.4088452954399938,0.1731492303529828,1.854636788368225,1.8280574083328247,0.0265793614089489,0.34281956570392846,0.1855374290829613
20,1.6700538099325053,1.6465561394026687,0.023497694808342167,0.4073863722387691,0.16946144399462387,1.8790676593780518,1.8531287908554077,0.02593887597322464,0.35759323877486027,0.18232521178230407
21,1.6540921321218889,1.630907395005021,0.0231847255594913,0.41755127791425073,0.1683901016970715,1.8985592126846313,1.8704826831817627,0.028076576068997383,0.34282090764411377,0.1917978317018539
22,1.6548430899129267,1.6316094525709826,0.023233638188309595,0.4139596890386228,0.16825571897313024,1.9005762338638306,1.8743277788162231,0.026248477399349213,0.3450393418895284,0.1847145746624659
23,1.6374978580080908,1.6149473707359958,0.022550492767058634,0.4189788278195466,0.1651052271437522,1.9030234813690186,1.875423550605774,0.027599964290857315,0.3471346105094396,0.1892719268798828
24,1.6259610336947155,1.6033909294157964,0.022570118583777277,0.4251185622474171,0.16540445600237166,1.843422532081604,1.818151831626892,0.025270741432905197,0.3643451930376853,0.17941079820905412
25,1.6142796218497824,1.591990500226899,0.022289131631795796,0.42586461128631264,0.16366573537278298,1.9034051895141602,1.8764021396636963,0.027003098279237747,0.3496712653645147,0.1875941412789481
26,1.6062571152967757,1.5843043951077223,0.021952732438910848,0.43487911565487564,0.1623164273785642,1.8708761930465698,1.844327688217163,0.026548540219664574,0.34451101646181176,0.18512253534226192
27,1.594801511698869,1.5729657764484057,0.02183576858572008,0.44182065459674247,0.16159558583454914,1.8562073707580566,1.8312134742736816,0.024993903934955597,0.3607461684357963,0.17836075737362816
28,1.5875731575304384,1.5660409320036843,0.02153219424008605,0.4395555121242426,0.1603496981569904,1.878585696220398,1.8517711162567139,0.02681463025510311,0.35384538886172856,0.18586534167092944
29,1.5761948415621627,1.5548902620752174,0.02130459515111787,0.44658311609023826,0.15936338716858225,1.8185310363769531,1.7938169240951538,0.024714158847928047,0.3579688506776668,0.1767820782131619
30,1.5831914561545788,1.5618253084550422,0.021366138351045665,0.43711060325270773,0.15938287429678255,1.9465599060058594,1.9195929765701294,0.026966916397213936,0.35139319059120766,0.18767481001596603
31,1.5949042495885117,1.5736279980040664,0.021276248750403497,0.442652326046059,0.15950887748994022,1.8462491035461426,1.8217008113861084,0.024548321962356567,0.3470655264376982,0.17634099627298022
32,1.6111119595739394,1.5900943004325827,0.021017659801778204,0.4264608477519995,0.15837045955165527,1.9371724128723145,1.9113318920135498,0.02584047056734562,0.35509229989867763,0.18296429467579675
33,1.5882185531360147,1.5675529067159315,0.02066563502620912,0.43434301757918803,0.1566706228994872,1.8882880210876465,1.8624075651168823,0.02588043361902237,0.3508334841075514,0.18263072059268043
34,1.576504128114697,1.5558243259505438,0.020679776686630028,0.4409573473928717,0.1568103846092027,1.8464442491531372,1.8216253519058228,0.02481888048350811,0.3620945941659613,0.1777948500618102
35,1.5459934150905905,1.5254661788628556,0.02052723048912063,0.44921610782974913,0.15578644862478652,1.8681741952896118,1.842562198638916,0.025612032040953636,0.3588688911822283,0.1817524622357081
36,1.5377382581697685,1.5175127747136836,0.020225463816559458,0.4562115469386795,0.15463645035551665,1.8856418132781982,1.8594366312026978,0.02620519883930683,0.35440029227468345,0.18435229952373203
37,1.536585783178753,1.5163291442414775,0.020256623055099825,0.4580807172651877,0.15502142290650464,1.8172035217285156,1.7934412956237793,0.023762185126543045,0.36706221767231767,0.17360495007227336
38,1.534017703619348,1.5140191833656955,0.019998513428228244,0.45614596354881537,0.15366881890879647,1.9212027788162231,1.894824504852295,0.02637830376625061,0.35394878316820677,0.18497274792383586
39,1.5404026974088765,1.5204861584710994,0.019916530788303858,0.4533266222621126,0.15301148780652044,1.895951509475708,1.8708202838897705,0.025131236761808395,0.3416608506243536,0.18051603105333117
40,1.5342495332691632,1.5146317016237163,0.019617843068174365,0.4563450390276967,0.15182852950235654,1.9198322296142578,1.8940837383270264,0.02574852481484413,0.3615387290983957,0.18158629583933997
41,1.525864711111466,1.5062271732061128,0.01963751476174685,0.45996228594811256,0.1518308193055775,1.8369030952453613,1.8127628564834595,0.02414025366306305,0.3533706607025092,0.17630409059070407
42,1.505570727658559,1.4862303415797458,0.019340380487671817,0.4649795419011217,0.1505871180207717,1.8944536447525024,1.8695642948150635,0.024889403954148293,0.3595631010881665,0.17801961444673084
43,1.5030836049537855,1.483717724706548,0.01936587175472981,0.46245049330611165,0.15093534210257603,1.8607044219970703,1.8360224962234497,0.0246819406747818,0.3594182588295357,0.17789857349698507
44,1.4969137714159468,1.4778051142438144,0.01910865644759237,0.4688829422549712,0.1498821705015514,1.8563257455825806,1.8322551250457764,0.024070672690868378,0.35890320745403115,0.1751735626705109
45,1.4926034226474991,1.4736721423324743,0.018931282991976214,0.47325570807320866,0.1485062745269933,1.871109127998352,1.8469147682189941,0.02419441007077694,0.3607981251818013,0.17589346567789713
46,1.4831853959318282,1.464445859552866,0.01873952672270202,0.4741239967146922,0.14774782440133022,1.865543007850647,1.841421127319336,0.024121930822730064,0.35552594399539095,0.17640203142923022
47,1.4780071856848345,1.459303594907672,0.018703624327216624,0.4770834168770593,0.14750341786369808,1.893494963645935,1.8685364723205566,0.024958526715636253,0.3636203676298603,0.17854224310980904
48,1.4651294620435127,1.4466899563646562,0.018439527995332997,0.4805532235394798,0.1461223743458418,1.897280216217041,1.8726247549057007,0.0246554147452116,0.35832331860219996,0.1782167979649135
49,1.4614193453846207,1.442976630288024,0.018442721627075578,0.4820914719553405,0.14589159336845148,1.8567512035369873,1.833385944366455,0.023365316912531853,0.35902819376985323,0.17276777539934432
50,1.4684935034655047,1.4501908970371582,0.018302628690322377,0.4797612451967089,0.14533934043319624,1.923843502998352,1.8986784219741821,0.02516513504087925,0.3580517152855511,0.1794811733185299
51,1.4702154038900352,1.4519474707454083,0.018267921753958662,0.47393107911753407,0.1452295973050615,1.875783085823059,1.852251410484314,0.023531697690486908,0.35334394480336456,0.17424161093575613
52,1.4800211080380439,1.4619088162653622,0.018112272004919085,0.4779826439051731,0.1448056619877249,1.8524324893951416,1.829432725906372,0.02299981564283371,0.36542437607546496,0.17071946461995444
53,1.4663149202547057,1.4482706393309182,0.018044312117483446,0.47521312409531796,0.14462600681744836,1.8512651920318604,1.8276194334030151,0.023645706474781036,0.3619790285019883,0.17439610617501394
54,1.4583816485232617,1.4404861198645245,0.017895530361085873,0.48062063769139074,0.14376610773976206,1.884113073348999,1.8602341413497925,0.023878954350948334,0.35891273082271635,0.17508780767047216
55,1.4825113987142986,1.463944646044155,0.01856674060623022,0.4690172561861763,0.1473935598350433,1.9955538511276245,1.9691247940063477,0.026429060846567154,0.3326332657620666,0.18684692988320004
56,1.506889608353633,1.4883075414959617,0.01858205628451505,0.46586673924328686,0.14790398898100074,1.8415218591690063,1.8187949657440186,0.02272689901292324,0.36723175266811664,0.17058045523507254
57,1.4832205505666551,1.465227905321039,0.01799262989883066,0.47099484561400795,0.14514154739511198,1.8190017938613892,1.7964868545532227,0.022514916956424713,0.3637519876481626,0.169187137058803
