seed,model_kind,history_ms,history_steps,split,anchor_type,anchor_value,layer,state,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
11,a2,50,3,train,phase,0.25,L1,spike50,0.341708911135352,0.2119801779625427,0.3725167878436381,0.2029081684362535,0.930886533132944,0.2362151924514719,82
11,a2,50,3,train,phase,0.25,L1,syn_current,0.656966756019749,0.1773808198467041,0.6758068493092448,0.1660411482840555,0.7497017633761501,0.1557857765891778,555
11,a2,50,3,train,phase,0.25,L1,pre_reset,0.578645661421019,0.1717796820887112,0.6025266451333805,0.161758436174281,0.8112219248904874,0.1286981626250698,555
11,a2,50,3,train,phase,0.25,L2,spike50,0.1846827861913494,0.2211529790412341,0.333009911358767,0.215824223800231,0.9202562067706614,0.2651787637127914,33
11,a2,50,3,train,phase,0.25,L2,syn_current,0.3596904732873905,0.3215045835283946,0.3816697915644312,0.2936514838225446,0.951163398382235,0.1985323199226881,82
11,a2,50,3,train,phase,0.25,L2,pre_reset,0.3298899602360618,0.3219500666261926,0.3498545390220361,0.3005475379663282,0.9532358874690366,0.197621320864644,82
11,a2,50,3,train,phase,0.5,L1,spike50,0.302897306910136,0.1830202003053294,0.3422334519991128,0.1800954808455179,0.9662951863080852,0.1594855508068632,84
11,a2,50,3,train,phase,0.5,L1,syn_current,0.6339521353858564,0.1732676257091671,0.6542985797082862,0.161747462563061,0.7780269667241608,0.1366536111733837,555
11,a2,50,3,train,phase,0.5,L1,pre_reset,0.5657991607549289,0.166031002161745,0.591633598748416,0.156083672662724,0.8273442638024835,0.114541881488937,555
11,a2,50,3,train,phase,0.5,L2,spike50,0.1151425760302064,0.1546822200914787,0.3008151196511583,0.1529095420028851,0.9729257144550376,0.1536853110714192,42
11,a2,50,3,train,phase,0.5,L2,syn_current,0.2653301077204618,0.3310749360572643,0.3068546491634164,0.2701828497794451,0.9842715763119738,0.0969266408931017,84
11,a2,50,3,train,phase,0.5,L2,pre_reset,0.2250355258903815,0.326287755006462,0.2671804601825341,0.2708580301215698,0.9863592922226344,0.0952681518599591,84
11,a2,50,3,train,phase,0.75,L1,spike50,0.29069977496804,0.156096243289586,0.3278193006200495,0.1505064068462924,0.964400538154608,0.1688994180855762,76
