model_kind,history_ms,anchor_type,anchor_value,layer,state,corr_mean_mean,corr_mean_std,corr_mean_count,cosine_mean_mean,cosine_mean_std,cosine_mean_count,normalized_l2_mean_mean,normalized_l2_mean_std,normalized_l2_mean_count
a2,50,phase,0.25,L1,spike50,0.32766596235550893,0.047047147352648554,9,0.3552102147282589,0.05085504259956762,9,0.9022435861961936,0.023354944510942038,9
a2,50,phase,0.25,L1,syn_current,0.6842147339845345,0.03024459245918371,9,0.7051228202179259,0.0297230177375799,9,0.7209921316225474,0.030594846495518645,9
a2,50,phase,0.25,L1,pre_reset,0.6088136329881917,0.03024527041075382,9,0.6352840761638757,0.02972932558617803,9,0.7873562989805394,0.0241232222240689,9
a2,50,phase,0.25,L2,spike50,0.16544561300092667,0.063553769374047,8,0.2873109581295898,0.06125282659805084,8,0.8617519362492229,0.047984820443217585,9
a2,50,phase,0.25,L2,syn_current,0.32483415349030714,0.11433084911060731,9,0.35306952306932426,0.09448952186024778,9,0.9121804934494523,0.03078699415751929,9
a2,50,phase,0.25,L2,pre_reset,0.2931369540008202,0.12348802541610936,9,0.3183005980154125,0.10598610825264945,9,0.9141022254422145,0.030902210809533807,9
a2,50,phase,0.5,L1,spike50,0.30661153236370237,0.0369690881487263,9,0.3430704239099271,0.031524452814590855,9,0.9654632940152129,0.022371423139716178,9
a2,50,phase,0.5,L1,syn_current,0.6514890671207,0.017538816669985687,9,0.6720518056037696,0.016125320345740712,9,0.7659606297540313,0.013782153177875617,9
a2,50,phase,0.5,L1,pre_reset,0.5810043254121664,0.016567331542875152,9,0.6063915736533092,0.014944710735217586,9,0.8202880547504093,0.01064869879931076,9
a2,50,phase,0.5,L2,spike50,0.10079358911362397,0.0848132587342226,9,0.27757042230643914,0.04918077160291037,9,0.9737164358634884,0.014054979674350926,9
a2,50,phase,0.5,L2,syn_current,0.3037968078644505,0.06942909438458619,9,0.323793996270352,0.053289573339135816,9,0.9871430352554,0.003062471687131612,9
a2,50,phase,0.5,L2,pre_reset,0.26199245791935905,0.07596850203748276,9,0.2836171084180955,0.06101221871725954,9,0.9892970668605473,0.003654579918493697,9
a2,50,phase,0.75,L1,spike50,0.26966066444367526,0.04539921996823451,9,0.3076569574038504,0.043348418870358986,9,0.9704879988731157,0.01805009276247568,9
a2,50,phase,0.75,L1,syn_current,0.638116081387896,0.016417970208295923,9,0.6609783891187868,0.0155720021511201,9,0.779631996679412,0.011224021403060737,9
a2,50,phase,0.75,L1,pre_reset,0.5743337978407306,0.01730286335029711,9,0.6007826194547736,0.014809301272370257,9,0.8269991651624221,0.011293589639203312,9
a2,50,phase,0.75,L2,spike50,0.08720065271180547,0.042533918954852076,9,0.2618110896146674,0.030517106507226846,9,0.9894450962298631,0.010970058881766312,9
a2,50,phase,0.75,L2,syn_current,0.20713572357336812,0.02695521392108966,9,0.22471316779191466,0.02841912961919608,9,0.9944090748032137,0.0017073806528841871,9
a2,50,phase,0.75,L2,pre_reset,0.17443341614766822,0.028693709331633486,9,0.1924866117535743,0.028744046982174153,9,0.9955871453562205,0.0016219447587631506,9
a2,50,phase,1.0,L1,spike50,0.3249622783646074,0.10040762236989242,9,0.35898452367310124,0.09241757945666863,9,0.9825296358894445,0.013058398764907109,9
a2,50,phase,1.0,L1,syn_current,0.5468258879987852,0.025576412848927994,9,0.5715661938569019,0.02488427881231366,9,0.8566476923829723,0.019283858404017157,9
a2,50,phase,1.0,L1,pre_reset,0.487211540243584,0.026391118918758432,9,0.5147194924962695,0.02388377843151835,9,0.8889213355923467,0.015242207045513706,9
a2,50,phase,1.0,L2,spike50,0.06339956287397322,0.06331614443191731,8,0.24366228686441352,0.07989535311513596,8,0.9916225769923019,0.007273306738288463,9
a2,50,phase,1.0,L2,syn_current,0.20918956340679828,0.09290968391426953,9,0.23627083439072796,0.10554191728999222,9,0.9980298030336565,0.002217353415521038,9
a2,50,phase,1.0,L2,pre_reset,0.16953507561592143,0.09476864982611406,9,0.20326490399949573,0.1111965369888962,9,0.9985160732780503,0.0016755790636452251,9
a2,50,stroke,mid_stroke,L1,spike50,0.2615622945603138,0.03953714635272524,3,0.2994029425823561,0.039195679449947146,3,0.9848175997881254,0.001162091538872314,3
a2,50,stroke,stroke_end,L1,spike50,0.26269570065788167,0.027329464484338543,3,0.3084579648088606,0.030881593038073953,3,0.9924987926916636,0.0011468007059184649,3
a2,50,stroke,mid_stroke,L1,syn_current,0.6610770358914465,0.011120523726354284,3,0.68375297702995,0.009810468828661647,3,0.7572038153835553,0.006171215545335447,3
a2,50,stroke,stroke_end,L1,syn_current,0.6320808298168171,0.016169694833150186,3,0.6541837189611464,0.01440151063981204,3,0.7834070442314524,0.00568448994010997,3
a2,50,stroke,mid_stroke,L1,pre_reset,0.5889645539464814,0.013422215454567173,3,0.6161469494742141,0.010445254906560935,3,0.8117405314600615,0.006829011673882748,3
a2,50,stroke,stroke_end,L1,pre_reset,0.5642865172612085,0.017087238919364325,3,0.5902513629869581,0.013805639705730375,3,0.8325203182598644,0.00490826640485289,3
a2,50,stroke,mid_stroke,L2,spike50,0.0720835481800868,0.01962648143326529,3,0.20462372831340678,0.022445053426555107,3,0.9836439540391809,0.0022602889850172644,3
a2,50,stroke,stroke_end,L2,spike50,0.11568820447389304,0.02165108491068376,3,0.27305852050526047,0.013150500830405183,3,0.9967612316859173,0.0005597234848709703,3
a2,50,stroke,mid_stroke,L2,syn_current,0.19767562256565516,0.06008906282256179,3,0.22849169639380928,0.05338926407929765,3,0.9884743484820753,0.0010236613444865544,3
a2,50,stroke,stroke_end,L2,syn_current,0.2355460355607125,0.008219958938662184,3,0.24426584956586647,0.024278771412823114,3,0.9941162368972623,0.00015189253897179492,3
a2,50,stroke,mid_stroke,L2,pre_reset,0.17659696387305002,0.06432415716417587,3,0.2022653505323733,0.057187394311308565,3,0.990140765602093,0.0012997498787100147,3
a2,50,stroke,stroke_end,L2,pre_reset,0.2007730077377858,0.002820840273063974,3,0.2108091858065684,0.013055714080249118,3,0.995734981126196,0.00035280395499210526,3
a2,100,phase,0.25,L1,spike50,0.5406449116404614,0.03403147350707469,9,0.5622394674361851,0.03649318079986078,9,0.8212058298905414,0.03700036750791227,9
a2,100,phase,0.25,L1,syn_current,0.8514415190017766,0.0300567468180767,9,0.8635480057149626,0.028684790467216878,9,0.5052357849414961,0.047147721885614446,9
a2,100,phase,0.25,L1,pre_reset,0.8149740390347365,0.03221729308499269,9,0.8302143429637014,0.0308844121898014,9,0.5520854307869211,0.04393660752423942,9
a2,100,phase,0.25,L2,spike50,0.32206484645615013,0.06625310985386122,9,0.4571387754049684,0.07287263640210355,9,2745981661.0274067,5880084206.084257,9
a2,100,phase,0.25,L2,syn_current,0.48271890217998475,0.05862324649329029,9,0.5076661123798948,0.050234235179365004,9,0.841719785549383,0.04624983031989628,9
a2,100,phase,0.25,L2,pre_reset,0.45779291650620835,0.05673045844997745,9,0.47642551803433847,0.04829136658808854,9,0.8499795794091952,0.045027880976396095,9
a2,100,phase,0.5,L1,spike50,0.48180021274690765,0.02664082415734332,9,0.5101867650334156,0.023213032736070727,9,0.9152613045165443,0.015669663770419152,9
a2,100,phase,0.5,L1,syn_current,0.8100277656109918,0.016468668139443535,9,0.8245973324703275,0.014853449605599558,9,0.6009091065264803,0.01633410411315852,9
a2,100,phase,0.5,L1,pre_reset,0.7716915483715984,0.016006203268072144,9,0.7893567420350683,0.014099042330982622,9,0.637125224536498,0.01567669841303962,9
a2,100,phase,0.5,L2,spike50,0.24733722829487745,0.0358622618532949,9,0.4220079335058612,0.03317835586318428,9,0.9451050945306635,0.006794726702931621,9
a2,100,phase,0.5,L2,syn_current,0.3968261579469358,0.04101740105528763,9,0.42127928524085934,0.03659848335816367,9,0.9492934420861641,0.009651469864230426,9
a2,100,phase,0.5,L2,pre_reset,0.36151671721371464,0.044373985998694444,9,0.3809001224730261,0.041204871747293245,9,0.9584575791962899,0.00875249247809128,9
a2,100,phase,0.75,L1,spike50,0.46247547851475684,0.02544537205878616,9,0.4945681535047998,0.02495931821495751,9,0.9245010782414558,0.012128601235875565,9
a2,100,phase,0.75,L1,syn_current,0.7958802563789455,0.018123211040385775,9,0.8114194293298673,0.017067163517453538,9,0.6224333169490353,0.014046066675170554,9
a2,100,phase,0.75,L1,pre_reset,0.7611982085602995,0.018935312209815747,9,0.7787935177173412,0.01743546881759812,9,0.6517882370021266,0.017202235541685283,9
a2,100,phase,0.75,L2,spike50,0.14573702039998732,0.02792379554737094,9,0.35275623707578496,0.02437366127827891,9,0.9692576299909853,0.010803126375187095,9
a2,100,phase,0.75,L2,syn_current,0.27835429675036855,0.03312819323923438,9,0.3194405242641936,0.02737187275160762,9,0.9731200897453974,0.006301368274006625,9
a2,100,phase,0.75,L2,pre_reset,0.24122167113448573,0.031686232405721104,9,0.2738007253269445,0.02783452624097432,9,0.979152461271386,0.004490070828907757,9
a2,100,phase,1.0,L1,spike50,0.40764122322590474,0.04237372159211613,9,0.43623528415918394,0.04272395241706512,9,0.9627340331900387,0.012043808717477516,9
a2,100,phase,1.0,L1,syn_current,0.7095951238594043,0.0272371335020668,9,0.7282871164798941,0.02645522654470924,9,0.7234457159709136,0.02191986997385462,9
a2,100,phase,1.0,L1,pre_reset,0.674662479542134,0.024323528111135712,9,0.6951987095973082,0.021871213788368406,9,0.7439641281658939,0.017917933946125692,9
a2,100,phase,1.0,L2,spike50,0.10076000143860117,0.06724658201300257,9,0.31000858903700007,0.0640001902787792,9,0.9834543898185495,0.007226578747293986,9
a2,100,phase,1.0,L2,syn_current,0.16738461007378527,0.09118315806109482,9,0.21808158199819,0.07786492942108497,9,0.9915089694176795,0.0060011760510410616,9
a2,100,phase,1.0,L2,pre_reset,0.1390022540422869,0.09065974236247357,9,0.1777543697866069,0.07588266582282653,9,0.9935201787520417,0.004624512325516789,9
a2,100,stroke,mid_stroke,L1,spike50,0.5198423262728332,0.02927914311306561,3,0.550143069471042,0.027217548891861235,3,0.8918428011621607,0.005843377205149574,3
a2,100,stroke,stroke_end,L1,spike50,0.4218343943090703,0.021115101210073317,3,0.4553967192393633,0.020608094190872953,3,0.953276449151449,0.004322162310717051,3
a2,100,stroke,mid_stroke,L1,syn_current,0.8406181251709876,0.00632809021172356,3,0.8535450233602733,0.003787385783507042,3,0.5553471074256356,0.006258224724142468,3
a2,100,stroke,stroke_end,L1,syn_current,0.7919487932011107,0.0134260670384131,3,0.8076063891008051,0.011553102759791347,3,0.6319766321752315,0.003849625004927774,3
a2,100,stroke,mid_stroke,L1,pre_reset,0.8053098232027716,0.004985313642266326,3,0.8205752870895622,0.0017851011881508357,3,0.5911746370853832,0.012489878595770713,3
a2,100,stroke,stroke_end,L1,pre_reset,0.7524291450551736,0.012590140648468081,3,0.7704563758716588,0.008933779382028318,3,0.6637749372558215,0.00564088569010998,3
a2,100,stroke,mid_stroke,L2,spike50,0.2611291843699244,0.038401179141278836,3,0.4365569326793923,0.02595062257262909,3,0.9285639697850322,0.006559169248365219,3
a2,100,stroke,stroke_end,L2,spike50,0.1305164961218621,0.02393682609480241,3,0.34566378193751984,0.011966642015354988,3,0.9797024543457488,0.0029861579980944583,3
a2,100,stroke,mid_stroke,L2,syn_current,0.39663288751187215,0.04899291173244074,3,0.42838529640504625,0.04826241796488296,3,0.9208826613080037,0.01199051531751603,3
a2,100,stroke,stroke_end,L2,syn_current,0.2544193078307578,0.026834591762230707,3,0.2856156737810162,0.023430090232419636,3,0.9777753305204437,0.0025709834365276836,3
a2,100,stroke,mid_stroke,L2,pre_reset,0.3694259312752978,0.047620787939034105,3,0.39129457174849597,0.04710144010140364,3,0.9324236439608633,0.009877248295295786,3
a2,100,stroke,stroke_end,L2,pre_reset,0.21433829499116477,0.028825662678139536,3,0.23691144467161715,0.026737802029996663,3,0.9842850353171118,0.002151327348319881,3
a2,250,phase,0.25,L1,spike50,0.9014742008365518,0.01696344324017457,9,0.9069915894295418,0.01620751718063469,9,761035007.9585872,2283105022.805611,9
a2,250,phase,0.25,L1,syn_current,0.9867643197875164,0.0062313326645465445,9,0.9881079341851466,0.005677932031128927,9,0.12753638219073768,0.038379985241645806,9
a2,250,phase,0.25,L1,pre_reset,0.9794816495470111,0.007812175030416469,9,0.981542540624472,0.007125882623366372,9,0.16093129069725454,0.03815731963525792,9
a2,250,phase,0.25,L2,spike50,0.7761575798983933,0.052828010056485186,9,0.840213009767333,0.03812674500682077,9,0.4216957736925489,0.0841070969024646,9
a2,250,phase,0.25,L2,syn_current,0.8562041037484742,0.036784435693643994,9,0.8749233055035822,0.03129633617176521,9,680370389.3577515,2041111166.8742502,9
a2,250,phase,0.25,L2,pre_reset,0.84781778804741,0.04148094310102956,9,0.8617728076400443,0.03692144956602903,9,680370389.3703176,2041111166.872342,9
a2,250,phase,0.5,L1,spike50,0.8266275885587748,0.02024865024428326,9,0.8362127665978757,0.020531447334397757,9,0.5888414434595998,0.037718783546918024,9
a2,250,phase,0.5,L1,syn_current,0.9701180255608812,0.006323089351582465,9,0.9731151850484692,0.0054862305241162425,9,0.2726947197355434,0.022922531348328043,9
