seed,probe_type,val_ba,test_ba,test_accuracy,test_macro_f1
11,local_whole_count,0.5423340548340548,0.5139554889554888,0.5273972602739726,0.5018936867962301
11,local_fixed250_ordered,0.5880411255411254,0.642110667110667,0.6575342465753424,0.6354867189266167
11,local_relative10_ordered,0.6473063973063974,0.7153339715839716,0.7397260273972602,0.7174285682496636
23,local_whole_count,0.5326899951899952,0.5378399378399378,0.547945205479452,0.5225037677699504
23,local_fixed250_ordered,0.5996572871572871,0.5990842490842491,0.6164383561643836,0.5986990634587889
23,local_relative10_ordered,0.6194023569023569,0.6447621822621822,0.6575342465753424,0.6585637373574261
37,local_whole_count,0.5340007215007215,0.5637758075258075,0.5753424657534246,0.5644624413507618
37,local_fixed250_ordered,0.5673340548340549,0.6261002886002885,0.636986301369863,0.6243858700327176
37,local_relative10_ordered,0.6205808080808081,0.7174152236652236,0.7397260273972602,0.7191265840089827
53,local_whole_count,0.5505411255411256,0.5228098290598291,0.5342465753424658,0.5157559911316305
53,local_fixed250_ordered,0.5443241943241944,0.6574966699966699,0.6712328767123288,0.653556891785736
53,local_relative10_ordered,0.6444925444925445,0.7077200577200577,0.726027397260274,0.7103824155235446
71,local_whole_count,0.5045695045695046,0.5810987623487623,0.6027397260273972,0.5653630647476149
71,local_fixed250_ordered,0.5429713804713804,0.6004821567321567,0.6164383561643836,0.6021233087899754
71,local_relative10_ordered,0.630940355940356,0.6622655122655122,0.678082191780822,0.6608761397443701
