objective,phase_weight,progress_weight,seed,fixed_when_architecture,ablation,replicate,native_test_phase_ba,native_test_progress_mae,probe_test_phase_ba,probe_test_progress_mae,probe_test_sample_balanced_mae_mean,probe_test_sample_balanced_mae_sd,probe_test_spearman_mean,probe_test_spearman_sd,probe_test_monotonic_violation_rate_mean,probe_test_monotonic_violation_rate_sd
phase_only,1.0,0.0,11,rsnn_shortmem,ordered,0,0.36221581208496306,0.34759660289712146,0.34542056231670626,0.11966448277235031,0.12965056187894247,0.05889905498360736,0.9388784757241235,0.04653033304575845,0.31473852916186823,0.06166746582110129
phase_only,1.0,0.0,11,rsnn_shortmem,state_reset,0,0.15108734668365764,0.27088789743919894,0.3183388909857105,0.14437149465084076,0.14756256066364784,0.03735069408373406,0.8642234469130593,0.08183545998609769,0.3984860958402596,0.05006582637566417
phase_only,1.0,0.0,11,rsnn_shortmem,temporal_shuffle,0,0.12158155746454821,0.2945959208762809,0.22948063651751913,0.19423162937164307,0.19231703826417662,0.03953014130197135,0.6160365346847917,0.218938124385007,0.45188464583497034,0.03842966275819733
phase_only,1.0,0.0,11,rsnn_shortmem,temporal_shuffle,1,0.12211320108317833,0.29634790551172546,0.23424281452192175,0.19232052564620972,0.19133265403239694,0.04513819966626813,0.6201161901278852,0.23748287149011232,0.4512430093504667,0.04527513892554382
phase_only,1.0,0.0,11,rsnn_shortmem,temporal_shuffle,2,0.13266935061710602,0.2960111278377167,0.23441790805249635,0.19340954720973969,0.1916379887763768,0.044029457633062215,0.6239275216481264,0.2378358966688552,0.45355135410913977,0.03764404871549218
phase_only,1.0,0.0,11,rsnn_shortmem,temporal_shuffle,3,0.12341559438106431,0.2948774801541681,0.22479943529264235,0.19309619069099426,0.19182183093404118,0.04561707390083119,0.619754472283901,0.20939391168505353,0.4519193700380594,0.03932595505914358
phase_only,1.0,0.0,11,rsnn_shortmem,temporal_shuffle,4,0.11927478335228052,0.29523209023149044,0.23503850255488112,0.1926015168428421,0.19087367219059434,0.04275287086106227,0.6212880168715571,0.22898327671697016,0.45536875333597315,0.03637498464463799
phase_only,1.0,0.0,23,rsnn_shortmem,ordered,0,0.38255742044975777,0.3519203107650966,0.36321816864189993,0.11387139558792114,0.12249497946811048,0.05833857583206001,0.9377768368583566,0.05839537697206157,0.30432927763496115,0.060336681931620194
phase_only,1.0,0.0,23,rsnn_shortmem,state_reset,0,0.1564736294772933,0.26453420887254686,0.32143631971638803,0.13936464488506317,0.14263614996859472,0.03593141696083591,0.8785972668215669,0.0652723655982065,0.39622437333247,0.057265651373987425
phase_only,1.0,0.0,23,rsnn_shortmem,temporal_shuffle,0,0.12899716911633852,0.2835538419958663,0.25429400971359667,0.18331851065158844,0.18070260108741995,0.041750473863635056,0.7114075762898252,0.20972760477667793,0.4425152649061036,0.038464838089864256
phase_only,1.0,0.0,23,rsnn_shortmem,temporal_shuffle,1,0.12355817437342449,0.28487302832407496,0.2497711528540337,0.18764306604862213,0.1877421736717224,0.04370487705359385,0.6978362665327883,0.19555686238998823,0.44923333342143507,0.04269177119562914
phase_only,1.0,0.0,23,rsnn_shortmem,temporal_shuffle,2,0.13153058120786904,0.28649300091887175,0.25724715242581453,0.17899125814437866,0.17730337304815855,0.040167650634717646,0.7159749481884268,0.19965540106014817,0.43945219397361057,0.04100301163300636
phase_only,1.0,0.0,23,rsnn_shortmem,temporal_shuffle,3,0.13127450450170308,0.2849430058100452,0.2485765155478398,0.18744979798793793,0.18622984400350753,0.0438893608760448,0.6808445490522466,0.22782595252407567,0.4469551580306151,0.037369736792759435
phase_only,1.0,0.0,23,rsnn_shortmem,temporal_shuffle,4,0.12221507080283352,0.28479253429256074,0.2685287372292872,0.17943839728832245,0.17843284156836875,0.04041133193388888,0.7068826049651797,0.20576933991316707,0.4468091534789012,0.04089733039549968
phase_only,1.0,0.0,37,rsnn_shortmem,ordered,0,0.3896535177513972,0.25633003940321,0.36300623221313544,0.11295441538095474,0.1231906761810796,0.060682128070534816,0.9503672785218182,0.04488384466803307,0.29559707746599995,0.058949505031437914
phase_only,1.0,0.0,37,rsnn_shortmem,state_reset,0,0.14845021402786335,0.25100225945041604,0.3217246738805601,0.14430442452430725,0.1482744182217611,0.03566712863156765,0.8489702560550975,0.09062745439397521,0.3984761619970755,0.05358123718637684
phase_only,1.0,0.0,37,rsnn_shortmem,temporal_shuffle,0,0.1272023439287187,0.22449967959155775,0.266826274838437,0.1659022718667984,0.1662347669879051,0.04495181656096376,0.7419331184310747,0.18902012834069887,0.4289492795170108,0.03949350904341245
phase_only,1.0,0.0,37,rsnn_shortmem,temporal_shuffle,1,0.1201968395972813,0.22555250337679092,0.28206416294296294,0.15904201567173004,0.1589841725789521,0.043140187092727114,0.7415125162922642,0.18258389530822788,0.4311491725475452,0.038635101011504795
phase_only,1.0,0.0,37,rsnn_shortmem,temporal_shuffle,2,0.1272945390545185,0.22302284142742418,0.2794184982592255,0.16454505920410156,0.16515854654246814,0.05165763390878504,0.7310476919223411,0.22736209157167048,0.4322089069969305,0.03598124075234748
