objective,phase_weight,progress_weight,seed,fixed_when_architecture,mean_raw_phase_grad_norm,mean_raw_progress_grad_norm,mean_weighted_phase_grad_norm,mean_weighted_progress_grad_norm,mean_weighted_phase_grad_fraction,mean_weighted_progress_grad_fraction,best_epoch_weighted_phase_grad_fraction,best_epoch_weighted_progress_grad_fraction
phase_only,1.0,0.0,11,rsnn_shortmem,1.0659264159202575,0.44290565222501754,1.0659264159202575,0.0,0.9999999999989251,0.0,0.9999999999992676,0.0
phase_only,1.0,0.0,23,rsnn_shortmem,1.0188867864012718,0.4647328785061836,1.0188867864012718,0.0,0.9999999999987316,0.0,0.9999999999988876,0.0
phase_only,1.0,0.0,37,rsnn_shortmem,0.9365404501557351,0.3451772341132164,0.9365404501557351,0.0,0.9999999999987285,0.0,0.9999999999992004,0.0
phase_only,1.0,0.0,53,rsnn_shortmem,1.1303510484099388,0.1469931555539369,1.1303510484099388,0.0,0.9999999999988683,0.0,0.9999999999993596,0.0
phase_only,1.0,0.0,71,rsnn_shortmem,1.0601444837450982,0.2255544273555279,1.0601444837450982,0.0,0.9999999999988646,0.0,0.9999999999990006,0.0
phase_heavy,5.0,1.0,11,rsnn_shortmem,1.057885766327381,0.04422961968928571,5.289428831636906,0.04422961968928571,0.9899528302822325,0.010047169717548345,0.9900479284444808,0.0099520715553719
phase_heavy,5.0,1.0,23,rsnn_shortmem,0.9846197047829628,0.05610871281474825,4.923098523914814,0.05610871281474825,0.9880839876778045,0.011916012321945103,0.9847997173849874,0.0152002826147847
phase_heavy,5.0,1.0,37,rsnn_shortmem,0.9975303712487221,0.037539360318332854,4.987651856243611,0.037539360318332854,0.9917774526585706,0.008222547341188687,0.9895159058431998,0.0104840941566303
phase_heavy,5.0,1.0,53,rsnn_shortmem,1.0440618920326232,0.04338676745072004,5.220309460163117,0.04338676745072004,0.9901125682413023,0.009887431758455604,0.9905163341744154,0.0094836658253227
phase_heavy,5.0,1.0,71,rsnn_shortmem,1.0586594688892363,0.055343308649025806,5.293297344446183,0.055343308649025806,0.9891757734453512,0.010824226554430065,0.9877994190391308,0.0122005809606743
joint,1.0,1.0,11,rsnn_shortmem,1.0185939165949822,0.03762186802923675,1.0185939165949822,0.03762186802923675,0.9580130387250579,0.04198696127385019,0.9744045094557064,0.0255954905428837
joint,1.0,1.0,23,rsnn_shortmem,0.9651248991489411,0.05417325003072616,0.9651248991489411,0.05417325003072616,0.945225349541093,0.054774650457707234,0.9265635581027108,0.0734364418958427
joint,1.0,1.0,37,rsnn_shortmem,0.9752375400066375,0.047480788109824014,0.9752375400066375,0.047480788109824014,0.9522395608785204,0.04776043912031639,0.9272242333388964,0.0727757666601084
joint,1.0,1.0,53,rsnn_shortmem,1.0201289117336274,0.046054362813010764,1.0201289117336274,0.046054362813010764,0.950810215497475,0.049189784501342704,0.9567807455750696,0.0432192544239557
joint,1.0,1.0,71,rsnn_shortmem,1.109650928378105,0.06892261637374755,1.109650928378105,0.06892261637374755,0.9400378449227479,0.059962155076206704,0.9323659554838366,0.0676340445138696
progress_heavy,0.2,1.0,11,rsnn_shortmem,1.089568473994732,0.06327427798882121,0.21791369479894637,0.06327427798882121,0.7701745100557729,0.229825489939925,0.7043354245630616,0.295664575434394
progress_heavy,0.2,1.0,23,rsnn_shortmem,0.8698181280493736,0.050453185075893955,0.17396362560987474,0.050453185075893955,0.7797484015100501,0.2202515984848125,0.6004146293103482,0.3995853706846315
progress_heavy,0.2,1.0,37,rsnn_shortmem,0.9660108971595764,0.050271618990227536,0.19320217943191526,0.050271618990227536,0.7903029727084575,0.20969702728672068,0.8544544530360526,0.1455455469614618
progress_heavy,0.2,1.0,53,rsnn_shortmem,1.0319223803281785,0.04245025129988785,0.20638447606563562,0.04245025129988785,0.8097275480760261,0.19027245191908176,0.8801993847671267,0.1198006152286209
progress_heavy,0.2,1.0,71,rsnn_shortmem,0.9527513125538826,0.06038354965858156,0.19055026251077653,0.06038354965858156,0.7564342073558119,0.24356579263933223,0.7396571620261392,0.2603428379677697
progress_only,0.0,1.0,11,rsnn_shortmem,1.9826768553256988,0.030721105653792567,0.0,0.030721105653792567,0.0,0.9999999999479834,0.0,0.9999999999713604
progress_only,0.0,1.0,23,rsnn_shortmem,2.473627028465271,0.04133319724816825,0.0,0.04133319724816825,0.0,0.9999999999565132,0.0,0.9999999999669756
progress_only,0.0,1.0,37,rsnn_shortmem,2.5125644254684447,0.03227801858447488,0.0,0.03227801858447488,0.0,0.9999999999465489,0.0,0.999999999941811
progress_only,0.0,1.0,53,rsnn_shortmem,2.3235944509506226,0.03285850656218822,0.0,0.03285850656218822,0.0,0.9999999999555045,0.0,0.999999999974111
progress_only,0.0,1.0,71,rsnn_shortmem,2.5661935198307035,0.04551357221789654,0.0,0.04551357221789654,0.0,0.9999999999630275,0.0,0.9999999999113588
