objective,phase_weight,progress_weight,seed,fixed_when_architecture,feature_dim,feature_type,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_val_ba,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_monotonic_violation_rate_mean,progress_probe_test_monotonic_violation_rate_sd,progress_probe_test_n_gestures,progress_probe_test_r2,progress_probe_test_sample_balanced_mae_mean,progress_probe_test_sample_balanced_mae_sd,progress_probe_test_spearman_mean,progress_probe_test_spearman_sd,progress_probe_val_mae,progress_probe_val_monotonic_violation_rate_mean,progress_probe_val_monotonic_violation_rate_sd,progress_probe_val_n_gestures,progress_probe_val_sample_balanced_mae_mean,progress_probe_val_sample_balanced_mae_sd,progress_probe_val_spearman_mean,progress_probe_val_spearman_sd
phase_only,1.0,0.0,11,rsnn_shortmem,128,membrane,1.0,0.34956925115970844,0.34542056231670626,0.33002241205830385,0.35830026748943755,10.0,0.11966448277235031,0.31473852916186823,0.06166746582110129,146.0,0.7201614379882812,0.12965056187894247,0.05889905498360736,0.9388784757241235,0.04653033304575845,0.11918846517801285,0.3026260398937661,0.0734520552503544,126.0,0.12438318094918652,0.06616717888089353,0.91373930222612,0.13964091785980481
phase_only,1.0,0.0,11,rsnn_shortmem,128,synaptic,1.0,0.35263419483101394,0.34857987065519913,0.3333596446076425,0.3594842647394549,10.0,0.12073957175016403,,,,0.7197946310043335,,,,,0.1208919808268547,,,,,,,
phase_only,1.0,0.0,11,rsnn_shortmem,128,spike,1.0,0.3414512922465209,0.3371414198728508,0.31842148153749816,0.3422061632898703,10.0,0.11936663836240768,,,,0.7256984114646912,,,,,0.12069320678710938,,,,,,,
phase_only,1.0,0.0,11,rsnn_shortmem,128,spike250,10.0,0.33722664015904574,0.33273710674085194,0.3120783401847594,0.3453846677625855,10.0,0.11779908835887909,,,,0.7240739464759827,,,,,0.11684339493513107,,,,,,,
phase_only,1.0,0.0,11,rsnn_shortmem,128,spike500,0.01,0.32165341285619614,0.31692553042184074,0.292560827371662,0.3360382413356907,10.0,0.11906739324331284,,,,0.7145355939865112,,,,,0.11792585998773575,,,,,,,
phase_only,1.0,0.0,23,rsnn_shortmem,128,membrane,0.01,0.36771040424121937,0.36321816864189993,0.34731472576803685,0.3494816355643043,0.01,0.11387139558792114,0.30432927763496115,0.060336681931620194,146.0,0.7407454252243042,0.12249497946811048,0.05833857583206001,0.9377768368583566,0.05839537697206157,0.12128546833992004,0.30120313792941117,0.07173731875325944,126.0,0.12693558766373567,0.06525213149179834,0.9335364256764341,0.07757726667105731
phase_only,1.0,0.0,23,rsnn_shortmem,128,synaptic,0.01,0.36406560636182905,0.3595896991774408,0.3436689308558397,0.35269579762853437,0.1,0.11496291309595108,,,,0.7372324466705322,,,,,0.12058573216199875,,,,,,,
phase_only,1.0,0.0,23,rsnn_shortmem,128,spike,0.01,0.3492379058979457,0.3447104209763556,0.3259675413377347,0.3413038881427727,10.0,0.11615157872438431,,,,0.735253095626831,,,,,0.1204751655459404,,,,,,,
phase_only,1.0,0.0,23,rsnn_shortmem,128,spike250,0.01,0.3351557322730285,0.33053424813380594,0.309801043855697,0.32370458686769343,10.0,0.11474910378456116,,,,0.7355358600616455,,,,,0.11877547204494476,,,,,,,
phase_only,1.0,0.0,23,rsnn_shortmem,128,spike500,1.0,0.3190026507620941,0.3143698847817347,0.2912844738011944,0.3207754233755026,10.0,0.11680282652378082,,,,0.7277672290802002,,,,,0.11947930604219437,,,,,,,
phase_only,1.0,0.0,37,rsnn_shortmem,128,membrane,0.01,0.3666335321404904,0.36300623221313544,0.34873198141015055,0.35397931945873734,10.0,0.11295441538095474,0.29559707746599995,0.058949505031437914,146.0,0.7385920286178589,0.1231906761810796,0.060682128070534816,0.9503672785218182,0.04488384466803307,0.11730173975229263,0.29510059904332264,0.07370234410034322,126.0,0.1227068542428906,0.06362270533060435,0.9401643697049284,0.0863195448452426
phase_only,1.0,0.0,37,rsnn_shortmem,128,synaptic,10.0,0.3682074221338635,0.3644667748674131,0.35100401478738413,0.35555204302491994,10.0,0.1125042587518692,,,,0.7411447763442993,,,,,0.1166023537516594,,,,,,,
phase_only,1.0,0.0,37,rsnn_shortmem,128,spike,0.01,0.3576043737574553,0.353532534613971,0.33724825140600606,0.33666202947363144,0.1,0.11260557919740677,,,,0.7411288619041443,,,,,0.11632178723812103,,,,,,,
phase_only,1.0,0.0,37,rsnn_shortmem,128,spike250,10.0,0.34029158383035124,0.33637681813459114,0.3185775899171728,0.3321783520864704,10.0,0.10871398448944092,,,,0.7547639608383179,,,,,0.11258389055728912,,,,,,,
phase_only,1.0,0.0,37,rsnn_shortmem,128,spike500,10.0,0.3333333333333333,0.32923399541269144,0.3099131314479521,0.33223720757397024,10.0,0.10911539942026138,,,,0.7545720934867859,,,,,0.1126955896615982,,,,,,,
phase_only,1.0,0.0,53,rsnn_shortmem,128,membrane,0.1,0.3741716368455931,0.36993051052420445,0.3559416734227602,0.3461844854457773,0.1,0.1134537011384964,0.2908509532818454,0.05930298423300676,146.0,0.7453243732452393,0.12304065570439378,0.059843049527555876,0.94780774156774,0.04040142545186896,0.12077448517084122,0.29520641153320837,0.06894164881067905,126.0,0.12623961169331793,0.06722401684853599,0.9244218717728149,0.14359511032649677
phase_only,1.0,0.0,53,rsnn_shortmem,128,synaptic,10.0,0.3694499668654738,0.3651374956580967,0.3509389255120695,0.3479841327954425,10.0,0.11469347029924393,,,,0.7421277165412903,,,,,0.12258394807577133,,,,,,,
phase_only,1.0,0.0,53,rsnn_shortmem,128,spike,1.0,0.3605036447978794,0.3558692580578303,0.33783258412404443,0.3408653679846685,10.0,0.11424035578966141,,,,0.7460465431213379,,,,,0.12251675873994827,,,,,,,
phase_only,1.0,0.0,53,rsnn_shortmem,128,spike250,0.01,0.34095427435387676,0.33601879336419715,0.3170622809579054,0.33397655190112696,10.0,0.11121976375579834,,,,0.7524778246879578,,,,,0.1178271621465683,,,,,,,
phase_only,1.0,0.0,53,rsnn_shortmem,128,spike500,0.01,0.3321736249171637,0.3274712772483814,0.3072286055916828,0.33023762216496066,10.0,0.11280518025159836,,,,0.7449320554733276,,,,,0.11858248710632324,,,,,,,
phase_only,1.0,0.0,71,rsnn_shortmem,128,membrane,1.0,0.3533797216699801,0.34888763312641213,0.33175391081794003,0.352682519165444,0.1,0.11900126188993454,0.28679684406369504,0.06158096885772233,146.0,0.730589747428894,0.12737795618707187,0.05624436801002051,0.9369189237866024,0.06501144906360352,0.12134590744972229,0.2764598779682999,0.07468946449793872,126.0,0.1297206442862276,0.07575071812931126,0.9071242349195602,0.1658352624383927
phase_only,1.0,0.0,71,rsnn_shortmem,128,synaptic,10.0,0.35453943008614974,0.34999208508078594,0.33292307064841314,0.3549100400551467,0.01,0.11924321204423904,,,,0.7293374538421631,,,,,0.12177439033985138,,,,,,,
phase_only,1.0,0.0,71,rsnn_shortmem,128,spike,1.0,0.34493041749502984,0.34019163932581975,0.3195826368814726,0.33679506192721226,10.0,0.1203753650188446,,,,0.7241068482398987,,,,,0.1217065155506134,,,,,,,
phase_only,1.0,0.0,71,rsnn_shortmem,128,spike250,0.01,0.3267064280980782,0.32174117603357577,0.29879775706128225,0.3331591447957871,10.0,0.11800971627235413,,,,0.7264406681060791,,,,,0.12072831392288208,,,,,,,
phase_only,1.0,0.0,71,rsnn_shortmem,128,spike500,0.1,0.3074884029158383,0.30255367529565996,0.27744351492381863,0.3208883224219915,10.0,0.1164575070142746,,,,0.7298978567123413,,,,,0.1210625022649765,,,,,,,
