probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__communication__window__fixed250_count,original,dynamics_only,ff,on,C,23,l1,communication,window,fixed250_count,2048,0.01,0.5781066156066157,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4848075535575535}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5781066156066157}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5553769147519148}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5541749916749917}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5362436174936175}]",0.9627450980392157,0.9592131121536821,0.9627281854611437,0.591715976331361,0.5781066156066157,0.5802876039672371,0.6551724137931034,0.6506571655468715,0.6436122056012211
rsnn__pre_reset__valid__whole_mean,original,dynamics_only,ff,on,C,23,rsnn,pre_reset,valid,whole_mean,128,1.0,0.49947448384948384,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.39706370018870024}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4702717421467421}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4978511072261072}, {""C"": 1.0, ""val_balanced_accuracy"": 0.49947448384948384}, {""C"": 10.0, ""val_balanced_accuracy"": 0.47754988067488063}]",0.9725490196078431,0.9723121483772067,0.9730740589060116,0.5029585798816568,0.49947448384948384,0.49437058977887155,0.45977011494252873,0.45967951574569227,0.4381016164390925
rsnn__pre_reset__valid__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,rsnn,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.6725000693750692,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6444017787767787}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6725000693750692}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6700559856809857}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6599865412365412}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6269012237762237}]",0.9882352941176471,0.9867116834088631,0.9879039130828472,0.6863905325443787,0.6725000693750692,0.6736811381569446,0.6436781609195402,0.6327278726175785,0.6205149650509324
rsnn__pre_reset__window__whole_mean,original,dynamics_only,ff,on,C,23,rsnn,pre_reset,window,whole_mean,128,0.1,0.5357191419691419,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3753392440892441}, {""C"": 0.01, ""val_balanced_accuracy"": 0.46362699800199797}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5357191419691419}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5066402347652348}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4960764929514929}]",0.8823529411764706,0.8791412763266632,0.8826693614602097,0.5502958579881657,0.5357191419691419,0.5372929307700377,0.4425287356321839,0.4392342543077838,0.421587638779049
rsnn__pre_reset__window__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,rsnn,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.6444853757353757,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5616161616161616}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6351103757353757}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6444853757353757}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6444853757353757}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6241997585747586}]",1.0,1.0,1.0,0.650887573964497,0.6444853757353757,0.6442144753329887,0.6091954022988506,0.6006794471868001,0.5924738937918543
rsnn__communication__valid__whole_mean,original,dynamics_only,ff,on,C,23,rsnn,communication,valid,whole_mean,128,0.01,0.5295225607725608,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4418418387168388}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5295225607725608}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5083420052170052}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5058639277389277}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4901893245643245}]",0.9313725490196079,0.9317301264055878,0.9342607902586285,0.5384615384615384,0.5295225607725608,0.5245506304796127,0.4885057471264368,0.47929178664472777,0.4625596436521642
rsnn__communication__valid__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,rsnn,communication,valid,fixed250_ordered_mean,2048,0.01,0.6593531468531468,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6279924936174935}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6593531468531468}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6465690559440559}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6311043123543123}, {""C"": 10.0, ""val_balanced_accuracy"": 0.589094239094239}]",0.9941176470588236,0.9943509813623619,0.9944549862955935,0.6686390532544378,0.6593531468531468,0.6551595399925904,0.7011494252873564,0.6923379724850314,0.6851995713496416
rsnn__communication__valid__whole_count,original,dynamics_only,ff,on,C,23,rsnn,communication,valid,whole_count,128,0.01,0.5440427627927628,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4405160811410811}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5440427627927628}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5306138306138306}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5222329753579754}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4905861499611499}]",0.9156862745098039,0.9134285433800948,0.9182065951220088,0.5621301775147929,0.5440427627927628,0.5342856220351683,0.5287356321839081,0.5172348484848485,0.5004553837411824
rsnn__communication__valid__fixed250_count,original,dynamics_only,ff,on,C,23,rsnn,communication,valid,fixed250_count,2048,0.1,0.6752983127983129,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.665068611943612}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6700899794649794}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6752983127983129}, {""C"": 1.0, ""val_balanced_accuracy"": 0.631811938061938}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5990738428238428}]",1.0,1.0,1.0,0.6804733727810651,0.6752983127983129,0.6687138509973823,0.6781609195402298,0.671773304310069,0.6595250394064435
rsnn__communication__window__whole_mean,original,dynamics_only,ff,on,C,23,rsnn,communication,window,whole_mean,128,0.01,0.5448232323232323,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4517874486624487}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5448232323232323}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5425796425796425}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5178297397047397}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5022047397047397}]",0.9019607843137255,0.9000955280584019,0.9045359893266328,0.5621301775147929,0.5448232323232323,0.5430229503232026,0.4942528735632184,0.4847012260615202,0.46928124227740664
rsnn__communication__window__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,rsnn,communication,window,fixed250_ordered_mean,2048,0.01,0.6229444166944167,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5916240009990009}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6229444166944167}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5930604118104118}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5766913641913641}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5758366633366633}]",0.9941176470588236,0.9943509813623619,0.9944549862955935,0.6331360946745562,0.6229444166944167,0.6251342848520267,0.6896551724137931,0.6832834853055442,0.678877241125345
rsnn__communication__window__whole_count,original,dynamics_only,ff,on,C,23,rsnn,communication,window,whole_count,128,0.01,0.5448232323232323,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4517874486624487}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5448232323232323}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5425796425796425}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5178297397047397}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5022047397047397}]",0.9019607843137255,0.9000955280584019,0.9045359893266328,0.5621301775147929,0.5448232323232323,0.5430229503232026,0.4942528735632184,0.4847012260615202,0.46928124227740664
rsnn__communication__window__fixed250_count,original,dynamics_only,ff,on,C,23,rsnn,communication,window,fixed250_count,2048,0.01,0.6229444166944167,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5916240009990009}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6229444166944167}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5930604118104118}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5766913641913641}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5758366633366633}]",0.9941176470588236,0.9943509813623619,0.9944549862955935,0.6331360946745562,0.6229444166944167,0.6251342848520267,0.6896551724137931,0.6832834853055442,0.678877241125345
readout__pre_reset__valid__whole_mean,original,dynamics_only,ff,on,C,23,readout,pre_reset,valid,whole_mean,128,0.1,0.5631399850149851,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5022813991563991}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5482094294594294}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5631399850149851}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5530705405705406}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5400859557109556}]",0.9823529411764705,0.9820851371286738,0.982890966029789,0.5680473372781065,0.5631399850149851,0.5531297202253085,0.46551724137931033,0.4558676413455825,0.4431239045192534
readout__pre_reset__valid__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,readout,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.6046047702297702,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6027847152847152}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6046047702297702}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5930968337218337}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5995070901320901}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5647619741369742}]",0.9941176470588236,0.9945159162130959,0.9945198415972278,0.621301775147929,0.6046047702297702,0.60832797927541,0.5402298850574713,0.5333953219982631,0.5158387714506713
readout__pre_reset__window__whole_mean,original,dynamics_only,ff,on,C,23,readout,pre_reset,window,whole_mean,128,0.1,0.5253558941058941,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.47964882339882337}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5200369075369075}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5253558941058941}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5198003385503386}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4853282134532135}]",0.9705882352941176,0.9711865599886539,0.9719309303460415,0.5384615384615384,0.5253558941058941,0.5211795961357407,0.47701149425287354,0.46083273344302755,0.44884948090797727
readout__pre_reset__window__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,readout,pre_reset,window,fixed250_ordered_mean,2048,0.001,0.5683334027084026,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5683334027084026}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5655823343323343}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5304899961149961}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5356983294483294}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5381920163170163}]",0.9529411764705882,0.9496783363647722,0.952672195613396,0.5857988165680473,0.5683334027084026,0.5697067293050848,0.5574712643678161,0.5407605466428996,0.531252503645946
readout__communication__valid__whole_mean,original,dynamics_only,ff,on,C,23,readout,communication,valid,whole_mean,128,0.01,0.5451475607725608,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5046488233988234}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5451475607725608}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5243142274392275}, {""C"": 1.0, ""val_balanced_accuracy"": 0.519105894105894}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4982725607725607}]",0.984313725490196,0.9831802560272971,0.9842173789889718,0.5502958579881657,0.5451475607725608,0.5356774939498051,0.5,0.4905267322546734,0.47164269907010387
readout__communication__valid__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,readout,communication,valid,fixed250_ordered_mean,2048,0.01,0.5889301670551671,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5828307109557109}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5889301670551671}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5785135003885004}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5860892579642579}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5549290986790987}]",1.0,1.0,1.0,0.5976331360946746,0.5889301670551671,0.5856184211576368,0.5689655172413793,0.5632074420677362,0.5426904625687587
readout__communication__valid__whole_count,original,dynamics_only,ff,on,C,23,readout,communication,valid,whole_count,128,0.01,0.5645288739038739,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5324605949605948}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5645288739038739}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5482094294594294}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5402864496614497}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5305642274392274}]",0.984313725490196,0.9836932519233299,0.9846022083256251,0.5680473372781065,0.5645288739038739,0.5556848710250838,0.5114942528735632,0.49967391676950507,0.4902625152625153
readout__communication__valid__fixed250_count,original,dynamics_only,ff,on,C,23,readout,communication,valid,fixed250_count,2048,10.0,0.6006229881229881,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5753656066156067}, {""C"": 0.01, ""val_balanced_accuracy"": 0.598602786102786}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5881861194361194}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5725611194361194}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6006229881229881}]",1.0,1.0,1.0,0.6094674556213018,0.6006229881229881,0.5991493978562944,0.5229885057471264,0.5149504090680562,0.5018878971046153
readout__communication__window__whole_mean,original,dynamics_only,ff,on,C,23,readout,communication,window,whole_mean,128,0.01,0.5484824203574203,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5208784271284271}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5484824203574203}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5072528166278166}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4937742812742813}, {""C"": 10.0, ""val_balanced_accuracy"": 0.49303023365523363}]",0.9823529411764705,0.9823508765328944,0.9831065931808194,0.5621301775147929,0.5484824203574203,0.5503794690376517,0.4942528735632184,0.4841528977558389,0.47427960927960916
readout__communication__window__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,readout,communication,window,fixed250_ordered_mean,2048,0.1,0.5986159673659673,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5784770784770784}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5941020784770784}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5986159673659673}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5781298562548562}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5665112665112665}]",1.0,1.0,1.0,0.6094674556213018,0.5986159673659673,0.59618054656309,0.5804597701149425,0.5784993601170071,0.5686966378632156
readout__communication__window__whole_count,original,dynamics_only,ff,on,C,23,readout,communication,window,whole_count,128,0.01,0.5484824203574203,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5208784271284271}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5484824203574203}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5072528166278166}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4937742812742813}, {""C"": 10.0, ""val_balanced_accuracy"": 0.49303023365523363}]",0.9823529411764705,0.9823508765328944,0.9831065931808194,0.5621301775147929,0.5484824203574203,0.5503794690376517,0.4942528735632184,0.4841528977558389,0.47427960927960916
readout__communication__window__fixed250_count,original,dynamics_only,ff,on,C,23,readout,communication,window,fixed250_count,2048,0.1,0.5986159673659673,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5784770784770784}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5941020784770784}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5986159673659673}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5781298562548562}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5665112665112665}]",1.0,1.0,1.0,0.6094674556213018,0.5986159673659673,0.59618054656309,0.5804597701149425,0.5784993601170071,0.5686966378632156
