probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
rsnn__communication__window__whole_mean,original,pretrained_frozen,diagonal,on,D,11,rsnn,communication,window,whole_mean,128,0.1,0.5401494338994338,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.43224587912087914}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5237803862803863}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5401494338994338}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5253829503829504}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4925838050838051}]",0.9921568627450981,0.9925779317169718,0.992662871600253,0.5621301775147929,0.5401494338994338,0.5365406198739532,0.5287356321839081,0.5296641471273823,0.5169115462542591
rsnn__communication__window__fixed250_ordered_mean,original,pretrained_frozen,diagonal,on,D,11,rsnn,communication,window,fixed250_ordered_mean,2048,0.1,0.6107056138306138,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5869477744477745}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6058445027195027}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6107056138306138}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6094540875790876}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5878156565656566}]",1.0,1.0,1.0,0.6153846153846154,0.6107056138306138,0.6087403967299276,0.5919540229885057,0.590584578819873,0.5870485141968076
rsnn__communication__window__whole_count,original,pretrained_frozen,diagonal,on,D,11,rsnn,communication,window,whole_count,128,0.1,0.5401494338994338,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.43224587912087914}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5237803862803863}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5401494338994338}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5253829503829504}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4925838050838051}]",0.9921568627450981,0.9925779317169718,0.992662871600253,0.5621301775147929,0.5401494338994338,0.5365406198739532,0.5287356321839081,0.5296641471273823,0.5169115462542591
rsnn__communication__window__fixed250_count,original,pretrained_frozen,diagonal,on,D,11,rsnn,communication,window,fixed250_count,2048,0.1,0.6107056138306138,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5869477744477745}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6058445027195027}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6107056138306138}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6094540875790876}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5878156565656566}]",1.0,1.0,1.0,0.6153846153846154,0.6107056138306138,0.6087403967299276,0.5919540229885057,0.590584578819873,0.5870485141968076
readout__pre_reset__valid__whole_mean,original,pretrained_frozen,diagonal,on,D,11,readout,pre_reset,valid,whole_mean,128,0.01,0.5546522921522922,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5150980963480963}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5546522921522922}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5473873348873349}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5342195998445999}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5513937451437452}]",0.9803921568627451,0.9798148252098683,0.9810398084060296,0.5680473372781065,0.5546522921522922,0.550501482236834,0.4425287356321839,0.42506198866492984,0.4217157659658804
readout__pre_reset__valid__fixed250_ordered_mean,original,pretrained_frozen,diagonal,on,D,11,readout,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.6136800699300698,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6076170357420357}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6136800699300698}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6084717365967366}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5852345571095571}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5732687451437452}]",0.9941176470588236,0.9945159162130959,0.9945003620896699,0.621301775147929,0.6136800699300698,0.6197313757443069,0.5229885057471264,0.517986853832442,0.5098403075492749
readout__pre_reset__window__whole_mean,original,pretrained_frozen,diagonal,on,D,11,readout,pre_reset,window,whole_mean,128,1.0,0.439495226995227,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3615499084249085}, {""C"": 0.01, ""val_balanced_accuracy"": 0.41199425574425574}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4259060384060384}, {""C"": 1.0, ""val_balanced_accuracy"": 0.439495226995227}, {""C"": 10.0, ""val_balanced_accuracy"": 0.43914800477300475}]",0.9980392156862745,0.998062015503876,0.9981038569273863,0.44970414201183434,0.439495226995227,0.4394292583885288,0.4482758620689655,0.44291643813702636,0.4404863610135901
readout__pre_reset__window__fixed250_ordered_mean,original,pretrained_frozen,diagonal,on,D,11,readout,pre_reset,window,fixed250_ordered_mean,2048,0.001,0.5843954656454656,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5843954656454656}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5536033411033411}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5668584887334888}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5384493978243978}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5619973776223776}]",0.9803921568627451,0.9793684173322966,0.9803061009999555,0.6035502958579881,0.5843954656454656,0.5829652026265414,0.5287356321839081,0.5208604712281183,0.5212256726191801
readout__communication__valid__whole_mean,original,pretrained_frozen,diagonal,on,D,11,readout,communication,valid,whole_mean,128,0.1,0.5442356254856254,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5169944638694638}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5393745143745143}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5442356254856254}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5275193556443556}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5330749111999112}]",1.0,1.0,1.0,0.5562130177514792,0.5442356254856254,0.5373253025829963,0.4367816091954023,0.4153243406919878,0.4038668569918569
readout__communication__valid__fixed250_ordered_mean,original,pretrained_frozen,diagonal,on,D,11,readout,communication,valid,fixed250_ordered_mean,2048,0.001,0.6183809246309245,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6183809246309245}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6176864801864801}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6121309246309246}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5860892579642579}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5692623348873348}]",0.996078431372549,0.9961240310077519,0.996242823370483,0.6390532544378699,0.6183809246309245,0.6242045123686492,0.5459770114942529,0.5351641414141414,0.5314077763239964
readout__communication__valid__whole_count,original,pretrained_frozen,diagonal,on,D,11,readout,communication,valid,whole_count,128,10.0,0.5621784465534465,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5109314296814297}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5572066822066822}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5513039044289044}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5509566822066821}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5621784465534465}]",1.0,1.0,1.0,0.5798816568047337,0.5621784465534465,0.5592224511418862,0.47701149425287354,0.4609848484848486,0.454001260423408
readout__communication__valid__fixed250_count,original,pretrained_frozen,diagonal,on,D,11,readout,communication,valid,fixed250_count,2048,0.001,0.6008595571095571,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6008595571095571}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5949567793317793}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5894012237762237}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5805337024087024}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5789845571095571}]",0.996078431372549,0.9950858250276854,0.9956926480645646,0.6153846153846154,0.6008595571095571,0.6024650991622055,0.5287356321839081,0.5158236779560309,0.5075511955975507
readout__communication__window__whole_mean,original,pretrained_frozen,diagonal,on,D,11,readout,communication,window,whole_mean,128,10.0,0.40659860972360967,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3041246947496947}, {""C"": 0.01, ""val_balanced_accuracy"": 0.36125228937728937}, {""C"": 0.1, ""val_balanced_accuracy"": 0.370266539016539}, {""C"": 1.0, ""val_balanced_accuracy"": 0.3886061854811855}, {""C"": 10.0, ""val_balanced_accuracy"": 0.40659860972360967}]",1.0,1.0,1.0,0.4260355029585799,0.40659860972360967,0.3993719101836309,0.43103448275862066,0.42298836784130905,0.4207900785911914
readout__communication__window__fixed250_ordered_mean,original,pretrained_frozen,diagonal,on,D,11,readout,communication,window,fixed250_ordered_mean,2048,0.01,0.5237689393939394,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.518560606060606}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5237689393939394}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5118031274281274}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5005317599067599}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5084547397047398}]",1.0,1.0,1.0,0.5384615384615384,0.5237689393939394,0.5247637424673907,0.5114942528735632,0.5026248057498057,0.4969771462769721
readout__communication__window__whole_count,original,pretrained_frozen,diagonal,on,D,11,readout,communication,window,whole_count,128,10.0,0.40659860972360967,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3041246947496947}, {""C"": 0.01, ""val_balanced_accuracy"": 0.36125228937728937}, {""C"": 0.1, ""val_balanced_accuracy"": 0.370266539016539}, {""C"": 1.0, ""val_balanced_accuracy"": 0.3886061854811855}, {""C"": 10.0, ""val_balanced_accuracy"": 0.40659860972360967}]",1.0,1.0,1.0,0.4260355029585799,0.40659860972360967,0.3993719101836309,0.43103448275862066,0.42298836784130905,0.4207900785911914
readout__communication__window__fixed250_count,original,pretrained_frozen,diagonal,on,D,11,readout,communication,window,fixed250_count,2048,0.01,0.5237689393939394,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.518560606060606}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5237689393939394}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5118031274281274}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5005317599067599}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5084547397047398}]",1.0,1.0,1.0,0.5384615384615384,0.5237689393939394,0.5247637424673907,0.5114942528735632,0.5026248057498057,0.4969771462769721
