probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
rsnn__communication__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,rsnn,communication,valid,fixed250_ordered_mean,2048,0.1,0.5995202713952713,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5650117243867244}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5814914252414253}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5995202713952713}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5850971944721944}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5834984459984459}]",1.0,1.0,1.0,0.6035502958579881,0.5995202713952713,0.5977146657128541,0.5459770114942529,0.5450617601352895,0.5369607106191213
rsnn__communication__valid__whole_count,postencode_mask,pretrained_trainable,dense,off,B,37,rsnn,communication,valid,whole_count,128,1.0,0.5557969807969808,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4936844405594405}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5325598013098013}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5438311688311689}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5557969807969808}, {""C"": 10.0, ""val_balanced_accuracy"": 0.544178391053391}]",0.9980392156862745,0.9981884057971014,0.9981263946781188,0.5680473372781065,0.5557969807969808,0.5428961303812285,0.4885057471264368,0.4885358105946341,0.4864986323528984
rsnn__communication__valid__fixed250_count,postencode_mask,pretrained_trainable,dense,off,B,37,rsnn,communication,valid,fixed250_count,2048,0.01,0.6098262848262849,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5929993617493617}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6098262848262849}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5978604728604728}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5939647158397158}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5658664252414253}]",0.9745098039215686,0.9727623483569467,0.9737635268457647,0.621301775147929,0.6098262848262849,0.6034382978457312,0.5114942528735632,0.5050563611225377,0.5055731475124506
rsnn__communication__window__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,rsnn,communication,window,whole_mean,128,10.0,0.4702602952602952,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3438509407259407}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4003239815739816}, {""C"": 0.1, ""val_balanced_accuracy"": 0.46033029470529474}, {""C"": 1.0, ""val_balanced_accuracy"": 0.46033029470529474}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4702602952602952}]",1.0,1.0,1.0,0.47928994082840237,0.4702602952602952,0.46791508767021006,0.3850574712643678,0.3844319895790484,0.3700635982350307
rsnn__communication__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,rsnn,communication,window,fixed250_ordered_mean,2048,0.01,0.5139225357975358,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.44470529470529474}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5139225357975358}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48077616827616826}, {""C"": 1.0, ""val_balanced_accuracy"": 0.48547702297702294}, {""C"": 10.0, ""val_balanced_accuracy"": 0.48197809135309133}]",0.9901960784313726,0.989962016474081,0.9903134033226414,0.5088757396449705,0.5139225357975358,0.5041293743347115,0.41954022988505746,0.4154164667032314,0.40171134522354485
rsnn__communication__window__whole_count,postencode_mask,pretrained_trainable,dense,off,B,37,rsnn,communication,window,whole_count,128,10.0,0.4702602952602952,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3438509407259407}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4003239815739816}, {""C"": 0.1, ""val_balanced_accuracy"": 0.46033029470529474}, {""C"": 1.0, ""val_balanced_accuracy"": 0.46033029470529474}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4702602952602952}]",1.0,1.0,1.0,0.47928994082840237,0.4702602952602952,0.46791508767021006,0.3850574712643678,0.3844319895790484,0.3700635982350307
rsnn__communication__window__fixed250_count,postencode_mask,pretrained_trainable,dense,off,B,37,rsnn,communication,window,fixed250_count,2048,0.01,0.5139225357975358,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.44470529470529474}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5139225357975358}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48077616827616826}, {""C"": 1.0, ""val_balanced_accuracy"": 0.48547702297702294}, {""C"": 10.0, ""val_balanced_accuracy"": 0.48197809135309133}]",0.9901960784313726,0.989962016474081,0.9903134033226414,0.5088757396449705,0.5139225357975358,0.5041293743347115,0.41954022988505746,0.4154164667032314,0.40171134522354485
readout__pre_reset__valid__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,readout,pre_reset,valid,whole_mean,128,0.01,0.5386592574092574,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4985951548451549}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5386592574092574}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5337981462981463}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5334509240759241}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5180264180264179}]",0.8431372549019608,0.8445414728245564,0.8446363379053548,0.5384615384615384,0.5386592574092574,0.5267617432694572,0.40804597701149425,0.4034506547374194,0.4011382833963479
readout__pre_reset__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,readout,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.6074796731046731,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5621708152958154}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6074796731046731}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5866099178599179}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5890137640137639}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5886665417915418}]",0.9705882352941176,0.970058306075801,0.9714226958472078,0.6094674556213018,0.6074796731046731,0.6022341399188913,0.5402298850574713,0.5327600095982449,0.5322388887491862
readout__pre_reset__window__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,readout,pre_reset,window,whole_mean,128,1.0,0.5339375901875901,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.34975371850371845}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4151307026307027}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4966987873237873}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5339375901875901}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5191919191919192}]",0.9156862745098039,0.9163829949008365,0.9165537211236988,0.5443786982248521,0.5339375901875901,0.5261015104574104,0.41954022988505746,0.41194738676356324,0.38999788616057857
readout__pre_reset__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,readout,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.543880772005772,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.49942904317904313}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5415133477633478}, {""C"": 0.1, ""val_balanced_accuracy"": 0.543880772005772}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5206800144300144}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5095193001443002}]",1.0,1.0,1.0,0.5443786982248521,0.543880772005772,0.5406414422089479,0.4540229885057471,0.44332122126239776,0.42937701588911265
readout__communication__valid__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,readout,communication,valid,whole_mean,128,0.1,0.5442148129648129,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5061709124209125}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5438675907425907}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5442148129648129}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5325962232212232}, {""C"": 10.0, ""val_balanced_accuracy"": 0.508614996114996}]",0.9254901960784314,0.9252196549727204,0.9270974704806525,0.5562130177514792,0.5442148129648129,0.5339494949400181,0.4367816091954023,0.4379324923442571,0.42861850912926175
readout__communication__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,readout,communication,valid,fixed250_ordered_mean,2048,0.1,0.5995202713952713,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5650117243867244}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5814914252414253}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5995202713952713}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5850971944721944}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5834984459984459}]",1.0,1.0,1.0,0.6035502958579881,0.5995202713952713,0.5977146657128541,0.5459770114942529,0.5450617601352895,0.5369607106191213
readout__communication__valid__whole_count,postencode_mask,pretrained_trainable,dense,off,B,37,readout,communication,valid,whole_count,128,1.0,0.5557969807969808,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4936844405594405}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5325598013098013}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5438311688311689}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5557969807969808}, {""C"": 10.0, ""val_balanced_accuracy"": 0.544178391053391}]",0.9980392156862745,0.9981884057971014,0.9981263946781188,0.5680473372781065,0.5557969807969808,0.5428961303812285,0.4885057471264368,0.4885358105946341,0.4864986323528984
readout__communication__valid__fixed250_count,postencode_mask,pretrained_trainable,dense,off,B,37,readout,communication,valid,fixed250_count,2048,0.01,0.6098262848262849,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5929993617493617}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6098262848262849}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5978604728604728}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5939647158397158}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5658664252414253}]",0.9745098039215686,0.9727623483569467,0.9737635268457647,0.621301775147929,0.6098262848262849,0.6034382978457312,0.5114942528735632,0.5050563611225377,0.5055731475124506
readout__communication__window__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,readout,communication,window,whole_mean,128,10.0,0.4702602952602952,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3438509407259407}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4003239815739816}, {""C"": 0.1, ""val_balanced_accuracy"": 0.46033029470529474}, {""C"": 1.0, ""val_balanced_accuracy"": 0.46033029470529474}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4702602952602952}]",1.0,1.0,1.0,0.47928994082840237,0.4702602952602952,0.46791508767021006,0.3850574712643678,0.3844319895790484,0.3700635982350307
readout__communication__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,readout,communication,window,fixed250_ordered_mean,2048,0.01,0.5139225357975358,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.44470529470529474}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5139225357975358}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48077616827616826}, {""C"": 1.0, ""val_balanced_accuracy"": 0.48547702297702294}, {""C"": 10.0, ""val_balanced_accuracy"": 0.48197809135309133}]",0.9901960784313726,0.989962016474081,0.9903134033226414,0.5088757396449705,0.5139225357975358,0.5041293743347115,0.41954022988505746,0.4154164667032314,0.40171134522354485
readout__communication__window__whole_count,postencode_mask,pretrained_trainable,dense,off,B,37,readout,communication,window,whole_count,128,10.0,0.4702602952602952,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3438509407259407}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4003239815739816}, {""C"": 0.1, ""val_balanced_accuracy"": 0.46033029470529474}, {""C"": 1.0, ""val_balanced_accuracy"": 0.46033029470529474}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4702602952602952}]",1.0,1.0,1.0,0.47928994082840237,0.4702602952602952,0.46791508767021006,0.3850574712643678,0.3844319895790484,0.3700635982350307
readout__communication__window__fixed250_count,postencode_mask,pretrained_trainable,dense,off,B,37,readout,communication,window,fixed250_count,2048,0.01,0.5139225357975358,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.44470529470529474}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5139225357975358}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48077616827616826}, {""C"": 1.0, ""val_balanced_accuracy"": 0.48547702297702294}, {""C"": 10.0, ""val_balanced_accuracy"": 0.48197809135309133}]",0.9901960784313726,0.989962016474081,0.9903134033226414,0.5088757396449705,0.5139225357975358,0.5041293743347115,0.41954022988505746,0.4154164667032314,0.40171134522354485
