probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
rsnn__pre_reset__window__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,rsnn,pre_reset,window,whole_mean,128,1.0,0.505718586968587,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.333531746031746}, {""C"": 0.01, ""val_balanced_accuracy"": 0.39224629537129535}, {""C"": 0.1, ""val_balanced_accuracy"": 0.46363428238428234}, {""C"": 1.0, ""val_balanced_accuracy"": 0.505718586968587}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4976693445443446}]",0.9176470588235294,0.9188189863001447,0.919381143571519,0.514792899408284,0.505718586968587,0.5028495476035818,0.4540229885057471,0.4508682698020934,0.44280438450611426
rsnn__pre_reset__window__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,rsnn,pre_reset,window,fixed250_ordered_mean,2048,1.0,0.5382104007104007,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.48073558386058385}, {""C"": 0.01, ""val_balanced_accuracy"": 0.533387099012099}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5258477633477633}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5382104007104007}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5234401015651017}]",1.0,1.0,1.0,0.5502958579881657,0.5382104007104007,0.5406377784532457,0.5402298850574713,0.5356826180355592,0.5283996229398528
rsnn__communication__valid__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,rsnn,communication,valid,whole_mean,128,0.1,0.5088338744588745,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4605592324342324}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4909156815406816}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5088338744588745}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4900842213342213}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4897369991119991}]",0.907843137254902,0.9083075515896141,0.9102749342055253,0.5207100591715976,0.5088338744588745,0.5049461879634293,0.47701149425287354,0.4739483351615705,0.45691115423741985
rsnn__communication__valid__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,rsnn,communication,valid,fixed250_ordered_mean,2048,1.0,0.5432380119880119,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5028474997224998}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5256670412920413}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5260142635142635}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5432380119880119}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5316194222444223}]",1.0,1.0,1.0,0.5562130177514792,0.5432380119880119,0.5367555324065846,0.4885057471264368,0.4831643642305406,0.4750990298065107
rsnn__communication__valid__whole_count,postencode_mask,dynamics_only,dense,on,D,11,rsnn,communication,valid,whole_count,128,0.01,0.4992223054723055,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4384403790653791}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4992223054723055}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48806159118659126}, {""C"": 1.0, ""val_balanced_accuracy"": 0.48099574037074033}, {""C"": 10.0, ""val_balanced_accuracy"": 0.47298291985791985}]",0.7941176470588235,0.7932617256642885,0.7983964450863135,0.5029585798816568,0.4992223054723055,0.4890393053150161,0.4425287356321839,0.43835855729238077,0.43260740191056285
rsnn__communication__valid__fixed250_count,postencode_mask,dynamics_only,dense,on,D,11,rsnn,communication,valid,fixed250_count,2048,0.01,0.5332792207792207,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5144320956820957}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5332792207792207}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5312225968475969}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5196040071040071}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5131937506937506}]",0.9588235294117647,0.9579720686020613,0.9592892153283881,0.5502958579881657,0.5332792207792207,0.5266523525129212,0.5459770114942529,0.5407938262717674,0.5396371721084364
rsnn__communication__window__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,rsnn,communication,window,whole_mean,128,0.01,0.44123619436119443,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3806641275391276}, {""C"": 0.01, ""val_balanced_accuracy"": 0.44123619436119443}, {""C"": 0.1, ""val_balanced_accuracy"": 0.412046633921634}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4039633977133977}, {""C"": 10.0, ""val_balanced_accuracy"": 0.3748598623598623}]",0.7529411764705882,0.7513241592827707,0.7595569246663909,0.44970414201183434,0.44123619436119443,0.42951283353413167,0.41379310344827586,0.4059207744869509,0.3898346946256815
rsnn__communication__window__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,rsnn,communication,window,fixed250_ordered_mean,2048,1.0,0.48714584027084035,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.43173007548007547}, {""C"": 0.01, ""val_balanced_accuracy"": 0.47246538184038184}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48474199411699415}, {""C"": 1.0, ""val_balanced_accuracy"": 0.48714584027084035}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4656204906204906}]",1.0,1.0,1.0,0.4970414201183432,0.48714584027084035,0.47755613960656956,0.4827586206896552,0.48358200214817865,0.46822917105244694
rsnn__communication__window__whole_count,postencode_mask,dynamics_only,dense,on,D,11,rsnn,communication,window,whole_count,128,0.01,0.44123619436119443,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3806641275391276}, {""C"": 0.01, ""val_balanced_accuracy"": 0.44123619436119443}, {""C"": 0.1, ""val_balanced_accuracy"": 0.412046633921634}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4039633977133977}, {""C"": 10.0, ""val_balanced_accuracy"": 0.3748598623598623}]",0.7529411764705882,0.7513241592827707,0.7595569246663909,0.44970414201183434,0.44123619436119443,0.42951283353413167,0.41379310344827586,0.4059207744869509,0.3898346946256815
rsnn__communication__window__fixed250_count,postencode_mask,dynamics_only,dense,on,D,11,rsnn,communication,window,fixed250_count,2048,1.0,0.48714584027084035,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.43173007548007547}, {""C"": 0.01, ""val_balanced_accuracy"": 0.47246538184038184}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48474199411699415}, {""C"": 1.0, ""val_balanced_accuracy"": 0.48714584027084035}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4656204906204906}]",1.0,1.0,1.0,0.4970414201183432,0.48714584027084035,0.47755613960656956,0.4827586206896552,0.48358200214817865,0.46822917105244694
