probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,original,pretrained_frozen,dense,on,D,11,l1,pre_reset,valid,whole_mean,128,10.0,0.5367039210789211,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.29302503052503054}, {""C"": 0.01, ""val_balanced_accuracy"": 0.41551399988899984}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5002455877455877}, {""C"": 1.0, ""val_balanced_accuracy"": 0.528233225108225}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5367039210789211}]",1.0,1.0,1.0,0.5621301775147929,0.5367039210789211,0.5338583334637684,0.5172413793103449,0.5111642442524796,0.4924074202108643
l1__pre_reset__valid__fixed250_ordered_mean,original,pretrained_frozen,dense,on,D,11,l1,pre_reset,valid,fixed250_ordered_mean,2048,1.0,0.6462579087579087,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.593597027972028}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6083635114885115}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6303467365967365}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6462579087579087}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6268269924519925}]",1.0,1.0,1.0,0.650887573964497,0.6462579087579087,0.6467925301513441,0.7011494252873564,0.6990731694775812,0.6938213817164071
l1__pre_reset__window__whole_mean,original,pretrained_frozen,dense,on,D,11,l1,pre_reset,window,whole_mean,128,1.0,0.5532405094905095,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.34772588522588527}, {""C"": 0.01, ""val_balanced_accuracy"": 0.46125957375957377}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5256496975246975}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5532405094905095}, {""C"": 10.0, ""val_balanced_accuracy"": 0.537800394050394}]",0.9921568627450981,0.992664064361244,0.9926881257052035,0.5621301775147929,0.5532405094905095,0.550362707840219,0.603448275862069,0.5986338212441153,0.5902251588664631
l1__pre_reset__window__fixed250_ordered_mean,original,pretrained_frozen,dense,on,D,11,l1,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.6576399295149296,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5728875291375292}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6256458818958819}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6576399295149296}, {""C"": 1.0, ""val_balanced_accuracy"": 0.641270881895882}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6296522921522921}]",1.0,1.0,1.0,0.6686390532544378,0.6576399295149296,0.6609145401376995,0.6896551724137931,0.6837501142648201,0.6779716271236671
l1__communication__valid__whole_mean,original,pretrained_frozen,dense,on,D,11,l1,communication,valid,whole_mean,128,0.1,0.5271055333555333,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.39948454323454324}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5094811438561438}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5271055333555333}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5171467421467422}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4984234515484516}]",0.9509803921568627,0.9495542541849894,0.952256284588119,0.5384615384615384,0.5271055333555333,0.5194874063228735,0.4540229885057471,0.45155542986425345,0.4171223943727378
l1__communication__valid__fixed250_ordered_mean,original,pretrained_frozen,dense,on,D,11,l1,communication,valid,fixed250_ordered_mean,2048,0.01,0.6273018648018648,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5277621683871684}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6273018648018648}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6082677738927739}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5919119075369075}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5837884337884337}]",0.9764705882352941,0.9752504243742975,0.9768161954726824,0.6390532544378699,0.6273018648018648,0.6250182823490981,0.6379310344827587,0.6292613636363638,0.6117447729600853
l1__communication__valid__whole_count,original,pretrained_frozen,dense,on,D,11,l1,communication,valid,whole_count,128,0.1,0.5901359057609057,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.37696504884004883}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5209890803640803}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5901359057609057}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5807588245088244}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5535152347652348}]",0.9549019607843138,0.9537842296861299,0.9567361585569563,0.6035502958579881,0.5901359057609057,0.585993237062662,0.5,0.4953017162575986,0.4670754658509407
l1__communication__valid__fixed250_count,original,pretrained_frozen,dense,on,D,11,l1,communication,valid,fixed250_count,2048,0.1,0.64614898989899,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5216991341991342}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6220935314685315}, {""C"": 0.1, ""val_balanced_accuracy"": 0.64614898989899}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5990166083916083}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5898018648018648}]",1.0,1.0,1.0,0.6568047337278107,0.64614898989899,0.6475950231122645,0.6724137931034483,0.6682882272955801,0.6528998743532557
l1__communication__window__whole_mean,original,pretrained_frozen,dense,on,D,11,l1,communication,window,whole_mean,128,0.1,0.5681006493506493,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.38738171550671546}, {""C"": 0.01, ""val_balanced_accuracy"": 0.49578130203130205}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5681006493506493}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5558982683982684}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5271263458763459}]",0.9568627450980393,0.9556434119757921,0.9583560914656504,0.5857988165680473,0.5681006493506493,0.5651584434943568,0.4942528735632184,0.49094808377896615,0.47463249083003717
l1__communication__window__fixed250_ordered_mean,original,pretrained_frozen,dense,on,D,11,l1,communication,window,fixed250_ordered_mean,2048,0.01,0.6212728243978244,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5164908008658008}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6212728243978244}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6081050893550893}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6184475246975247}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5973776223776223}]",0.9745098039215686,0.9727994439821407,0.9746559870365185,0.6272189349112426,0.6212728243978244,0.6209121088258823,0.6724137931034483,0.6684484837058365,0.6522362137493717
l1__communication__window__whole_count,original,pretrained_frozen,dense,on,D,11,l1,communication,window,whole_count,128,0.1,0.5681006493506493,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.38738171550671546}, {""C"": 0.01, ""val_balanced_accuracy"": 0.49578130203130205}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5681006493506493}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5558982683982684}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5271263458763459}]",0.9568627450980393,0.9556434119757921,0.9583560914656504,0.5857988165680473,0.5681006493506493,0.5651584434943568,0.4942528735632184,0.49094808377896615,0.47463249083003717
l1__communication__window__fixed250_count,original,pretrained_frozen,dense,on,D,11,l1,communication,window,fixed250_count,2048,0.01,0.6212728243978244,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5164908008658008}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6212728243978244}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6081050893550893}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6184475246975247}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5973776223776223}]",0.9745098039215686,0.9727994439821407,0.9746559870365185,0.6272189349112426,0.6212728243978244,0.6209121088258823,0.6724137931034483,0.6684484837058365,0.6522362137493717
rsnn__pre_reset__valid__whole_mean,original,pretrained_frozen,dense,on,D,11,rsnn,pre_reset,valid,whole_mean,128,0.1,0.51635101010101,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.42560841935841937}, {""C"": 0.01, ""val_balanced_accuracy"": 0.505153873903874}, {""C"": 0.1, ""val_balanced_accuracy"": 0.51635101010101}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4827335858585859}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4571289821289821}]",0.9098039215686274,0.9084856309103212,0.9076039322399106,0.5207100591715976,0.51635101010101,0.4997010219588511,0.42528735632183906,0.42216037638831755,0.3988178102266142
rsnn__pre_reset__valid__fixed250_ordered_mean,original,pretrained_frozen,dense,on,D,11,rsnn,pre_reset,valid,fixed250_ordered_mean,2048,1.0,0.5314439033189032,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4898174741924742}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5123237873237872}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5310966810966811}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5314439033189032}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5206800144300144}]",1.0,1.0,1.0,0.5266272189349113,0.5314439033189032,0.5175940365350256,0.5402298850574713,0.543422345628228,0.5214577112938227
rsnn__pre_reset__window__whole_mean,original,pretrained_frozen,dense,on,D,11,rsnn,pre_reset,window,whole_mean,128,10.0,0.436169733044733,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3029838217338217}, {""C"": 0.01, ""val_balanced_accuracy"": 0.3420919358419358}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4161206848706849}, {""C"": 1.0, ""val_balanced_accuracy"": 0.405356795981796}, {""C"": 10.0, ""val_balanced_accuracy"": 0.436169733044733}]",1.0,1.0,1.0,0.4378698224852071,0.436169733044733,0.4250625990303946,0.41379310344827586,0.4133114230540702,0.3861789037326672
rsnn__pre_reset__window__fixed250_ordered_mean,original,pretrained_frozen,dense,on,D,11,rsnn,pre_reset,window,fixed250_ordered_mean,2048,0.01,0.5274010711510712,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.47586545399045393}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5274010711510712}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5238161144411144}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5057872682872683}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5133994477744478}]",0.9921568627450981,0.9918915977853979,0.9919378569863251,0.5207100591715976,0.5274010711510712,0.5153520710480342,0.45977011494252873,0.4537538850038849,0.4271207582293974
rsnn__communication__valid__whole_mean,original,pretrained_frozen,dense,on,D,11,rsnn,communication,valid,whole_mean,128,0.01,0.4564189282939282,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.38374542124542127}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4564189282939282}, {""C"": 0.1, ""val_balanced_accuracy"": 0.43363962426462427}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4245511433011433}, {""C"": 10.0, ""val_balanced_accuracy"": 0.3937382062382062}]",0.8568627450980392,0.852448032501766,0.8542782487025008,0.46153846153846156,0.4564189282939282,0.4438269809828976,0.3793103448275862,0.382122697563874,0.3643974792084861
rsnn__communication__valid__fixed250_ordered_mean,original,pretrained_frozen,dense,on,D,11,rsnn,communication,valid,fixed250_ordered_mean,2048,10.0,0.5119269619269619,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5034965034965034}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4902885309135309}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48433614996115}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5003083721833722}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5119269619269619}]",1.0,1.0,1.0,0.5029585798816568,0.5119269619269619,0.49421163609071844,0.4827586206896552,0.4818490333196215,0.4709188204555863
