label_idx,label,test_samples,intra_cosine_distance
0,A,11,0.07809111402140367
1,B,9,0.04005151793499684
2,C,12,0.06405937804426887
3,D,11,0.06171832171891267
4,E,12,0.05786305494735211
5,G,12,0.05102655677819112
6,H,12,0.07833754436312423
7,I,11,0.06733316318713789
8,J,12,0.07278058678932697
9,K,12,0.053163244053406666
10,L,6,0.06885968226360295
11,X,7,0.061855592009567806
