condition,architecture_family,beta,tau_mem_ms,recurrent,stateful,seed,best_epoch,trainable_parameters,native_train_accuracy,native_train_balanced_accuracy,native_train_evidence_abs_per_valid_step,native_train_loss,native_train_macro_f1,native_val_accuracy,native_val_balanced_accuracy,native_val_evidence_abs_per_valid_step,native_val_loss,native_val_macro_f1,native_test_accuracy,native_test_balanced_accuracy,native_test_evidence_abs_per_valid_step,native_test_loss,native_test_macro_f1
factorized_ff_gate,ff_gate,0.0,0.0,False,False,11,40,34432,0.882960413080895,0.8834077044696668,0.761426055484142,0.45627882384186974,0.8816403179679645,0.5555555555555556,0.5567219817219817,0.6800298526980365,1.3672040700912476,0.5561385123304627,0.547945205479452,0.535721916971917,0.7772395844119312,1.5966898284546316,0.5141318503530111
factorized_ff_gate,ff_gate,0.0,0.0,False,False,23,80,34432,0.9380378657487092,0.940224399158685,1.0328261212043814,0.26677822192133804,0.9395058431189999,0.5158730158730159,0.5153198653198654,0.9206972838571387,1.537081241607666,0.5004590161346342,0.5821917808219178,0.5653332778332779,1.052469471366247,1.7140017404948196,0.5520385696488673
factorized_ff_gate,ff_gate,0.0,0.0,False,False,37,10,34432,0.7555938037865749,0.7507086224989794,0.42324719022860247,0.9510531904570207,0.7477830651882043,0.5396825396825397,0.5307720057720058,0.3868937270926609,1.5418686866760254,0.5226284190541073,0.4931506849315068,0.459822816072816,0.4423324891687203,1.5713213633184564,0.425863563475456
factorized_ff_gate,ff_gate,0.0,0.0,False,False,53,80,34432,0.927710843373494,0.928895320272352,1.0121144322483127,0.30169690083616163,0.9292949804333474,0.5396825396825397,0.5394300144300144,0.9096837003994381,1.5116833448410034,0.5315786399167406,0.5616438356164384,0.5519494394494394,1.0605851247765146,1.994002828859303,0.5482559398706105
factorized_ff_gate,ff_gate,0.0,0.0,False,False,71,78,34432,0.9018932874354562,0.8991588410082124,0.9845615010244472,0.3756240509104195,0.9006649406966066,0.5555555555555556,0.5520622895622896,0.8552704254821057,1.4567726850509644,0.548680056551237,0.541095890410959,0.5244581807081806,1.018692788473154,1.938759258348648,0.5242823686081562
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,11,27,34432,0.8657487091222031,0.8662229465558577,0.6404593091489134,0.5285654010029955,0.8640021241025493,0.5634920634920635,0.5587061087061087,0.5735564489875048,1.361596703529358,0.5625066271982752,0.541095890410959,0.5276882839382839,0.6543269274327991,1.5533054952752101,0.5078117760960897
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,23,93,34432,0.9621342512908778,0.96379155322829,1.077347276334852,0.20343853335782705,0.96292534679166,0.5555555555555556,0.5556337181337182,0.9563321989399526,1.5683828592300415,0.548019326273802,0.6027397260273972,0.5841824841824842,1.1020940397653143,1.8097670306898144,0.5741080780951471
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,37,98,34432,0.9621342512908778,0.9609105293151693,1.1414084264268287,0.22199348644986622,0.9618084946877357,0.5317460317460317,0.5353896103896104,1.0199140677581717,1.540584683418274,0.5257170483366013,0.5273972602739726,0.5178224553224553,1.174873893035019,1.9931432580294675,0.5136909444413258
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,53,47,34432,0.9156626506024096,0.9166385849415307,0.8048465012826526,0.3859930266457868,0.9163723354442697,0.5317460317460317,0.5297077922077922,0.7271783919322272,1.4388338327407837,0.5209727555812738,0.547945205479452,0.5358058608058608,0.8467219213473499,1.8288752542783135,0.5334695464640142
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,71,99,34432,0.9397590361445783,0.939125167329149,1.0781629130064314,0.275407620530941,0.9397854465204935,0.5634920634920635,0.5602693602693604,0.9299166876993533,1.5281087160110474,0.5617890789081509,0.5273972602739726,0.5149343711843711,1.1195519819990647,2.1088081777912295,0.522186691709003
