condition,architecture_family,seed,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
factorized_ff_gate,ff_gate,11,1,2.645160852734276,0.0890151994249293,2.405659914016724,0.1384980759980759
factorized_ff_gate,ff_gate,11,2,2.261805330824729,0.2212255502706897,2.221975088119507,0.1785714285714285
factorized_ff_gate,ff_gate,11,3,2.035077999462975,0.2889029807521879,2.05999755859375,0.2278499278499278
factorized_ff_gate,ff_gate,11,4,1.8120325477521309,0.4286059193641718,1.922661304473877,0.2798701298701299
factorized_ff_gate,ff_gate,11,5,1.6154688260231085,0.5657664634270526,1.820568561553955,0.3766293891293891
factorized_ff_gate,ff_gate,11,6,1.4581718178090868,0.631233800595233,1.7394487857818604,0.3743145743145743
factorized_ff_gate,ff_gate,11,7,1.3239622134555022,0.6721858457594067,1.663827657699585,0.4036796536796536
factorized_ff_gate,ff_gate,11,8,1.210496106779719,0.6886003123437784,1.603759527206421,0.4189574314574314
factorized_ff_gate,ff_gate,11,9,1.1176201895058873,0.7183771391364209,1.5636239051818848,0.4516955266955267
factorized_ff_gate,ff_gate,11,10,1.041295086762991,0.7266177751344097,1.5294069051742554,0.4530844155844156
factorized_ff_gate,ff_gate,11,11,0.9792003237647156,0.7440309987714603,1.5052807331085205,0.4677669552669553
factorized_ff_gate,ff_gate,11,12,0.925925495086972,0.7626658179762482,1.4846816062927246,0.4816558441558441
factorized_ff_gate,ff_gate,11,13,0.8783555636102279,0.7768297560612925,1.470726728439331,0.4603595478595478
factorized_ff_gate,ff_gate,11,14,0.837844887822097,0.7823146102593818,1.4531407356262207,0.4663780663780664
factorized_ff_gate,ff_gate,11,15,0.8035277176436787,0.7739669271690518,1.434255838394165,0.4886002886002886
factorized_ff_gate,ff_gate,11,16,0.7736277808010475,0.7867071227629762,1.422432541847229,0.507449494949495
factorized_ff_gate,ff_gate,11,17,0.7445307533014662,0.7969726107245424,1.4179816246032717,0.5083754208754209
factorized_ff_gate,ff_gate,11,18,0.7221370694354151,0.8176256969759933,1.4110121726989746,0.5083754208754209
factorized_ff_gate,ff_gate,11,19,0.6996367290590388,0.8112491136710417,1.4108983278274536,0.4866161616161616
factorized_ff_gate,ff_gate,11,20,0.6775986386043069,0.8097325625142314,1.3990689516067505,0.5147246272246272
factorized_ff_gate,ff_gate,11,21,0.6594903549105698,0.8191117015423265,1.397355556488037,0.5124098124098125
factorized_ff_gate,ff_gate,11,22,0.643077112721494,0.8263554309429187,1.3922603130340576,0.4782828282828283
factorized_ff_gate,ff_gate,11,23,0.6287210385688611,0.84032978728224,1.3785125017166138,0.5225949975949976
factorized_ff_gate,ff_gate,11,24,0.6110261281673346,0.8491663746237292,1.395771622657776,0.5147246272246272
factorized_ff_gate,ff_gate,11,25,0.5985062620931156,0.8469821028743909,1.397586703300476,0.492502405002405
factorized_ff_gate,ff_gate,11,26,0.5849548379238214,0.8459244118842175,1.3705672025680542,0.4921717171717172
factorized_ff_gate,ff_gate,11,27,0.5740049097193293,0.8520070329668386,1.3514245748519895,0.5245791245791246
factorized_ff_gate,ff_gate,11,28,0.5629330109195742,0.8634285845090446,1.3731679916381836,0.5202801827801828
factorized_ff_gate,ff_gate,11,29,0.5513759280030781,0.858888560614182,1.376731276512146,0.5355579605579606
factorized_ff_gate,ff_gate,11,30,0.5396622566060643,0.8694999618854534,1.3618152141571045,0.5364838864838866
factorized_ff_gate,ff_gate,11,31,0.531058559114059,0.8625649805204406,1.367940902709961,0.5332431457431458
factorized_ff_gate,ff_gate,11,32,0.5227679574345968,0.8679590576669688,1.3750962018966677,0.5355579605579606
factorized_ff_gate,ff_gate,11,33,0.5127395556633731,0.8695325046020511,1.38495671749115,0.5216690716690717
factorized_ff_gate,ff_gate,11,34,0.5041663190686559,0.8706542994738458,1.3720122575759888,0.5378727753727753
factorized_ff_gate,ff_gate,11,35,0.4957815334842045,0.8748500833079945,1.3701612949371338,0.5378727753727753
