condition,architecture_family,beta,tau_mem_ms,recurrent,stateful,seed,probe_type,probe_C,val_ba,test_ba,test_accuracy,test_macro_f1
factorized_ff_gate,ff_gate,0.0,0.0,False,False,11,phase_contextual,1.0,0.35,0.37328767123287665,0.3732876712328767,0.35808645581991344
factorized_ff_gate,ff_gate,0.0,0.0,False,False,11,phase_membrane,10.0,0.3373015873015873,0.34726027397260273,0.34726027397260273,0.3302010535141435
factorized_ff_gate,ff_gate,0.0,0.0,False,False,11,phase_gate,0.1,0.33095238095238094,0.3445205479452055,0.3445205479452055,0.32469642498482437
factorized_ff_gate,ff_gate,0.0,0.0,False,False,23,phase_contextual,0.01,0.3587301587301587,0.36712328767123287,0.36712328767123287,0.34926351886283075
factorized_ff_gate,ff_gate,0.0,0.0,False,False,23,phase_membrane,0.1,0.3587301587301587,0.37534246575342467,0.37534246575342467,0.35728782049719676
factorized_ff_gate,ff_gate,0.0,0.0,False,False,23,phase_gate,10.0,0.3396825396825397,0.3554794520547945,0.35547945205479453,0.3338576587342973
factorized_ff_gate,ff_gate,0.0,0.0,False,False,37,phase_contextual,10.0,0.38492063492063494,0.3712328767123287,0.37123287671232874,0.3554825458982468
factorized_ff_gate,ff_gate,0.0,0.0,False,False,37,phase_membrane,1.0,0.35714285714285715,0.37739726027397263,0.3773972602739726,0.36256780247482445
factorized_ff_gate,ff_gate,0.0,0.0,False,False,37,phase_gate,10.0,0.3492063492063492,0.37397260273972605,0.37397260273972605,0.3582010612485311
factorized_ff_gate,ff_gate,0.0,0.0,False,False,53,phase_contextual,0.1,0.35158730158730156,0.3602739726027397,0.36027397260273974,0.343165258126248
factorized_ff_gate,ff_gate,0.0,0.0,False,False,53,phase_membrane,1.0,0.3373015873015873,0.36232876712328765,0.36232876712328765,0.34537320479007927
factorized_ff_gate,ff_gate,0.0,0.0,False,False,53,phase_gate,1.0,0.330952380952381,0.35000000000000003,0.35,0.32830380772040096
factorized_ff_gate,ff_gate,0.0,0.0,False,False,71,phase_contextual,10.0,0.3468253968253968,0.38082191780821917,0.38082191780821917,0.3631454533994828
factorized_ff_gate,ff_gate,0.0,0.0,False,False,71,phase_membrane,1.0,0.3484126984126984,0.37054794520547946,0.37054794520547946,0.34618992098392615
factorized_ff_gate,ff_gate,0.0,0.0,False,False,71,phase_gate,0.1,0.3253968253968254,0.34657534246575333,0.34657534246575344,0.32386442059721704
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,11,phase_contextual,0.1,0.34444444444444444,0.37602739726027395,0.37602739726027395,0.36001435952724836
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,11,phase_membrane,0.1,0.3515873015873016,0.34657534246575344,0.34657534246575344,0.3274087193918734
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,11,phase_gate,1.0,0.3468253968253968,0.3431506849315068,0.34315068493150686,0.32396666371181165
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,23,phase_contextual,0.1,0.35396825396825393,0.36849315068493144,0.3684931506849315,0.35124908090288604
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,23,phase_membrane,1.0,0.35952380952380947,0.3767123287671233,0.3767123287671233,0.36064433478160335
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,23,phase_gate,10.0,0.3492063492063492,0.3527397260273973,0.3527397260273973,0.33151723316409043
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,37,phase_contextual,10.0,0.36984126984126986,0.3924657534246575,0.39246575342465756,0.37619646820673297
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,37,phase_membrane,1.0,0.3746031746031746,0.36164383561643837,0.36164383561643837,0.3460905338100605
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,37,phase_gate,10.0,0.34365079365079365,0.3404109589041096,0.3404109589041096,0.3197605473112096
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,53,phase_contextual,10.0,0.34523809523809523,0.3657534246575342,0.36575342465753424,0.3481811473568296
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,53,phase_membrane,0.01,0.32222222222222224,0.35205479452054794,0.35205479452054794,0.3300122037598644
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,53,phase_gate,10.0,0.32380952380952377,0.3404109589041096,0.3404109589041096,0.3188615133226045
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,71,phase_contextual,1.0,0.3484126984126984,0.3595890410958904,0.3595890410958904,0.3396234031271731
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,71,phase_membrane,0.1,0.35,0.36301369863013705,0.363013698630137,0.3387571054612401
factorized_lif22,lif_gate,0.5,22.542110013890053,False,True,71,phase_gate,10.0,0.32380952380952377,0.34178082191780823,0.34178082191780823,0.32088062784588944
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,11,phase_contextual,0.1,0.35317460317460314,0.36506849315068496,0.36506849315068496,0.3481399674520263
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,11,phase_membrane,0.1,0.32222222222222224,0.3232876712328767,0.3232876712328767,0.30122427213209846
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,11,phase_gate,10.0,0.3277777777777778,0.3191780821917808,0.31917808219178084,0.2993893495334504
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,23,phase_contextual,10.0,0.3682539682539683,0.37328767123287665,0.3732876712328767,0.35708239811536785
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,23,phase_membrane,0.1,0.3412698412698413,0.3410958904109589,0.3410958904109589,0.3204528290246697
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,23,phase_gate,0.1,0.326984126984127,0.3102739726027397,0.3102739726027397,0.2846458530625814
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,37,phase_contextual,10.0,0.37936507936507935,0.39794520547945206,0.39794520547945206,0.38297009169258356
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,37,phase_membrane,0.1,0.3476190476190476,0.34178082191780823,0.34178082191780823,0.3204253143445961
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,37,phase_gate,1.0,0.33968253968253964,0.3342465753424657,0.33424657534246577,0.31200625344518257
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,53,phase_contextual,0.1,0.3388888888888889,0.3582191780821918,0.3582191780821918,0.3396629369673028
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,53,phase_membrane,1.0,0.3111111111111111,0.32739726027397265,0.3273972602739726,0.30563428275940197
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,53,phase_gate,10.0,0.3238095238095238,0.3280821917808219,0.32808219178082193,0.30424373031087126
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,71,phase_contextual,10.0,0.3388888888888889,0.36780821917808215,0.3678082191780822,0.3478031599124643
factorized_lif242,lif_gate,0.9375,242.10347130039656,False,True,71,phase_membrane,10.0,0.32698412698412704,0.3301369863013699,0.33013698630136984,0.3050827776493704
