seed,model_kind,stimulus_type,stimulus_id,layer,state,neuron,peak_latency_steps,peak_latency_ms,peak_amplitude,fwhm_steps,fwhm_ms,duration_steps,duration_ms,peak_to_tail_ratio
37,c2,unit_impulse,channel_0,L1,syn_current,0,0,0.0,0.1454635113477707,3,46.875,9,140.625,24457062.685011867
37,c2,unit_impulse,channel_0,L1,syn_current,1,0,0.0,0.19431400299072266,3,46.875,9,140.625,25536455.79759812
37,c2,unit_impulse,channel_0,L1,syn_current,2,0,0.0,0.19744622707366943,3,46.875,9,140.625,25589809.767152783
37,c2,unit_impulse,channel_0,L1,syn_current,3,0,0.0,0.06948769092559814,3,46.875,9,140.625,20659263.490511704
37,c2,unit_impulse,channel_0,L1,syn_current,4,0,0.0,0.20879286527633667,3,46.875,9,140.625,25771311.165493578
37,c2,unit_impulse,channel_0,L1,syn_current,5,0,0.0,0.12253288179636002,3,46.875,9,140.625,23711026.5071269
37,c2,unit_impulse,channel_0,L1,syn_current,6,0,0.0,0.04450356215238571,3,46.875,9,140.625,17704279.230544187
37,c2,unit_impulse,channel_0,L1,syn_current,7,0,0.0,0.039608873426914215,3,46.875,9,140.625,16874712.07954592
37,c2,unit_impulse,channel_0,L1,syn_current,8,0,0.0,0.19307273626327515,3,46.875,9,140.625,25514898.046852887
37,c2,unit_impulse,channel_0,L1,syn_current,9,0,0.0,0.01622946932911873,3,46.875,9,140.625,10457002.87998113
37,c2,unit_impulse,channel_0,L1,syn_current,10,0,0.0,0.21007676422595978,3,46.875,9,140.625,25790765.877762076
37,c2,unit_impulse,channel_0,L1,syn_current,11,0,0.0,0.25120460987091064,3,46.875,9,140.625,26319794.58906749
37,c2,unit_impulse,channel_0,L1,syn_current,12,0,0.0,0.11902307718992233,3,46.875,9,140.625,23576494.158981737
37,c2,unit_impulse,channel_0,L1,syn_current,13,0,0.0,0.028783829882740974,3,46.875,9,140.625,14544370.9181664
37,c2,unit_impulse,channel_0,L1,syn_current,14,0,0.0,0.2572466731071472,3,46.875,9,140.625,26384716.857166033
37,c2,unit_impulse,channel_0,L1,syn_current,15,0,0.0,0.03356529399752617,3,46.875,9,140.625,15672490.625915341
37,c2,unit_impulse,channel_0,L1,syn_current,16,0,0.0,0.10563870519399643,3,46.875,9,140.625,22999282.541133054
