seed,model_kind,stimulus_type,stimulus_id,layer,state,neuron,peak_latency_steps,peak_latency_ms,peak_amplitude,fwhm_steps,fwhm_ms,duration_steps,duration_ms,peak_to_tail_ratio
23,random_a2,unit_impulse,channel_0,L1,syn_current,0,0,0.0,0.14058701694011688,3,46.875,9,140.625,24315258.654990133
23,random_a2,unit_impulse,channel_0,L1,syn_current,1,0,0.0,0.11227578669786453,3,46.875,9,140.625,23299141.880158365
23,random_a2,unit_impulse,channel_0,L1,syn_current,2,0,0.0,0.04063217341899872,3,46.875,9,140.625,17057733.317654744
23,random_a2,unit_impulse,channel_0,L1,syn_current,3,0,0.0,0.07785183936357498,3,46.875,9,140.625,21340933.320017498
23,random_a2,unit_impulse,channel_0,L1,syn_current,4,0,0.0,0.16755793988704681,3,46.875,9,140.625,25011580.319580358
23,random_a2,unit_impulse,channel_0,L1,syn_current,5,0,0.0,0.17423799633979797,3,46.875,9,140.625,25155534.93778777
23,random_a2,unit_impulse,channel_0,L1,syn_current,6,0,0.0,0.1642034500837326,3,46.875,9,140.625,24935535.923500292
23,random_a2,unit_impulse,channel_0,L1,syn_current,7,0,0.0,0.07904549688100815,3,46.875,9,140.625,21429643.35568593
23,random_a2,unit_impulse,channel_0,L1,syn_current,8,0,0.0,0.048767562955617905,3,46.875,9,140.625,18342288.06838428
23,random_a2,unit_impulse,channel_0,L1,syn_current,9,0,0.0,0.09012395143508911,3,46.875,9,140.625,22168414.057107396
23,random_a2,unit_impulse,channel_0,L1,syn_current,10,0,0.0,0.1204557716846466,3,46.875,9,140.625,23632167.30776538
23,random_a2,unit_impulse,channel_0,L1,syn_current,11,0,0.0,0.18129202723503113,3,46.875,9,140.625,25297652.750838537
23,random_a2,unit_impulse,channel_0,L1,syn_current,12,0,0.0,0.08528391271829605,3,46.875,9,140.625,21863211.056619078
23,random_a2,unit_impulse,channel_0,L1,syn_current,13,0,0.0,0.045069724321365356,3,46.875,9,140.625,17793205.469477326
23,random_a2,unit_impulse,channel_0,L1,syn_current,14,0,0.0,0.07999247312545776,3,46.875,9,140.625,21498631.930956937
23,random_a2,unit_impulse,channel_0,L1,syn_current,15,0,0.0,0.15886595845222473,3,46.875,9,140.625,24808965.396648
23,random_a2,unit_impulse,channel_0,L1,syn_current,16,0,0.0,0.1772366315126419,3,46.875,9,140.625,25217129.296039023
23,random_a2,unit_impulse,channel_0,L1,syn_current,17,0,0.0,0.06224960461258888,3,46.875,9,140.625,19968944.276830837
23,random_a2,unit_impulse,channel_0,L1,syn_current,18,0,0.0,0.012644630856812,3,46.875,9,140.625,8841861.993923474
23,random_a2,unit_impulse,channel_0,L1,syn_current,19,0,0.0,0.1252327561378479,3,46.875,9,140.625,23810360.628034666
