seed,model_kind,stimulus_type,stimulus_id,layer,state,neuron,peak_latency_steps,peak_latency_ms,peak_amplitude,fwhm_steps,fwhm_ms,duration_steps,duration_ms,peak_to_tail_ratio
11,random_a2,unit_impulse,channel_0,L1,syn_current,42,0,0.0,0.13837136328220367,3,46.875,9,140.625,24248105.43186092
11,random_a2,unit_impulse,channel_0,L1,syn_current,43,0,0.0,0.006273171398788691,6,93.75,18,281.25,3077.2670627197035
11,random_a2,unit_impulse,channel_0,L1,syn_current,44,0,0.0,0.07325886934995651,6,93.75,18,281.25,3078.647901551969
11,random_a2,unit_impulse,channel_0,L1,syn_current,45,0,0.0,0.11539251357316971,6,93.75,18,281.25,3078.6953453710908
11,random_a2,unit_impulse,channel_0,L1,syn_current,46,0,0.0,0.14057952165603638,6,93.75,18,281.25,3078.710588470168
11,random_a2,unit_impulse,channel_0,L1,syn_current,47,0,0.0,0.16657191514968872,6,93.75,18,281.25,3078.7202350856737
11,random_a2,unit_impulse,channel_0,L1,syn_current,48,0,0.0,0.09319024533033371,6,93.75,18,281.25,3078.6761228835226
11,random_a2,unit_impulse,channel_0,L1,syn_current,49,0,0.0,0.08598731458187103,6,93.75,18,281.25,3078.666411963104
11,random_a2,unit_impulse,channel_0,L1,syn_current,50,0,0.0,0.0705832690000534,6,93.75,18,281.25,3078.643652567458
11,random_a2,unit_impulse,channel_0,L1,syn_current,51,0,0.0,0.02381906844675541,6,93.75,18,281.25,3078.3787579018026
11,random_a2,unit_impulse,channel_0,L1,syn_current,52,0,0.0,0.027753008529543877,6,93.75,18,281.25,3078.4354147302765
11,random_a2,unit_impulse,channel_0,L1,syn_current,53,0,0.0,0.14797185361385345,6,93.75,18,281.25,3078.7131309804377
11,random_a2,unit_impulse,channel_0,L1,syn_current,54,0,0.0,0.1100851446390152,6,93.75,18,281.25,3078.691723794815
11,random_a2,unit_impulse,channel_0,L1,syn_current,55,0,0.0,0.10487271100282669,6,93.75,18,281.25,3078.6874768927883
11,random_a2,unit_impulse,channel_0,L1,syn_current,56,0,0.0,0.04130164906382561,6,93.75,18,281.25,3078.548540700015
11,random_a2,unit_impulse,channel_0,L1,syn_current,57,0,0.0,0.1005445048213005,6,93.75,18,281.25,3078.6833316868206
11,random_a2,unit_impulse,channel_0,L1,syn_current,58,0,0.0,0.044733352959156036,6,93.75,18,281.25,3078.5658795472955
11,random_a2,unit_impulse,channel_0,L1,syn_current,59,0,0.0,0.055762793868780136,6,93.75,18,281.25,3078.60658947163
11,random_a2,unit_impulse,channel_0,L1,syn_current,60,0,0.0,0.13847807049751282,6,93.75,18,281.25,3078.7093901827984
11,random_a2,unit_impulse,channel_0,L1,syn_current,61,0,0.0,0.012387309223413467,6,93.75,18,281.25,3078.0126447671623
11,random_a2,unit_impulse,channel_0,L1,syn_current,62,0,0.0,0.1569415032863617,6,93.75,18,281.25,3078.7167823278314
11,random_a2,unit_impulse,channel_0,L1,syn_current,63,0,0.0,0.10790534317493439,6,93.75,18,281.25,3078.688723010195
11,random_a2,unit_impulse,channel_0,L1,syn_current,64,0,0.0,0.14362941682338715,6,93.75,18,281.25,3078.7132693635526
11,random_a2,unit_impulse,channel_0,L1,syn_current,65,0,0.0,0.12477444857358932,6,93.75,18,281.25,3078.701337930929
11,random_a2,unit_impulse,channel_0,L1,syn_current,66,0,0.0,0.041209783405065536,6,93.75,18,281.25,3078.5466458124283
11,random_a2,unit_impulse,channel_0,L1,syn_current,67,0,0.0,0.16638006269931793,6,93.75,18,281.25,3078.7197801169673
11,random_a2,unit_impulse,channel_0,L1,syn_current,68,0,0.0,0.028734218329191208,6,93.75,18,281.25,3078.447267021156
11,random_a2,unit_impulse,channel_0,L1,syn_current,69,0,0.0,0.14393018186092377,6,93.75,18,281.25,3078.7121474692826
11,random_a2,unit_impulse,channel_0,L1,syn_current,70,0,0.0,0.10251443833112717,6,93.75,18,281.25,3078.6856928655798
11,random_a2,unit_impulse,channel_0,L1,syn_current,71,0,0.0,0.09200351685285568,6,93.75,18,281.25,3078.675223244019
11,random_a2,unit_impulse,channel_0,L1,syn_current,72,0,0.0,0.0069691576063632965,6,93.75,18,281.25,3077.418519029006
11,random_a2,unit_impulse,channel_0,L1,syn_current,73,0,0.0,0.0724119022488594,6,93.75,18,281.25,3078.645908409535
11,random_a2,unit_impulse,channel_0,L1,syn_current,74,0,0.0,0.10899768024682999,6,93.75,18,281.25,3078.690721248009
11,random_a2,unit_impulse,channel_0,L1,syn_current,75,0,0.0,0.16806265711784363,6,93.75,18,281.25,3078.7210908598904
11,random_a2,unit_impulse,channel_0,L1,syn_current,76,0,0.0,0.18122747540473938,6,93.75,18,281.25,3078.7249729994123
11,random_a2,unit_impulse,channel_0,L1,syn_current,77,0,0.0,0.08022012561559677,6,93.75,18,281.25,3078.6599971424585
11,random_a2,unit_impulse,channel_0,L1,syn_current,78,0,0.0,0.04861055314540863,6,93.75,18,281.25,3078.581899676157
11,random_a2,unit_impulse,channel_0,L1,syn_current,79,0,0.0,0.08455440402030945,6,93.75,18,281.25,3078.6661933256
11,random_a2,unit_impulse,channel_0,L1,syn_current,80,0,0.0,0.06109880656003952,6,93.75,18,281.25,3078.621670399142
11,random_a2,unit_impulse,channel_0,L1,syn_current,81,0,0.0,0.0743885412812233,6,93.75,18,281.25,3078.64955290819
11,random_a2,unit_impulse,channel_0,L1,syn_current,82,0,0.0,0.14429153501987457,6,93.75,18,281.25,3078.7113925000313
11,random_a2,unit_impulse,channel_0,L1,syn_current,83,0,0.0,0.05213847756385803,6,93.75,18,281.25,3078.596405428001
11,random_a2,unit_impulse,channel_0,L1,syn_current,84,0,0.0,0.025980569422245026,6,93.75,18,281.25,3078.4126882911714
11,random_a2,unit_impulse,channel_0,L1,syn_current,85,0,0.0,0.0277674812823534,6,93.75,18,281.25,3078.435157501126
11,random_a2,unit_impulse,channel_0,L1,syn_current,86,0,0.0,0.15044863522052765,11,171.875,36,562.5,49.09077861793552
11,random_a2,unit_impulse,channel_0,L1,syn_current,87,0,0.0,0.029487881809473038,11,171.875,36,562.5,49.090727044767995
11,random_a2,unit_impulse,channel_0,L1,syn_current,88,0,0.0,0.07770223170518875,11,171.875,36,562.5,49.0907736901871
11,random_a2,unit_impulse,channel_0,L1,syn_current,89,0,0.0,0.17374183237552643,11,171.875,36,562.5,49.09076560927203
11,random_a2,unit_impulse,channel_0,L1,syn_current,90,0,0.0,0.03634022921323776,11,171.875,36,562.5,49.09072099830834
11,random_a2,unit_impulse,channel_0,L1,syn_current,91,0,0.0,0.13086901605129242,11,171.875,36,562.5,49.09077049917048
11,random_a2,unit_impulse,channel_0,L1,syn_current,92,0,0.0,0.10745424777269363,11,171.875,36,562.5,49.090767336558926
11,random_a2,unit_impulse,channel_0,L1,syn_current,93,0,0.0,0.17433315515518188,11,171.875,36,562.5,49.09078178338608
11,random_a2,unit_impulse,channel_0,L1,syn_current,94,0,0.0,0.12178493291139603,11,171.875,36,562.5,49.09077347144818
11,random_a2,unit_impulse,channel_0,L1,syn_current,95,0,0.0,0.026459388434886932,11,171.875,36,562.5,49.09069855046112
11,random_a2,unit_impulse,channel_0,L1,syn_current,96,0,0.0,0.04877298325300217,11,171.875,36,562.5,49.09074395508307
11,random_a2,unit_impulse,channel_0,L1,syn_current,97,0,0.0,0.08086749166250229,11,171.875,36,562.5,49.09078127707286
11,random_a2,unit_impulse,channel_0,L1,syn_current,98,0,0.0,0.007089667953550816,11,171.875,36,562.5,49.09044672272378
11,random_a2,unit_impulse,channel_0,L1,syn_current,99,0,0.0,0.1538410484790802,11,171.875,36,562.5,49.090765041811764
11,random_a2,unit_impulse,channel_0,L1,syn_current,100,0,0.0,0.13842792809009552,11,171.875,36,562.5,49.09076500615178
11,random_a2,unit_impulse,channel_0,L1,syn_current,101,0,0.0,0.05882519483566284,11,171.875,36,562.5,49.09075062411319
11,random_a2,unit_impulse,channel_0,L1,syn_current,102,0,0.0,0.06650881469249725,11,171.875,36,562.5,49.09073918504905
11,random_a2,unit_impulse,channel_0,L1,syn_current,103,0,0.0,0.16269426047801971,11,171.875,36,562.5,49.09078039111696
11,random_a2,unit_impulse,channel_0,L1,syn_current,104,0,0.0,0.10099348425865173,11,171.875,36,562.5,49.090754482094226
11,random_a2,unit_impulse,channel_0,L1,syn_current,105,0,0.0,0.06335476785898209,11,171.875,36,562.5,49.09074141985447
11,random_a2,unit_impulse,channel_0,L1,syn_current,106,0,0.0,0.17032155394554138,11,171.875,36,562.5,49.090781127559175
11,random_a2,unit_impulse,channel_0,L1,syn_current,107,0,0.0,0.16652294993400574,11,171.875,36,562.5,49.09077770937167
11,random_a2,unit_impulse,channel_0,L1,syn_current,108,0,0.0,0.02257448434829712,11,171.875,36,562.5,49.0906797629556
11,random_a2,unit_impulse,channel_0,L1,syn_current,109,0,0.0,0.03213982656598091,11,171.875,36,562.5,49.090708798573495
11,random_a2,unit_impulse,channel_0,L1,syn_current,110,0,0.0,0.13761858642101288,11,171.875,36,562.5,49.090770833322516
