seed,model_kind,stimulus_type,stimulus_id,layer,state,neuron,peak_latency_steps,peak_latency_ms,peak_amplitude,fwhm_steps,fwhm_ms,duration_steps,duration_ms,peak_to_tail_ratio
11,a2,unit_impulse,channel_0,L1,syn_current,0,0,0.0,0.03204815462231636,3,46.875,9,140.625,15333555.079956185
11,a2,unit_impulse,channel_0,L1,syn_current,1,0,0.0,0.038399629294872284,3,46.875,9,140.625,16651313.503971707
11,a2,unit_impulse,channel_0,L1,syn_current,2,0,0.0,0.2045924812555313,3,46.875,9,140.625,25706170.878537368
11,a2,unit_impulse,channel_0,L1,syn_current,3,0,0.0,0.1372734010219574,3,46.875,9,140.625,24214172.92925242
11,a2,unit_impulse,channel_0,L1,syn_current,4,0,0.0,0.022336114197969437,3,46.875,9,140.625,12692942.39877342
11,a2,unit_impulse,channel_0,L1,syn_current,5,0,0.0,0.051626529544591904,3,46.875,9,140.625,18732453.419254214
11,a2,unit_impulse,channel_0,L1,syn_current,6,0,0.0,0.09824434667825699,3,46.875,9,140.625,22628477.18964251
11,a2,unit_impulse,channel_0,L1,syn_current,7,0,0.0,0.11862146854400635,3,46.875,9,140.625,23560691.91422986
11,a2,unit_impulse,channel_0,L1,syn_current,8,0,0.0,0.058567579835653305,3,46.875,9,140.625,19574186.15831724
11,a2,unit_impulse,channel_0,L1,syn_current,9,0,0.0,0.11938964575529099,3,46.875,9,140.625,23590841.751527514
11,a2,unit_impulse,channel_0,L1,syn_current,10,0,0.0,0.05966964736580849,3,46.875,9,140.625,19695769.246192873
11,a2,unit_impulse,channel_0,L1,syn_current,11,0,0.0,0.22544978559017181,3,46.875,9,140.625,26008493.23311533
11,a2,unit_impulse,channel_0,L1,syn_current,12,0,0.0,0.18617697060108185,3,46.875,9,140.625,25390608.379171185
11,a2,unit_impulse,channel_0,L1,syn_current,13,0,0.0,0.06252000480890274,3,46.875,9,140.625,19996688.90262246
11,a2,unit_impulse,channel_0,L1,syn_current,14,0,0.0,0.06865663826465607,3,46.875,9,140.625,20585181.09487562
11,a2,unit_impulse,channel_0,L1,syn_current,15,0,0.0,0.3374694287776947,3,46.875,9,140.625,27044104.906500593
11,a2,unit_impulse,channel_0,L1,syn_current,16,0,0.0,0.2893921136856079,3,46.875,9,140.625,26688791.0828593
11,a2,unit_impulse,channel_0,L1,syn_current,17,0,0.0,0.2581595778465271,3,46.875,9,140.625,26394302.650515623
11,a2,unit_impulse,channel_0,L1,syn_current,18,0,0.0,0.05881538614630699,3,46.875,9,140.625,19601787.837934215
11,a2,unit_impulse,channel_0,L1,syn_current,19,0,0.0,0.22211067378520966,3,46.875,9,140.625,25963471.058220904
11,a2,unit_impulse,channel_0,L1,syn_current,20,0,0.0,0.127696231007576,3,46.875,9,140.625,23898014.037277266
11,a2,unit_impulse,channel_0,L1,syn_current,21,0,0.0,0.14174845814704895,3,46.875,9,140.625,24349770.102167033
11,a2,unit_impulse,channel_0,L1,syn_current,22,0,0.0,0.22037208080291748,3,46.875,9,140.625,25939547.478596903
11,a2,unit_impulse,channel_0,L1,syn_current,23,0,0.0,0.16420702636241913,3,46.875,9,140.625,24935613.200975314
11,a2,unit_impulse,channel_0,L1,syn_current,24,0,0.0,0.09894770383834839,3,46.875,9,140.625,22665583.417494558
11,a2,unit_impulse,channel_0,L1,syn_current,25,0,0.0,0.0404156818985939,3,46.875,9,140.625,17019459.500334494
11,a2,unit_impulse,channel_0,L1,syn_current,26,0,0.0,0.17792417109012604,3,46.875,9,140.625,25230994.333978858
11,a2,unit_impulse,channel_0,L1,syn_current,27,0,0.0,0.11015873402357101,3,46.875,9,140.625,23206593.866053663
11,a2,unit_impulse,channel_0,L1,syn_current,28,0,0.0,0.12307742983102798,3,46.875,9,140.625,23731343.69883682
11,a2,unit_impulse,channel_0,L1,syn_current,29,0,0.0,0.4433521330356598,3,46.875,9,140.625,27571800.21775097
11,a2,unit_impulse,channel_0,L1,syn_current,30,0,0.0,0.0803474634885788,3,46.875,9,140.625,21524201.058795698
11,a2,unit_impulse,channel_0,L1,syn_current,31,0,0.0,0.05365242809057236,3,46.875,9,140.625,18992668.755303927
11,a2,unit_impulse,channel_0,L1,syn_current,32,0,0.0,0.2436811923980713,3,46.875,9,140.625,26234931.20654542
11,a2,unit_impulse,channel_0,L1,syn_current,33,0,0.0,0.022189520299434662,3,46.875,9,140.625,12645466.76552437
