seed,width,depth,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_mean_hidden_firing_rate,train_output_firing_rate,train_silent_output_fraction,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_mean_hidden_firing_rate,val_output_firing_rate,val_silent_output_fraction
11,64,2,1,2.486689751817109,0.055077452667814115,0.0838502894954508,0.014534231200897868,0.000348446371447234,0.000146548980856516,0.9690189328743546,2.4903170229896667,0.05555555555555555,0.08333333333333333,0.008838383838383838,7.681502940918269e-05,7.315717086588827e-06,0.9920634920634921
11,64,2,2,2.4847893780562225,0.058519793459552494,0.08702518064204005,0.02044041875223603,0.0003585216138811195,0.00015911032207278878,0.9672977624784854,2.489749825189984,0.05555555555555555,0.08333333333333333,0.008771929824561403,7.475748397857959e-05,0.0,1.0
11,64,2,3,2.4822748679917774,0.08950086058519793,0.09022435897435897,0.025893043909610867,0.00037330735927110724,0.00020237716403995065,0.9690189328743546,2.489464964185442,0.05555555555555555,0.08333333333333333,0.008771929824561403,7.544333245544729e-05,0.0,1.0
11,64,2,4,2.4803412465343375,0.08777969018932874,0.08848824786324784,0.02597508255573368,0.00040248630813807427,0.0002791409159171733,0.9655765920826161,2.4892642233106823,0.05555555555555555,0.08333333333333333,0.008771929824561403,8.298766570099201e-05,0.0,1.0
11,64,2,5,2.477505851325398,0.09294320137693632,0.09329594017094016,0.034444862534127575,0.00042839407439663693,0.0003642788952719112,0.9569707401032702,2.4898051723601324,0.05555555555555555,0.08333333333333333,0.008838383838383838,9.464708980774295e-05,7.315717086588827e-06,0.9920634920634921
11,64,2,6,2.47141690918993,0.0963855421686747,0.09695160054829866,0.040896601692191024,0.0004618909843066977,0.0004940794211733967,0.9500860585197934,2.4902988539801703,0.05555555555555555,0.08333333333333333,0.008974358974358975,0.00012276687735931875,8.04728879524771e-05,0.9761904761904762
11,64,2,7,2.4660023038440646,0.09982788296041308,0.10022083131752944,0.04725398358295194,0.0005012760229118864,0.0005764259913689629,0.9466437177280551,2.4900785514286587,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.0001351121499429374,0.0001316829075585989,0.9682539682539683
11,64,2,8,2.4619960033955137,0.09982788296041308,0.10063749798419609,0.047388804357441576,0.0005478576632555646,0.0007173921539071354,0.9414802065404475,2.4914315011766224,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.0001563734527258362,0.0001828929271647207,0.9682539682539683
11,64,2,9,2.455812311418701,0.10671256454388985,0.10730950653120465,0.05634387292936866,0.000583971519252349,0.0008513797935473786,0.9345955249569707,2.494037499503484,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.00017009042226319023,0.000256050098030609,0.9682539682539683
11,64,2,10,2.450612943061658,0.10499139414802065,0.10541858168037414,0.0557991872339007,0.0006467782253337129,0.001014677229358925,0.9208261617900172,2.4955282438369024,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.0001865507857080151,0.00029994440055014195,0.9682539682539683
11,64,2,11,2.442938852228109,0.11187607573149742,0.11198319267501657,0.07022225099629271,0.0007259408444570989,0.0012994009635944417,0.8984509466437177,2.4943647044045583,0.06349206349206349,0.09027777777777778,0.021935096153846156,0.00022152905802826794,0.00040968015684897434,0.9603174603174603
11,64,2,12,2.4362898525395615,0.10671256454388985,0.10821827247484074,0.06616444464020797,0.0008368993585341752,0.001765566293176121,0.8898450946643718,2.500353491495526,0.05555555555555555,0.08333333333333333,0.00904392764857881,0.00025376393644105,0.0006584145377929945,0.9603174603174603
11,64,2,13,2.4289826632777096,0.10327022375215146,0.10484461186454491,0.06171287903735198,0.0009352965313949789,0.002208004644904841,0.8709122203098106,2.5080609510815335,0.05555555555555555,0.08333333333333333,0.009114583333333334,0.0002935431480993767,0.0008193603136979487,0.9603174603174603
11,64,2,14,2.4167260266006916,0.10671256454388985,0.10733813094662152,0.06545217852629139,0.00101393576130102,0.002469001401287398,0.8657487091222031,2.504920622659108,0.05555555555555555,0.08333333333333333,0.009114583333333334,0.0003120610569748047,0.0008705703333040704,0.9523809523809523
11,64,2,15,2.4072413850774455,0.11876075731497418,0.11899892938414951,0.08591799856453652,0.0010677140033831878,0.0026602129286906616,0.8537005163511188,2.508337724776495,0.05555555555555555,0.08333333333333333,0.009186351706036745,0.00033743745061890965,0.0009803060896029028,0.9444444444444444
11,64,2,16,2.3921381380800124,0.12564543889845095,0.12542824634019603,0.10365435896539049,0.0012859673070159277,0.0036567459985149702,0.8037865748709122,2.511652462066166,0.06349206349206349,0.09027777777777778,0.022229114971050457,0.0004286552980423141,0.001441196266057999,0.9206349206349206
11,64,2,17,2.3734472146748264,0.13080895008605853,0.1298858495045602,0.1112315058837765,0.0014891731706500075,0.0046560704774984505,0.7831325301204819,2.507915114599561,0.05555555555555555,0.08333333333333333,0.009485094850948509,0.0005178156000351155,0.0018728235741667398,0.9047619047619048
11,64,2,18,2.3562770172979253,0.1359724612736661,0.13585931155455908,0.12215739278412814,0.0016454048520274005,0.005596775364139325,0.7435456110154905,2.499999069032215,0.047619047619047616,0.07142857142857142,0.008333333333333333,0.0006165777807040646,0.0026043952828256225,0.8888888888888888
11,64,2,19,2.3297718593052457,0.14802065404475043,0.14558280118745345,0.1290513977316835,0.0020380776123402615,0.00787735664718263,0.6867469879518072,2.5110148853725858,0.07142857142857142,0.09226190476190477,0.03893065998329156,0.0008243898691949785,0.003855382904632312,0.8333333333333334
11,64,2,20,2.303297824990934,0.1549053356282272,0.15300986268291114,0.14052979203751897,0.002487799797343695,0.011148888181731901,0.6316695352839932,2.525915615142338,0.07936507936507936,0.0992063492063492,0.048123781676413256,0.001063065139144939,0.005896467971790595,0.8174603174603174
11,64,2,21,2.264432619853192,0.1738382099827883,0.17118066490962347,0.1599788239501957,0.0029979734369504412,0.014551615946762245,0.5869191049913941,2.5067901270730153,0.09523809523809523,0.10813492063492064,0.06246645195920558,0.0013504356509525064,0.007827817282650045,0.7619047619047619
11,64,2,22,2.2278388962277855,0.19104991394148021,0.1883099395529133,0.1843053474836531,0.003476351181603497,0.017277426990693442,0.5421686746987951,2.484414085509285,0.10317460317460317,0.11507936507936507,0.08275509321070068,0.0016652401018347818,0.010198109618704826,0.753968253968254
11,64,2,23,2.18961261430829,0.1927710843373494,0.1897605376903394,0.18794232148505977,0.0038470415947878807,0.019631980616454797,0.5146299483648882,2.4429837030077737,0.1111111111111111,0.12202380952380952,0.08522914019312948,0.0019032295233078747,0.011456412957598104,0.7222222222222222
11,64,2,24,2.1489414462944727,0.2099827882960413,0.20778880944844988,0.2084934288633061,0.004242331301187466,0.023586011690421557,0.4853700516351119,2.397785709017799,0.14285714285714285,0.15119047619047618,0.13060681876203134,0.002170024580809411,0.014126649694203026,0.6984126984126984
11,64,2,25,2.1032896045973706,0.24268502581755594,0.23863819938450279,0.24840931987805412,0.004458621895255163,0.026095488524516947,0.47160068846815834,2.3717591270567877,0.14285714285714285,0.15119047619047618,0.13273809523809524,0.0022845612764463173,0.015509320223568315,0.6984126984126984
11,64,2,26,2.0655994247036014,0.25645438898450945,0.2512541779374033,0.2597186319862676,0.004863463454871288,0.030191881465601464,0.4406196213425129,2.3551683274526445,0.16666666666666666,0.17698412698412694,0.1491499377528789,0.002585648757791239,0.018677025722061275,0.6587301587301587
11,64,2,27,2.021570665700916,0.2719449225473322,0.26608975939997026,0.2680792317091103,0.005436182105950726,0.036760067217132555,0.40963855421686746,2.3293245368533664,0.16666666666666666,0.1720238095238095,0.15990599456156732,0.0029203428145026774,0.022078834167325083,0.626984126984127
11,64,2,28,1.9831624072102794,0.28399311531841653,0.27851141388290224,0.2934431726294252,0.005901082578257156,0.03864566410415306,0.3924268502581756,2.315636982993474,0.15079365079365079,0.15813492063492063,0.13666868906806987,0.003159018084452638,0.023168876013226817,0.6111111111111112
11,64,2,29,1.9450278684317348,0.3304647160068847,0.32196830743159194,0.32423311626791135,0.006169188704841978,0.03928489680160339,0.37865748709122204,2.295224450883411,0.18253968253968253,0.16607142857142856,0.14282095324518193,0.0033585999912211393,0.023688291926374623,0.5873015873015873
11,64,2,30,1.918909889900746,0.33907056798623064,0.3317047239860825,0.33605253445755695,0.006406153172994792,0.040448914420978,0.37005163511187605,2.2520786353519986,0.21428571428571427,0.19384920634920633,0.16307464178148365,0.003534863049776139,0.025290433968337578,0.5476190476190477
11,64,2,31,1.8874452565500124,0.3476764199655766,0.34085653163220053,0.34178482217199857,0.00711599979901854,0.04662769859480463,0.3442340791738382,2.2872779482886907,0.19047619047619047,0.1765873015873016,0.1371205792258424,0.003964204196295321,0.028933661077458813,0.5158730158730159
11,64,2,32,1.83881975410317,0.35972461273666095,0.3506767555208206,0.34472392522303846,0.007732683144354933,0.05179738835759068,0.3270223752151463,2.231354588554019,0.23809523809523808,0.22380952380952382,0.19589856278497253,0.0043537661311561756,0.03304509408012173,0.5
11,64,2,33,1.7919837956584463,0.3769363166953528,0.36566730557407734,0.36046139604035377,0.008338113621518414,0.05575839795445537,0.3098106712564544,2.209689533899701,0.2619047619047619,0.24464285714285716,0.22572604883559547,0.004759788429461856,0.036637111169636846,0.47619047619047616
11,64,2,34,1.7673660120742456,0.3993115318416523,0.3888681763019118,0.3905457700456429,0.008636838017317903,0.05530200255693079,0.3046471600688468,2.2249646905868774,0.2619047619047619,0.24695767195767196,0.2230627685482495,0.005001892941796155,0.037266262839083485,0.4603174603174603
11,64,2,35,1.7326302462723908,0.40963855421686746,0.40098780073558693,0.40446993679420123,0.009109065938667157,0.05614640382758024,0.3029259896729776,2.2269530939677407,0.23809523809523808,0.21746031746031746,0.1852745910417676,0.005401742603810026,0.03821730606034003,0.4365079365079365
11,64,2,36,1.698746621300965,0.4354561101549053,0.42794099684176273,0.4377252866716375,0.009442072328202723,0.05788963884748299,0.27710843373493976,2.2351767978970964,0.23809523809523808,0.22612433862433864,0.20946674966282808,0.0055793773593187605,0.0393512422087613,0.4444444444444444
11,64,2,37,1.6634959788823087,0.43201376936316693,0.4244677232394658,0.4281045542170799,0.009682831368181285,0.05859028254643509,0.28055077452667815,2.245650495801653,0.23015873015873015,0.21421957671957673,0.19782919306850152,0.005703515933631814,0.03962923945805168,0.4365079365079365
11,64,2,38,1.6224667681268898,0.4440619621342513,0.43647676036504013,0.443003289155431,0.01023239004639322,0.06516265541170493,0.2633390705679862,2.193738971437727,0.2619047619047619,0.24695767195767193,0.21701251158971746,0.006097878807830743,0.044955081497088344,0.3968253968253968
11,64,2,39,1.5903048223964935,0.4629948364888124,0.45733621425413995,0.47000246563196924,0.010759704682868005,0.07011042814633683,0.2547332185886403,2.1517878411308167,0.29365079365079366,0.2821428571428572,0.25360270206571106,0.006466865288385568,0.048832411552980425,0.373015873015873
11,64,2,40,1.558363844728716,0.47332185886402756,0.4679212473610946,0.4764134109978709,0.011498076021237041,0.07611614495229482,0.2306368330464716,2.1424032847086587,0.30158730158730157,0.29279100529100527,0.2622272336610889,0.007014172372925994,0.05344862903461797,0.36507936507936506
11,64,2,41,1.5200560876711715,0.48709122203098104,0.48245459999905477,0.490270671070036,0.012423559004806807,0.07957051378676984,0.21686746987951808,2.1149430010053845,0.3253968253968254,0.3159391534391534,0.29290425114538193,0.007542275700114125,0.056638281684370705,0.36507936507936506
11,64,2,42,1.5079150068575258,0.4853700516351119,0.48171501538114053,0.48994162805438407,0.013249990578994088,0.0840674739421955,0.2082616179001721,2.0925846478295704,0.31746031746031744,0.3080687830687831,0.2896316646316647,0.008090954481608287,0.060544874608609134,0.35714285714285715
