epoch,train_ba,val_ba,train_loss,val_loss,train_main_ce,val_main_ce,train_aux_ce,val_aux_ce
1.0,0.06971688034188034,0.07738095238095238,2.7301203617745955,2.7303619384765625,2.4816559235118136,2.4819629192352295,2.4846444351537706,2.48399019241333
2.0,0.09828891845401279,0.07103174603174604,2.7214561485382447,2.724635124206543,2.4730484813913423,2.4762747287750244,2.484076517994761,2.4836034774780273
3.0,0.10110702350875306,0.05496031746031746,2.712568964276995,2.717416286468506,2.4642226129718985,2.469086170196533,2.4834631453693015,2.4833004474639893
4.0,0.10511580793420415,0.025793650793650796,2.702500272741006,2.7079248428344727,2.4542254433164086,2.4596610069274902,2.482748298349561,2.4826388359069824
5.0,0.11165255603934848,0.03968253968253968,2.690291591847825,2.6969757080078125,2.4421162851501044,2.4488093852996826,2.481753240559064,2.4816644191741943
6.0,0.12133395823254313,0.10317460317460318,2.679603791277913,2.6843156814575195,2.4315400402640313,2.436282157897949,2.4806370940347957,2.4803357124328613
7.0,0.12952316158684082,0.13095238095238096,2.6660257973892554,2.672809362411499,2.4181200296661323,2.4249041080474854,2.4790577740759527,2.479053258895874
8.0,0.14460876605923775,0.11011904761904762,2.653161317263946,2.664691925048828,2.405409510492663,2.416916608810425,2.477517930242568,2.477752208709717
9.0,0.15485825538891576,0.1240079365079365,2.6378327409084403,2.657357931137085,2.3902685022600343,2.4097249507904053,2.4756426975361863,2.4763295650482178
10.0,0.17000209419627657,0.12400793650793651,2.6238324908914747,2.6477890014648438,2.376477098300822,2.400311231613159,2.473553683384355,2.474778175354004
11.0,0.18491455231235107,0.14682539682539683,2.607846585075129,2.638495445251465,2.3607231811484044,2.391176223754883,2.4712345161044045,2.473191499710083
12.0,0.2021095051873354,0.1378968253968254,2.5904674841902136,2.6264538764953613,2.343583420098546,2.3793203830718994,2.4688410085983405,2.4713351726531982
13.0,0.2005945501621602,0.11904761904761903,2.569004923874663,2.6086208820343018,2.3224266900868504,2.3617141246795654,2.4657823337745337,2.469066858291626
14.0,0.2195743854037879,0.13789682539682538,2.545424048133233,2.593200445175171,2.2991705072110777,2.3465211391448975,2.462535566799407,2.466792583465576
15.0,0.2285583418445054,0.13789682539682538,2.5209474764674544,2.575561046600342,2.2750474512064107,2.3291265964508057,2.4590004586106526,2.464343786239624
16.0,0.2512806290204089,0.15376984126984125,2.492419896150415,2.5553996562957764,2.246898786131158,2.309312343597412,2.455211237662836,2.460872173309326
17.0,0.2839243334408429,0.1704365079365079,2.460795972515507,2.525911808013916,2.2157058161835663,2.280153512954712,2.450902242053191,2.45758318901062
18.0,0.3124553163468258,0.16904761904761903,2.42448572119419,2.50124192237854,2.17989411903946,2.2558481693267822,2.4459163650177844,2.4539380073547363
19.0,0.31150746295400383,0.2029761904761905,2.3915606484766054,2.461662769317627,2.1474811780473244,2.2166941165924072,2.4407946033444956,2.4496853351593018
20.0,0.3350231817448798,0.2230820105820106,2.355909875255854,2.4365639686584473,2.112280562084021,2.191981554031372,2.4362924406737756,2.445823907852173
21.0,0.33535530783565376,0.2900132275132275,2.31981420845255,2.399409770965576,2.0766848729932987,2.1552181243896484,2.4312934920627773,2.4419167041778564
22.0,0.352442728771345,0.2515873015873016,2.2867232083043216,2.3679354190826416,2.044015918048852,2.1242151260375977,2.427072660032525,2.4372029304504395
