epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
1,1.0,0.01,0.1,2.5964244281978903,0.8214888110526047,0.007023553193263107,0.008214887772588999,0.0007023553349151438,2.605341655662261,0.0034344319867970763,0.09027777777777778,2.4873056411743164,0.17203479135503555,2.9509206598026156,0.0032128178406652945,0.029509204098441807,0.0003212817936869344,0.02962893562953526,0.17153044373182866,0.0018675396479767366,0.17222641650658185,0.6066828740443297,0.10967874249985214,1.748104775321258
2,1.0,0.01,0.1,2.500875582177955,0.35000800527311643,0.004233278825048761,0.0035000799056270804,0.00042332788773454894,2.5047989683594434,0.0015688136672296284,0.08333333333333333,2.4855246543884277,0.055222694120381555,0.6486782695552019,0.001999453579416426,0.006486782147621618,0.00019994536062911653,0.0065743972946037494,0.11746587613927154,0.003620709996387533,0.11905245478013134,0.4355409339249852,0.05770672497414886,0.5567763572921031
3,1.0,0.01,0.1,2.48543795825282,0.21445461415177575,0.003163286033543324,0.002144546090928187,0.00031632860749699466,2.4878988926669203,0.0009901171301636895,0.08333333333333333,2.484935760498047,,,,,,,,,,0.31203172611082275,0.0365206194871623,0.29481149793132855
4,1.0,0.01,0.1,2.488588690962931,0.1610231427107128,0.0028149260712143115,0.0016102314036637673,0.00028149261555703367,2.490480463599174,0.0007601593730978581,0.09027777777777778,2.4845967292785645,,,,,,,,,,0.2291806809822171,0.024545810866632888,0.22934293351977705
5,1.0,0.01,0.1,2.4814577447362693,0.11250288415180837,0.002506920711975705,0.0011250288169606622,0.0002506920720591641,2.4828334593321495,0.0005544002882733103,0.09027777777777778,2.4845967292785645,0.03561673562941701,0.25540939831517323,0.0009486653260836813,0.00255409350032534,9.486653587350506e-05,0.0025839034327871818,0.07171048820700547,0.002663538199024386,0.07254745240192795,0.1756020706666316,0.019409550562270127,0.14249703970300145
6,1.0,0.01,0.1,2.480994846242225,0.08793064703116524,0.0022265017533549805,0.0008793064666007888,0.00022265018622564045,2.4820967631578035,0.00044415918658415575,0.09027777777777778,2.4845967292785645,,,,,,,,,,0.14053995389228432,0.016551326315933375,0.10670065997799989
7,1.0,0.01,0.1,2.477838119418198,0.0705614757825093,0.0019791847092489006,0.0007056147590473537,0.0001979184736399118,2.4787416507372964,0.0003646457876349957,0.09027777777777778,2.4845967292785645,,,,,,,,,,0.11794655001922646,0.01463720736233277,0.07910066712230905
8,1.0,0.01,0.1,2.474994831774608,0.05960020140813673,0.0016993596663349108,0.000596002000444144,0.00016993597149247825,2.4757607795695633,0.00030947053387882565,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.1024434999426548,0.012927255473017898,0.06342985618237579
9,1.0,0.01,0.1,2.474989038326244,0.051516875861895475,0.0015967419588811722,0.0005151687495802367,0.0001596742018316103,2.475663879857416,0.00027266502637450946,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.09174752390579595,0.011589331381670528,0.05121377792382507
10,1.0,0.01,0.1,2.4748243977814246,0.047806689015584845,0.0014592466146236152,0.0004780668811992824,0.00014592466148396398,2.4754483900874495,0.00025213568414899593,0.09027777777777778,2.4845967292785645,0.021595900983774983,0.06733197653083564,0.0004692097493534066,0.0006733196855215885,4.692096994275321e-05,0.0006846866455698645,0.03117812431291726,0.002172679434768893,0.03170447234798261,0.08357700307992978,0.010283501727407135,0.04955955891286483
