epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
1,0.0,0.0,0.0,2.6204633503485466,1018.2425464623561,0.009396373004157244,0.0,0.0,2.6204633503485466,0.0,0.10416666666666667,2.476306676864624,0.1421184269385747,1679.557358911865,0.0024888875929733353,0.0,0.0,0.0,0.0,0.0,0.0,23.989187959549554,32.40160175527024,2998.3368367442986
2,0.0,0.0,0.0,2.4970543203994042,994.1045320021716,0.007881469889936677,0.0,0.0,2.4970543203994042,0.0,0.08333333333333333,2.485059976577759,0.05312321623038534,797.8393662241009,0.0019400121100018866,0.0,0.0,0.0,0.0,0.0,0.0,24.171685450253513,30.791783751390888,2927.3501716127903
3,0.0,0.0,0.0,2.4780217370149806,1222.087725325829,0.008335976834968374,0.0,0.0,2.4780217370149806,0.0,0.08333333333333333,2.4849069118499756,,,,,,,,,,24.830376695642784,33.18814699497978,3608.2445201775295
4,0.0,0.0,0.0,2.4705586023051644,1426.029619646975,0.00843453711850918,0.0,0.0,2.4705586023051644,0.0,0.09027777777777778,2.4832370281219482,,,,,,,,,,25.331394701118928,34.96699756681406,4217.79035295759
5,0.0,0.0,0.0,2.4672539812767567,1513.0065020825489,0.00857966373836471,0.0,0.0,2.4672539812767567,0.0,0.09722222222222222,2.4798099994659424,0.015171965384367395,627.184823424782,0.001799805462088348,0.0,0.0,0.0,0.0,0.0,0.0,25.67324534956231,36.20766394478934,4477.138713895762
6,0.0,0.0,0.0,2.4607736974082592,1547.8533887223,0.008535021407891983,0.0,0.0,2.4607736974082592,0.0,0.09722222222222222,2.476083517074585,,,,,,,,,,25.771523569208824,35.98255967683513,4581.8060422493545
7,0.0,0.0,0.0,2.4541338852473666,1620.159715032003,0.008629700760461274,0.0,0.0,2.4541338852473666,0.0,0.10416666666666667,2.476414918899536,,,,,,,,,,25.71906291679343,35.65259830389499,4799.107493310295
8,0.0,0.0,0.0,2.450404014932104,1669.995717165187,0.008517744823514441,0.0,0.0,2.450404014932104,0.0,0.10416666666666667,2.4703402519226074,,,,,,,,,,25.60528503719993,35.09569363585848,4949.286164275545
9,0.0,0.0,0.0,2.4463321752269174,1726.2856676426688,0.00884090755263058,0.0,0.0,2.4463321752269174,0.0,0.09722222222222222,2.4680211544036865,,,,,,,,,,25.603721815624663,35.1536978493459,5118.099372377905
10,0.0,0.0,0.0,2.4393137223544095,1784.9501917932612,0.009007616794913392,0.0,0.0,2.4393137223544095,0.0,0.10416666666666667,2.467310667037964,0.03732799473957432,3173.0208816875124,0.002542432992093939,0.0,0.0,0.0,0.0,0.0,0.0,25.722479230975942,35.691443398979565,5293.436767473073
