variant,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
masked_accel_reencode,4,11,input__events__whole_count,input,events,whole_count,30,10.0,0.40886437908496737,771234687,"[{""C"": 0.001, ""val_ba"": 0.2660162141779789}, {""C"": 0.01, ""val_ba"": 0.3656077174459527}, {""C"": 0.1, ""val_ba"": 0.405008512729101}, {""C"": 1.0, ""val_ba"": 0.4044334750217104}, {""C"": 10.0, ""val_ba"": 0.40886437908496737}]",0.7347740667976425,0.7308172567329813,0.7264774349581412,0.41954022988505746,0.40886437908496737,0.40731361302272523,0.4117647058823529,0.4104624542124542,0.4033161727211425,0.3793103448275862,0.38789682539682535,0.3598137325323234,0.4457831325301205,0.439484126984127,0.42619002729296857
masked_accel_reencode,4,11,input__events__fixed250_count,input,events,fixed250_count,480,10.0,0.5907244103935281,769205973,"[{""C"": 0.001, ""val_ba"": 0.44017636774989716}, {""C"": 0.01, ""val_ba"": 0.5562598553407377}, {""C"": 0.1, ""val_ba"": 0.5715530588692354}, {""C"": 1.0, ""val_ba"": 0.582902983454454}, {""C"": 10.0, ""val_ba"": 0.5907244103935281}]",1.0,1.0,1.0,0.5919540229885057,0.5907244103935281,0.5817112126988843,0.5294117647058824,0.5270909645909646,0.5330981560700355,0.5057471264367817,0.5089285714285714,0.5143450911833264,0.5542168674698795,0.5471230158730159,0.5541942255371048
masked_accel_reencode,4,11,l1__syn_current__whole_mean,l1,syn_current,whole_mean,128,10.0,0.5160452088760911,3308498312,"[{""C"": 0.001, ""val_ba"": 0.30242112870789345}, {""C"": 0.01, ""val_ba"": 0.37630404725992955}, {""C"": 0.1, ""val_ba"": 0.46915349764614467}, {""C"": 1.0, ""val_ba"": 0.47989196261255085}, {""C"": 10.0, ""val_ba"": 0.5160452088760911}]",0.9017681728880157,0.902955443915647,0.9021967466761976,0.5229885057471264,0.5160452088760911,0.5152328445172648,0.5352941176470588,0.530078601953602,0.5334261629606991,0.4942528735632184,0.494047619047619,0.48505291005291,0.5783132530120482,0.5719246031746031,0.5713532382650031
masked_accel_reencode,4,11,l1__syn_current__fixed250_ordered_mean,l1,syn_current,fixed250_ordered_mean,2048,1.0,0.6871123565976506,3487340015,"[{""C"": 0.001, ""val_ba"": 0.5999752902326433}, {""C"": 0.01, ""val_ba"": 0.67303964417935}, {""C"": 0.1, ""val_ba"": 0.686458761826409}, {""C"": 1.0, ""val_ba"": 0.6871123565976506}, {""C"": 10.0, ""val_ba"": 0.6777175030851502}]",1.0,1.0,1.0,0.6896551724137931,0.6871123565976506,0.6791928330471975,0.611764705882353,0.6136485042735044,0.624833396465147,0.6206896551724138,0.6294642857142857,0.6590335590335591,0.6024096385542169,0.595734126984127,0.5957403707403708
masked_accel_reencode,4,11,l1__pre_reset__whole_mean,l1,pre_reset,whole_mean,128,10.0,0.5329211229946523,2848594624,"[{""C"": 0.001, ""val_ba"": 0.3192889014580191}, {""C"": 0.01, ""val_ba"": 0.4350990104666576}, {""C"": 0.1, ""val_ba"": 0.4887327745783628}, {""C"": 1.0, ""val_ba"": 0.5284889334521686}, {""C"": 10.0, ""val_ba"": 0.5329211229946523}]",0.9941060903732809,0.9938481280193235,0.994193213775224,0.5402298850574713,0.5329211229946523,0.5243332424200883,0.5470588235294118,0.541304181929182,0.5419619553999957,0.4942528735632184,0.494047619047619,0.49595339301221647,0.6024096385542169,0.5927579365079365,0.5791738082179259
masked_accel_reencode,4,11,l1__pre_reset__fixed250_ordered_mean,l1,pre_reset,fixed250_ordered_mean,2048,1.0,0.7085348679098679,156098238,"[{""C"": 0.001, ""val_ba"": 0.6480694958636135}, {""C"": 0.01, ""val_ba"": 0.6721849433246493}, {""C"": 0.1, ""val_ba"": 0.7068254662004662}, {""C"": 1.0, ""val_ba"": 0.7085348679098679}, {""C"": 10.0, ""val_ba"": 0.6816984894190776}]",1.0,1.0,1.0,0.7126436781609196,0.7085348679098679,0.7010954463280488,0.611764705882353,0.6100885225885225,0.6268633307367839,0.6206896551724138,0.6274801587301587,0.6554461741961741,0.6024096385542169,0.5882936507936508,0.5953000430941607
masked_accel_reencode,4,11,l1__spike__whole_mean,l1,spike,whole_mean,128,1.0,0.5331112310891722,2242968670,"[{""C"": 0.001, ""val_ba"": 0.29484979889391655}, {""C"": 0.01, ""val_ba"": 0.4136890682846565}, {""C"": 0.1, ""val_ba"": 0.5018753713606655}, {""C"": 1.0, ""val_ba"": 0.5331112310891722}, {""C"": 10.0, ""val_ba"": 0.5002712361168244}]",0.9508840864440079,0.9508816017717794,0.9528300909156183,0.5459770114942529,0.5331112310891722,0.5223091155671585,0.4588235294117647,0.4524152930402931,0.46246405742956925,0.41379310344827586,0.4131944444444444,0.41439703514006915,0.5060240963855421,0.4900793650793651,0.49255405828548243
masked_accel_reencode,4,11,l1__spike__fixed250_ordered_mean,l1,spike,fixed250_ordered_mean,2048,1.0,0.6357910267836738,3872549153,"[{""C"": 0.001, ""val_ba"": 0.43122714703597054}, {""C"": 0.01, ""val_ba"": 0.5912117498514557}, {""C"": 0.1, ""val_ba"": 0.6092827311577312}, {""C"": 1.0, ""val_ba"": 0.6357910267836738}, {""C"": 10.0, ""val_ba"": 0.6159430846930847}]",0.9941060903732809,0.9938866725768322,0.9941567455998696,0.6436781609195402,0.6357910267836738,0.6327648269972243,0.5235294117647059,0.5201579670329671,0.547381161275224,0.47126436781609193,0.47172619047619047,0.515033060621296,0.5783132530120482,0.5714285714285715,0.5834976298211592
masked_accel_reencode,4,11,l1__post_reset__whole_mean,l1,post_reset,whole_mean,128,0.1,0.5204494035376388,1846384611,"[{""C"": 0.001, ""val_ba"": 0.3444523001508295}, {""C"": 0.01, ""val_ba"": 0.4653029160382101}, {""C"": 0.1, ""val_ba"": 0.5204494035376388}, {""C"": 1.0, ""val_ba"": 0.5013348987613694}, {""C"": 10.0, ""val_ba"": 0.4786460475798711}]",0.8683693516699411,0.8682362825513952,0.8708385427607498,0.5287356321839081,0.5204494035376388,0.503878794868464,0.45294117647058824,0.45235424297924304,0.4515123676714756,0.40229885057471265,0.40625,0.3966319216319216,0.5060240963855421,0.507936507936508,0.5021214896214896
masked_accel_reencode,4,11,l1__post_reset__fixed250_ordered_mean,l1,post_reset,fixed250_ordered_mean,2048,0.01,0.7175390785684903,2995645850,"[{""C"": 0.001, ""val_ba"": 0.6561891539832717}, {""C"": 0.01, ""val_ba"": 0.7175390785684903}, {""C"": 0.1, ""val_ba"": 0.7059581962155491}, {""C"": 1.0, ""val_ba"": 0.7142915295488824}, {""C"": 10.0, ""val_ba"": 0.7067157719731249}]",0.9842829076620825,0.9831472427766034,0.9840600748350062,0.7241379310344828,0.7175390785684903,0.7153866195709924,0.611764705882353,0.6099015567765567,0.624342364952121,0.5747126436781609,0.5808531746031745,0.5968353541882953,0.6506024096385542,0.6398809523809524,0.6541540817856607
masked_accel_reencode,4,11,l1__spike__whole_count,l1,spike,whole_count,128,1.0,0.5318825986105398,1213491972,"[{""C"": 0.001, ""val_ba"": 0.31501068376068375}, {""C"": 0.01, ""val_ba"": 0.4079745417980712}, {""C"": 0.1, ""val_ba"": 0.5065762260615202}, {""C"": 1.0, ""val_ba"": 0.5318825986105398}, {""C"": 10.0, ""val_ba"": 0.5235492652772066}]",0.962671905697446,0.9627310172348142,0.9636600593709224,0.5459770114942529,0.5318825986105398,0.5260411099263479,0.4411764705882353,0.43449710012210024,0.4362678599162693,0.41379310344827586,0.41021825396825395,0.4060223402328665,0.46987951807228917,0.4538690476190476,0.4591604533100697
masked_accel_reencode,4,11,l1__spike__fixed250_count,l1,spike,fixed250_count,2048,1.0,0.6587262614836145,3008028738,"[{""C"": 0.001, ""val_ba"": 0.44854740847387903}, {""C"": 0.01, ""val_ba"": 0.6071839720736779}, {""C"": 0.1, ""val_ba"": 0.6334830202477261}, {""C"": 1.0, ""val_ba"": 0.6587262614836145}, {""C"": 10.0, ""val_ba"": 0.6223124914301384}]",0.9941060903732809,0.9939236111111112,0.9941569462846059,0.6666666666666666,0.6587262614836145,0.6555687354964818,0.5352941176470588,0.5309218559218559,0.5566712746597805,0.5057471264367817,0.5044642857142857,0.5450074292179555,0.5662650602409639,0.5610119047619048,0.572030502177561
masked_accel_reencode,4,11,l2__syn_current__whole_mean,l2,syn_current,whole_mean,128,0.1,0.5362362310891722,4003437975,"[{""C"": 0.001, ""val_ba"": 0.4733355900635312}, {""C"": 0.01, ""val_ba"": 0.5127068193244664}, {""C"": 0.1, ""val_ba"": 0.5362362310891722}, {""C"": 1.0, ""val_ba"": 0.5253639334521688}, {""C"": 10.0, ""val_ba"": 0.532495343708579}]",0.9096267190569745,0.9072362611487467,0.9114583688315968,0.5517241379310345,0.5362362310891722,0.5247157822863535,0.4588235294117647,0.4516712454212454,0.453819531377766,0.3563218390804598,0.35615079365079366,0.34556995578667404,0.5662650602409639,0.5520833333333334,0.5465932760050406
masked_accel_reencode,4,11,l2__syn_current__fixed250_ordered_mean,l2,syn_current,fixed250_ordered_mean,2048,0.01,0.6240486025412495,3474348457,"[{""C"": 0.001, ""val_ba"": 0.5756653069153069}, {""C"": 0.01, ""val_ba"": 0.6240486025412495}, {""C"": 0.1, ""val_ba"": 0.6107093274372686}, {""C"": 1.0, ""val_ba"": 0.5938792620777915}, {""C"": 10.0, ""val_ba"": 0.5794771813154166}]",0.9685658153241651,0.9677872672986477,0.9689723317840627,0.6379310344827587,0.6240486025412495,0.6220997592421063,0.5235294117647059,0.5183608058608059,0.5302642283348805,0.41379310344827586,0.4191468253968254,0.41734515484515483,0.6385542168674698,0.6250000000000001,0.631077883245066
masked_accel_reencode,4,11,l2__pre_reset__whole_mean,l2,pre_reset,whole_mean,128,10.0,0.5264998685954568,2089690331,"[{""C"": 0.001, ""val_ba"": 0.47034856483385895}, {""C"": 0.01, ""val_ba"": 0.49800093697152525}, {""C"": 0.1, ""val_ba"": 0.5076037524566935}, {""C"": 1.0, ""val_ba"": 0.5180989761872115}, {""C"": 10.0, ""val_ba"": 0.5264998685954568}]",0.9901768172888016,0.9901740324120886,0.9904653670947675,0.5459770114942529,0.5264998685954568,0.518091186084812,0.4647058823529412,0.46317918192918195,0.47312359206254556,0.40229885057471265,0.4047619047619047,0.41519874648677896,0.5301204819277109,0.5243055555555556,0.5241316303235808
masked_accel_reencode,4,11,l2__pre_reset__fixed250_ordered_mean,l2,pre_reset,fixed250_ordered_mean,2048,1.0,0.6092387392019744,3271446386,"[{""C"": 0.001, ""val_ba"": 0.558382752868047}, {""C"": 0.01, ""val_ba"": 0.5979252365281776}, {""C"": 0.1, ""val_ba"": 0.6073156622788976}, {""C"": 1.0, ""val_ba"": 0.6092387392019744}, {""C"": 10.0, ""val_ba"": 0.5693668871977696}]",0.9980353634577603,0.9982638888888888,0.9981864774295289,0.6149425287356322,0.6092387392019744,0.6118850543939323,0.5117647058823529,0.5034684065934066,0.5110965111953817,0.47126436781609193,0.47321428571428575,0.4792296667296667,0.5542168674698795,0.5337301587301587,0.5325440276098171
masked_accel_reencode,4,11,l2__spike__whole_mean,l2,spike,whole_mean,128,0.01,0.5213465252068192,4086702607,"[{""C"": 0.001, ""val_ba"": 0.4456335127291009}, {""C"": 0.01, ""val_ba"": 0.5213465252068192}, {""C"": 0.1, ""val_ba"": 0.5072942376251199}, {""C"": 1.0, ""val_ba"": 0.516934760500937}, {""C"": 10.0, ""val_ba"": 0.5069470154028978}]",0.9332023575638507,0.9312329915487253,0.9343501252492796,0.5402298850574713,0.5213465252068192,0.5096488932273245,0.43529411764705883,0.4271558302808303,0.42860239867056227,0.3333333333333333,0.33730158730158727,0.32590811965811967,0.5421686746987951,0.517361111111111,0.5037302974802974
masked_accel_reencode,4,11,l2__spike__fixed250_ordered_mean,l2,spike,fixed250_ordered_mean,2048,1.0,0.6293860551213492,280682072,"[{""C"": 0.001, ""val_ba"": 0.581448677956031}, {""C"": 0.01, ""val_ba"": 0.6229380913204442}, {""C"": 0.1, ""val_ba"": 0.6248988756341697}, {""C"": 1.0, ""val_ba"": 0.6293860551213492}, {""C"": 10.0, ""val_ba"": 0.6128655045934458}]",1.0,1.0,1.0,0.6436781609195402,0.6293860551213492,0.6191668981574433,0.5294117647058824,0.5228250915750916,0.5389378209487891,0.4482758620689655,0.45089285714285715,0.4777270402270402,0.6144578313253012,0.5992063492063492,0.5960875181463416
masked_accel_reencode,4,11,l2__post_reset__whole_mean,l2,post_reset,whole_mean,128,10.0,0.5273545694501577,436104426,"[{""C"": 0.001, ""val_ba"": 0.43129627725215963}, {""C"": 0.01, ""val_ba"": 0.4713700923259747}, {""C"": 0.1, ""val_ba"": 0.4876895367704191}, {""C"": 1.0, ""val_ba"": 0.5189536770419123}, {""C"": 10.0, ""val_ba"": 0.5273545694501577}]",0.9921414538310412,0.9928222441809398,0.9927489664331769,0.5459770114942529,0.5273545694501577,0.5183253844621968,0.4823529411764706,0.4786439255189255,0.47834546760478913,0.4367816091954023,0.4375,0.44040632570044336,0.5301204819277109,0.5238095238095238,0.5094971706426815
masked_accel_reencode,4,11,l2__post_reset__fixed250_ordered_mean,l2,post_reset,fixed250_ordered_mean,2048,0.01,0.6061545888751771,2484629333,"[{""C"": 0.001, ""val_ba"": 0.5759041203894146}, {""C"": 0.01, ""val_ba"": 0.6061545888751771}, {""C"": 0.1, ""val_ba"": 0.5968989956122309}, {""C"": 1.0, ""val_ba"": 0.6031631358837242}, {""C"": 10.0, ""val_ba"": 0.578969702682938}]",0.962671905697446,0.9605831829669039,0.9626894674377905,0.6149425287356322,0.6061545888751771,0.6053456525516984,0.5117647058823529,0.5063453907203906,0.5209156666110506,0.42528735632183906,0.43154761904761907,0.42944697910623303,0.6024096385542169,0.5868055555555556,0.5962418300653596
masked_accel_reencode,4,11,l2__spike__whole_count,l2,spike,whole_count,128,10.0,0.5579352632661455,1298190721,"[{""C"": 0.001, ""val_ba"": 0.4467568787421729}, {""C"": 0.01, ""val_ba"": 0.5435687474290415}, {""C"": 0.1, ""val_ba"": 0.5396676036381919}, {""C"": 1.0, ""val_ba"": 0.5448083778966132}, {""C"": 10.0, ""val_ba"": 0.5579352632661455}]",1.0,1.0,1.0,0.5689655172413793,0.5579352632661455,0.5483383711414856,0.47058823529411764,0.471165293040293,0.47346260811778057,0.41379310344827586,0.4186507936507937,0.42164060354849825,0.5301204819277109,0.5208333333333333,0.5216054527974033
