fold,seed,epoch,layer,shift,mean_spikes_per_neuron_s,dead_neuron_fraction,spike_occupancy
0,11,1,l1,all,0.2688809485138866,0.4375,0.0042012648205294
0,11,1,l1,2,0.0091859898546181,0.5813953280448914,0.0001435310914784
0,11,1,l1,3,0.0674445044589066,0.4418604671955108,0.0010538203821704
0,11,1,l1,4,0.7409916703403792,0.2857142984867096,0.0115779948490684
0,11,1,l2,all,2.283823290563586,0.1953125,0.035684738915056
0,11,1,l2,2,0.3749334280134919,0.3488371968269348,0.0058583348127108
0,11,1,l2,3,2.316078126239372,0.1395348906517028,0.0361887207224901
0,11,1,l2,4,4.205140103792044,0.095238097012043,0.0657053141217507
0,11,5,l1,all,0.3794055546532402,0.4375,0.0059282117914568
0,11,5,l1,2,0.0106364093053472,0.5116279125213623,0.000166193895396
0,11,5,l1,3,0.115550082908091,0.5116279125213623,0.0018054700454389
0,11,5,l1,4,1.02709266262945,0.2857142984867096,0.0160483228535851
0,11,5,l2,all,3.528341724866006,0.1640625,0.0551303394510313
0,11,5,l2,2,1.1107795626834271,0.2790697813034057,0.0173559306669285
0,11,5,l2,3,3.3876963637531112,0.1162790730595588,0.0529327556836423
0,11,5,l2,4,6.147458951097087,0.095238097012043,0.0960540461108919
0,11,10,l1,all,0.5575767419197661,0.390625,0.0087121365924963
0,11,10,l1,2,0.0125703019063195,0.4883720874786377,0.0001964109672862
0,11,10,l1,3,0.1346472723426918,0.4418604671955108,0.0021038636303545
0,11,10,l1,4,1.5485587445957756,0.2380952388048172,0.0241962303843089
0,11,10,l2,all,5.935926587623843,0.0546875,0.0927488529316225
0,11,10,l2,2,2.549353921231648,0.1395348906517028,0.0398336550192445
0,11,10,l2,3,6.127780442755646,0.0,0.0957465694180569
0,11,10,l2,4,9.206710132485671,0.0238095242530107,0.1438548458200886
0,11,20,l1,all,1.0156732174760434,0.2734375,0.0158698940230631
0,11,20,l1,2,0.0367439594184724,0.4186046421527862,0.0005741243659136
0,11,20,l1,3,0.2934682021975365,0.2325581461191177,0.0045854406593365
0,11,20,l1,4,2.757310687796314,0.1666666716337204,0.0430829794968174
0,11,20,l2,all,11.066672080558714,0.015625,0.1729167512587299
0,11,20,l2,2,6.162107036422903,0.0232558138668537,0.0962829224441078
0,11,20,l2,3,11.429547008321029,0.0,0.178586672005016
0,11,20,l2,4,15.716497675893486,0.0238095242530107,0.2455702761858357
0,11,40,l1,all,1.7756212441123924,0.1484375,0.0277440819392561
0,11,40,l1,2,0.1116822977061465,0.2325581461191177,0.0017450359016585
