seed,test_balanced_accuracy_mean,test_balanced_accuracy_std,val_balanced_accuracy_mean,val_balanced_accuracy_std,best_train_ba_mean,best_train_ba_std,l1_whole_count_test_ba_mean,l1_whole_count_test_ba_std,l1_fixed250_test_ba_mean,l1_fixed250_test_ba_std,l2_whole_count_test_ba_mean,l2_whole_count_test_ba_std,l2_fixed250_test_ba_mean,l2_fixed250_test_ba_std,native_to_l2_whole_test_gap_mean,native_to_l2_whole_test_gap_std,native_to_l2_fixed250_test_gap_mean,native_to_l2_fixed250_test_gap_std,collapse_rate
11,0.49511821232602965,0.13574694919183758,0.49645664377475524,0.09041365273707444,0.7865323868699565,0.1998847353551738,0.5171945928312027,0.08403799521643163,0.6312858175106627,0.04418299870166812,0.552122702289111,0.08106226024207482,0.6307182894218498,0.04980459060377647,0.05700448996308127,0.06173392434348822,0.13560007709582014,0.10103607661082877,0.4
23,0.48791285511873744,0.09155405154502023,0.5194688390528174,0.0806800365395135,0.7925551380328382,0.19209247343698618,0.4991779948494345,0.05448253788795031,0.5960948922365331,0.036631429794759356,0.5210386186024731,0.06511386168724609,0.591317401924987,0.044449042839927275,0.03312576348373565,0.03410376510207149,0.10340454680624962,0.07693176024441022,0.4
37,0.5075441783162371,0.10865122125495669,0.5386999495745626,0.02963123613463076,0.7999426033357936,0.17111308353401547,0.5341999520230944,0.06218003644692275,0.5968234957766692,0.05433664051478352,0.5645654767345943,0.06946960412402019,0.6298422124544416,0.05303029271564548,0.05702129841835722,0.05272370283369476,0.12229803413820443,0.059652593609347715,0.4
53,0.5086159942854989,0.09246956669003235,0.5217893782773814,0.04285553401618938,0.8074731250020994,0.15863874278944742,0.5147124560166356,0.06524105398558203,0.6079478854478855,0.04507313289254429,0.5565514554388393,0.06115677859926212,0.6500395566765536,0.055689102373296724,0.04793546115334045,0.043403223529711474,0.1414235623910547,0.05979387223756041,0.4
71,0.5117111126031404,0.1029405364643843,0.5282000638966583,0.06865154133422352,0.7963978346248156,0.1896794029930152,0.481127208561419,0.06938115289553673,0.6079810429365383,0.07870509718701607,0.5372444868226602,0.08243006497539178,0.6548684448220052,0.0411874571137206,0.02553337421951978,0.05134560646275895,0.14315733221886479,0.07943233790080831,0.4
