fold,seed,best_epoch,stopped_epoch,best_train_ba,epoch_to_70_train_ba,collapsed,train_accuracy,train_balanced_accuracy,train_macro_f1,train_objective_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_objective_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_objective_loss,l1_whole_count_train_ba,l1_whole_count_val_ba,l1_whole_count_test_ba,l1_fixed250_train_ba,l1_fixed250_val_ba,l1_fixed250_test_ba,l2_whole_count_train_ba,l2_whole_count_val_ba,l2_whole_count_test_ba,l2_fixed250_train_ba,l2_fixed250_val_ba,l2_fixed250_test_ba,native_to_l2_whole_test_gap,native_to_l2_fixed250_test_gap,l2_minus_l1_whole_test,l2_minus_l1_fixed250_test
0,11,99,100,0.9295114130921663,55.0,False,0.9254901960784314,0.9234086288538838,0.9270926290798805,0.5495337687286677,0.5919540229885057,0.573080065359477,0.5733400498003388,1.2530779824859795,0.6390532544378699,0.626738247132984,0.6210850087138964,1.160053071185682,0.9663204481419405,0.5736746301084537,0.5163689359316294,0.979338928104906,0.6520452518614284,0.6471307921095073,0.9295494110382597,0.6038063516004694,0.604211844227324,0.9260903225996814,0.6869471079029902,0.6495325043893155,-0.022526402905659992,0.02279425725633155,0.08784290829569463,0.0024017122798082324
0,23,95,100,0.9314382893578005,54.0,False,0.9098039215686274,0.9113155576756576,0.9115765591659537,0.5945069158778471,0.6379310344827587,0.6265421125715244,0.6258108350352047,1.3107862308107574,0.6035502958579881,0.5815638835278928,0.589911036164129,1.254385005087542,0.9491579816441709,0.5220259791950969,0.5522585569315445,0.9940383861075452,0.6417797888386122,0.5901705718172437,0.957197934499976,0.6049637590078766,0.5716305162415843,0.9942190545808968,0.6651285941727118,0.5652172571580466,-0.009933367286308448,-0.016346626369846184,0.019371959310039877,-0.024953314659197146
0,37,97,100,0.9308390991451453,57.0,False,0.9176470588235294,0.917215978274684,0.9189996151243189,0.5917808824894475,0.5574712643678161,0.5498487963561492,0.5412107753876995,1.3435145753553543,0.5798816568047337,0.5585454277404741,0.5593694622080178,1.26781652382845,0.8884160575302777,0.5220327874739641,0.5278344312206542,0.9757394562127512,0.6586704553616317,0.6220670744374305,0.9901942715794435,0.6015346309463956,0.599989082554872,0.9940383861075452,0.6665931222916518,0.6388022334133016,0.041443654814397934,0.08025680567282745,0.07215465133421783,0.01673515897587108
0,53,77,100,0.9279445546603194,56.0,False,0.8470588235294118,0.8483019547409616,0.8497742079109135,0.81384837697534,0.5862068965517241,0.5741662476956595,0.5789547998638933,1.3924656119839898,0.6094674556213018,0.5809254782455247,0.580051640185041,1.3097399092284885,0.9364618254844048,0.5121862954583543,0.5032871701312104,0.9774755673238622,0.6126057901793195,0.6200037052300985,0.9830586033024709,0.5797373650314827,0.5741819036226932,0.8860580864901207,0.6772134387943213,0.6298344736618732,-0.006743574622831483,0.04890899541634852,0.07089473349148279,0.009830768431774661
0,71,82,100,0.9208120618200853,53.0,False,0.8705882352941177,0.8703001452252618,0.8741648075663941,0.7420810028618458,0.6149425287356322,0.600807267351385,0.5985557656353693,1.3735515838381889,0.5857988165680473,0.5643715460665925,0.5614780483157632,1.2856089448082377,0.948158790152394,0.5035964920156097,0.515609642979999,0.97400334510164,0.6704621699106993,0.59940180218818,0.8846786162541904,0.584127208575738,0.6108034960395642,0.8939245839450677,0.6464645580454403,0.6455867973186086,0.04643194997297173,0.08121525125201612,0.09519385305956518,0.04618499513042862
1,11,98,100,0.9388096347952634,58.0,False,0.9333333333333333,0.9307249115942612,0.9332474822300005,0.5552290736460218,0.514792899408284,0.5021621148459384,0.4968329124579125,1.3841872462154141,0.5977011494252874,0.5909634687208217,0.5910205329634936,1.2160143797425018,0.9657720483647294,0.5478787348272642,0.6187507481625129,0.978656420116228,0.6457370448179273,0.6636837427278603,0.9259418092530192,0.5308735994397759,0.6238741650506358,1.0,0.6308473389355742,0.6852180295195001,0.032910696329814026,0.09425456079867833,0.0051234168881229,0.021534286791639712
1,23,89,100,0.9312436160809888,58.0,False,0.8960784313725491,0.8921200598490265,0.89501330221864,0.6631876197515749,0.5384615384615384,0.5360002334267041,0.5304349656247189,1.3931750792723436,0.5459770114942529,0.5327368233618234,0.5228369523318698,1.3304027250443382,0.8391098727208126,0.5264355742296919,0.5257632005793772,0.9085850488866901,0.6104866946778712,0.650871459694989,0.9095683659388528,0.5743755835667601,0.5793635830400536,0.9981884057971014,0.6705386321195145,0.6280885644856233,0.04662675967823027,0.09535174112379996,0.05360038246067644,-0.022782895209365717
1,37,84,100,0.9245070979925107,56.0,False,0.8803921568627451,0.8785813879586847,0.8828957823135464,0.7194583072381862,0.5621301775147929,0.5580473856209149,0.549231533922626,1.3763836079095242,0.6551724137931034,0.6581605077928607,0.6510906584627415,1.2777368282449657,0.9546382104064476,0.5197799953314659,0.6368792495630732,0.9730443400128688,0.651391806722689,0.6723049689961454,0.8786055984412755,0.5939600840336136,0.6663812426680072,0.9981884057971014,0.6808648459383754,0.7148494547391606,0.008220734875146518,0.05668894694629989,0.029501993104934066,0.04254448574301517
1,53,92,100,0.9196851055957325,54.0,False,0.9176470588235294,0.9156827463102588,0.9175212704876144,0.611045338827021,0.5029585798816568,0.5045372315592904,0.4982200771957365,1.397846967510923,0.6149425287356322,0.6076763718307836,0.6109644098187741,1.2204488488449448,0.9538432106356253,0.49828723155929033,0.5903018686106921,0.9763776733462022,0.6426120448179271,0.6561977782566019,0.8985295663815481,0.5239962651727358,0.6348161166175872,0.9763708112469486,0.6110323295985061,0.7241210586798822,0.027139744786803588,0.11644468684909859,0.044514248006895074,0.06792328042328033
1,71,99,100,0.9434624173994751,52.0,False,0.9372549019607843,0.9373980238856378,0.9354631036550848,0.5099468123679067,0.5443786982248521,0.5328256302521007,0.5299843189964158,1.3089459690116567,0.6494252873563219,0.6390236329574565,0.6412946919197369,1.1861347617774174,0.961738251089653,0.5254697712418301,0.5620571626086331,0.9784545467312151,0.6500029178338002,0.7312146119131414,1.0,0.5326272175536881,0.5871613068304244,0.9877087546343107,0.6425128384687208,0.6881628719864014,-0.05186232612703201,0.0491392390289449,0.025104144221791302,-0.04305173992674005
