fold,seed,collapsed,test_balanced_accuracy,l1_whole_count_test_ba,l1_fixed250_test_ba,l2_whole_count_test_ba,l2_fixed250_test_ba,native_to_l2_whole_test_gap,native_to_l2_fixed250_test_gap,l2_minus_l1_whole_test,l2_minus_l1_fixed250_test
0,11,False,0.626738247132984,0.5163689359316294,0.6471307921095073,0.604211844227324,0.6495325043893155,-0.022526402905659992,0.02279425725633155,0.08784290829569463,0.0024017122798082324
0,23,False,0.5815638835278928,0.5522585569315445,0.5901705718172437,0.5716305162415843,0.5652172571580466,-0.009933367286308448,-0.016346626369846184,0.019371959310039877,-0.024953314659197146
0,37,False,0.5585454277404741,0.5278344312206542,0.6220670744374305,0.599989082554872,0.6388022334133016,0.041443654814397934,0.08025680567282745,0.07215465133421783,0.01673515897587108
0,53,False,0.5809254782455247,0.5032871701312104,0.6200037052300985,0.5741819036226932,0.6298344736618732,-0.006743574622831483,0.04890899541634852,0.07089473349148279,0.009830768431774661
0,71,False,0.5643715460665925,0.515609642979999,0.59940180218818,0.6108034960395642,0.6455867973186086,0.04643194997297173,0.08121525125201612,0.09519385305956518,0.04618499513042862
1,11,False,0.5909634687208217,0.6187507481625129,0.6636837427278603,0.6238741650506358,0.6852180295195001,0.032910696329814026,0.09425456079867833,0.0051234168881229,0.021534286791639712
1,23,False,0.5327368233618234,0.5257632005793772,0.650871459694989,0.5793635830400536,0.6280885644856233,0.04662675967823027,0.09535174112379996,0.05360038246067644,-0.022782895209365717
1,37,False,0.6581605077928607,0.6368792495630732,0.6723049689961454,0.6663812426680072,0.7148494547391606,0.008220734875146518,0.05668894694629989,0.029501993104934066,0.04254448574301517
1,53,False,0.6076763718307836,0.5903018686106921,0.6561977782566019,0.6348161166175872,0.7241210586798822,0.027139744786803588,0.11644468684909859,0.044514248006895074,0.06792328042328033
1,71,False,0.6390236329574565,0.5620571626086331,0.7312146119131414,0.5871613068304244,0.6881628719864014,-0.05186232612703201,0.0491392390289449,0.025104144221791302,-0.04305173992674005
2,11,True,0.3138713818860878,0.39307889822595704,0.5631915266106443,0.45971930438842207,0.5499387254901962,0.14584792250233425,0.23606734360410836,0.06664040616246503,-0.013252801120448132
2,23,True,0.37556897759103647,0.4140201914098973,0.5772875816993465,0.43201739028944913,0.5341736694677871,0.056448412698412664,0.15860469187675064,0.017997198879551812,-0.04311391223155936
2,37,True,0.3852503501400561,0.4795197245564892,0.5618026377217554,0.5290820494864613,0.5734768907563025,0.14383169934640522,0.18822654061624638,0.04956232492997209,0.011674253034547055
2,53,True,0.3871265172735761,0.42322887488328664,0.53687558356676,0.4647554855275444,0.5809582166199813,0.07762896825396831,0.19383169934640515,0.04152661064425778,0.04408263305322124
2,71,True,0.3887634220354808,0.37397584033613446,0.5603904061624649,0.4042221055088702,0.5881506769374417,0.015458683473389412,0.1993872549019609,0.030246265172735765,0.02776027077497678
3,11,False,0.5534961082948698,0.5624808273511834,0.67014237375112,0.6049251616976076,0.6297294935743079,0.051429053402737734,0.07623338527943802,0.04244433434642414,-0.040412880176812105
3,23,False,0.5447983843784926,0.5251848788323247,0.6087022325799416,0.5490066370677826,0.6421605602429906,0.004208252689290037,0.09736217586449802,0.023821758235457957,0.033458327663049015
3,37,False,0.5116546472390125,0.5360245802099518,0.5962994818935222,0.5386535996539866,0.6164418005168779,0.026998952414974076,0.10478715327786536,0.002629019444034819,0.020142318623355693
3,53,False,0.5234070478168775,0.5632925364252763,0.6298193951444725,0.5611919835410548,0.6861109811670957,0.03778493572417729,0.16270393335021816,-0.002100552884221507,0.056291586022623186
3,71,False,0.5409191105592034,0.47638685309931433,0.6244702694393097,0.5697280807284677,0.6868942718787919,0.028808970169264314,0.14597516131958854,0.09334122762915337,0.06242400243948221
4,11,True,0.39052185559538505,0.49529355448473095,0.6122806523541817,0.4678830360815654,0.6391726941359295,0.07736118048618035,0.24865083854054443,-0.02741051840316555,0.026892041781747755
4,23,True,0.404896206734442,0.47866314649402875,0.5534426153911448,0.4731749663734957,0.5869469582704877,0.06827875963905372,0.18205075153604572,-0.005488180120533037,0.0335043428793429
4,37,True,0.42410995866878215,0.49074177456530393,0.5316433158344923,0.48872140930964453,0.6056406828465652,0.06461145064086238,0.1815307241777831,-0.0020203652556594065,0.07399736701207293
4,53,True,0.4439445562607327,0.49345183003271237,0.5968429650414944,0.5478117878853173,0.6291730532539357,0.10386723162458456,0.18522849699320298,0.05435995785260489,0.03233008821244132
4,71,True,0.42547785139696903,0.4776065437830143,0.5244281249795956,0.5143074450059745,0.6655476059887825,0.08882959360900544,0.24006975459181346,0.03670090122296016,0.14111948100918692
