temporal_representation,decoder,snn_seed,raw_linear_test_ba,snn_linear_test_ba,snn_minus_raw_linear_test_ba,raw_nonlinear_gain,snn_nonlinear_gain,snn_gain_minus_raw_gain,raw_residual_test_ba,snn_residual_test_ba,snn_minus_raw_residual_test_ba
fixed250,local,11,0.548475135975136,0.642110667110667,0.09363553113553102,0.0,0.023326673326673375,0.023326673326673375,0.548475135975136,0.6654373404373404,0.1169622044622044
fixed250,local,23,0.548475135975136,0.5990842490842491,0.05060911310911309,0.0,0.023809523809523725,0.023809523809523725,0.548475135975136,0.6228937728937728,0.07441863691863682
fixed250,local,101,0.548475135975136,0.6366404428904429,0.08816530691530688,0.0,-0.0028998778998780006,-0.0028998778998780006,0.548475135975136,0.6337405649905649,0.08526542901542888
fixed250,transition,11,0.548475135975136,0.642110667110667,0.09363553113553102,0.012993950493950468,0.017857142857142905,0.004863192363192437,0.5614690864690864,0.6599678099678099,0.09849872349872346
fixed250,transition,23,0.548475135975136,0.5990842490842491,0.05060911310911309,0.012993950493950468,0.017857142857142794,0.004863192363192326,0.5614690864690864,0.6169413919413919,0.055472305472305417
fixed250,transition,101,0.548475135975136,0.6366404428904429,0.08816530691530688,0.012993950493950468,-0.012139249639249616,-0.025133200133200084,0.5614690864690864,0.6245011932511932,0.0630321067821068
fixed250,local_transition,11,0.548475135975136,0.642110667110667,0.09363553113553102,0.025432900432900474,0.030753968253968367,0.005321067821067893,0.5739080364080364,0.6728646353646354,0.09895659895659892
fixed250,local_transition,23,0.548475135975136,0.5990842490842491,0.05060911310911309,0.025432900432900474,0.004960317460317443,-0.02047258297258303,0.5739080364080364,0.6040445665445665,0.03013653013653006
fixed250,local_transition,101,0.548475135975136,0.6366404428904429,0.08816530691530688,0.025432900432900474,-0.04036380286380281,-0.06579670329670328,0.5739080364080364,0.59627664002664,0.0223686036186036
relative10,local,11,0.739481351981352,0.7153339715839716,-0.024147380397380402,0.02926379176379168,-0.019938394938395,-0.04920218670218668,0.7687451437451437,0.6953955766455766,-0.07334956709956708
relative10,local,23,0.739481351981352,0.6447621822621822,-0.09471916971916983,0.02926379176379168,0.009523809523809601,-0.01973998223998208,0.7687451437451437,0.6542859917859918,-0.1144591519591519
relative10,local,101,0.739481351981352,0.6859036796536796,-0.05357767232767241,0.02926379176379168,-0.05593711843711846,-0.08520091020091014,0.7687451437451437,0.6299665612165611,-0.13877858252858255
relative10,transition,11,0.739481351981352,0.7153339715839716,-0.024147380397380402,0.004870129870129802,-0.028273809523809534,-0.03314393939393934,0.7443514818514818,0.6870601620601621,-0.05729131979131974
relative10,transition,23,0.739481351981352,0.6447621822621822,-0.09471916971916983,0.004870129870129802,0.015476190476190532,0.01060606060606073,0.7443514818514818,0.6602383727383727,-0.0841131091131091
relative10,transition,101,0.739481351981352,0.6859036796536796,-0.05357767232767241,0.004870129870129802,0.004870129870129913,1.1102230246251565e-16,0.7443514818514818,0.6907738095238095,-0.0535776723276723
relative10,local_transition,11,0.739481351981352,0.7153339715839716,-0.024147380397380402,0.01636696636696633,-0.033060689310689284,-0.04942765567765561,0.7558483183483183,0.6822732822732823,-0.07357503607503602
relative10,local_transition,23,0.739481351981352,0.6447621822621822,-0.09471916971916983,0.01636696636696633,0.017857142857142905,0.0014901764901765757,0.7558483183483183,0.6626193251193251,-0.09322899322899325
relative10,local_transition,101,0.739481351981352,0.6859036796536796,-0.05357767232767241,0.01636696636696633,-0.01173132423132417,-0.0280982905982905,0.7558483183483183,0.6741723554223554,-0.08167596292596291
