source,temporal_representation,decoder,n_runs,mean_linear_test_ba,sd_linear_test_ba,mean_residual_test_ba,sd_residual_test_ba,mean_delta_vs_linear,sd_delta_vs_linear,median_delta_vs_linear,improved_runs,n_trainable_params
raw,fixed250,local,1,0.548475135975136,0.0,0.548475135975136,0.0,0.0,0.0,0.0,0,3552
raw,fixed250,local_transition,1,0.548475135975136,0.0,0.5739080364080364,0.0,0.025432900432900474,0.0,0.025432900432900474,1,7392
raw,fixed250,transition,1,0.548475135975136,0.0,0.5614690864690864,0.0,0.012993950493950468,0.0,0.012993950493950468,1,3840
raw,relative10,local,1,0.739481351981352,0.0,0.7687451437451437,0.0,0.02926379176379168,0.0,0.02926379176379168,1,2400
raw,relative10,local_transition,1,0.739481351981352,0.0,0.7558483183483183,0.0,0.01636696636696633,0.0,0.01636696636696633,1,5088
raw,relative10,transition,1,0.739481351981352,0.0,0.7443514818514818,0.0,0.004870129870129802,0.0,0.004870129870129802,1,2688
snn_l2,fixed250,local,3,0.6259451196951197,0.023422438296115324,0.6406905594405594,0.02210691299061766,0.0147454397454397,0.015283200327494154,0.023326673326673375,2,5120
snn_l2,fixed250,local_transition,3,0.6259451196951197,0.023422438296115324,0.6243952806452806,0.04215499888245701,-0.0015498390498390007,0.0360030685571379,0.004960317460317443,2,12096
snn_l2,fixed250,transition,3,0.6259451196951197,0.023422438296115324,0.633803465053465,0.02297209954615649,0.007858345358345361,0.01731842528250986,0.017857142857142794,2,6976
snn_l2,relative10,local,3,0.6819999444999444,0.03544747837481023,0.6598827098827099,0.03307161101448166,-0.02211723461723462,0.03278481018911071,-0.019938394938395,1,3968
snn_l2,relative10,local_transition,3,0.6819999444999444,0.03544747837481023,0.6730216542716544,0.009877377830480386,-0.008978290228290184,0.025570311013639973,-0.01173132423132417,1,9792
snn_l2,relative10,transition,3,0.6819999444999444,0.03544747837481023,0.679357448107448,0.016661394797475765,-0.002642496392496363,0.022822035185789808,0.004870129870129913,2,5824
