source,temporal_representation,snn_seed,metric,exp33_value,exp31_value,difference,abs_difference
raw,fixed250,,linear_C,0.1,0.1,0.0,0.0
raw,fixed250,,linear_val_ba,0.5872895622895623,0.5872895622895623,0.0,0.0
raw,fixed250,,linear_test_ba,0.548475135975136,0.548475135975136,0.0,0.0
raw,fixed250,,linear_test_macro_f1,0.5372171762394753,0.5372171762394753,0.0,0.0
raw,fixed250,,linear_test_accuracy,0.5547945205479452,0.5547945205479452,0.0,0.0
raw,relative10,,linear_C,0.01,0.01,0.0,0.0
raw,relative10,,linear_val_ba,0.6227392977392977,0.6227392977392977,0.0,0.0
raw,relative10,,linear_test_ba,0.739481351981352,0.739481351981352,0.0,0.0
raw,relative10,,linear_test_macro_f1,0.745278773202482,0.745278773202482,0.0,0.0
raw,relative10,,linear_test_accuracy,0.7602739726027398,0.7602739726027398,0.0,0.0
snn_l2,fixed250,11.0,linear_C,0.01,0.01,0.0,0.0
snn_l2,fixed250,11.0,linear_val_ba,0.5880411255411254,0.5880411255411254,0.0,0.0
snn_l2,fixed250,11.0,linear_test_ba,0.642110667110667,0.642110667110667,0.0,0.0
snn_l2,fixed250,11.0,linear_test_macro_f1,0.6354867189266167,0.6354867189266167,0.0,0.0
snn_l2,fixed250,11.0,linear_test_accuracy,0.6575342465753424,0.6575342465753424,0.0,0.0
snn_l2,fixed250,23.0,linear_C,1.0,1.0,0.0,0.0
snn_l2,fixed250,23.0,linear_val_ba,0.5996572871572871,0.5996572871572871,0.0,0.0
snn_l2,fixed250,23.0,linear_test_ba,0.5990842490842491,0.5990842490842491,0.0,0.0
snn_l2,fixed250,23.0,linear_test_macro_f1,0.5986990634587889,0.5986990634587889,0.0,0.0
snn_l2,fixed250,23.0,linear_test_accuracy,0.6164383561643836,0.6164383561643836,0.0,0.0
snn_l2,fixed250,101.0,linear_C,0.1,0.1,0.0,0.0
snn_l2,fixed250,101.0,linear_val_ba,0.5265933140933141,0.5265933140933141,0.0,0.0
snn_l2,fixed250,101.0,linear_test_ba,0.6366404428904429,0.6366404428904429,0.0,0.0
snn_l2,fixed250,101.0,linear_test_macro_f1,0.6417187323113785,0.6417187323113785,0.0,0.0
snn_l2,fixed250,101.0,linear_test_accuracy,0.6506849315068494,0.6506849315068494,0.0,0.0
snn_l2,relative10,11.0,linear_C,0.01,0.01,0.0,0.0
snn_l2,relative10,11.0,linear_val_ba,0.6473063973063974,0.6473063973063974,0.0,0.0
snn_l2,relative10,11.0,linear_test_ba,0.7153339715839716,0.7153339715839716,0.0,0.0
snn_l2,relative10,11.0,linear_test_macro_f1,0.7174285682496636,0.7174285682496636,0.0,0.0
snn_l2,relative10,11.0,linear_test_accuracy,0.7397260273972602,0.7397260273972602,0.0,0.0
snn_l2,relative10,23.0,linear_C,1.0,1.0,0.0,0.0
snn_l2,relative10,23.0,linear_val_ba,0.6194023569023569,0.6194023569023569,0.0,0.0
snn_l2,relative10,23.0,linear_test_ba,0.6447621822621822,0.6447621822621822,0.0,0.0
snn_l2,relative10,23.0,linear_test_macro_f1,0.6585637373574261,0.6585637373574261,0.0,0.0
snn_l2,relative10,23.0,linear_test_accuracy,0.6575342465753424,0.6575342465753424,0.0,0.0
snn_l2,relative10,101.0,linear_C,0.01,0.01,0.0,0.0
snn_l2,relative10,101.0,linear_val_ba,0.6374218374218373,0.6374218374218373,0.0,0.0
snn_l2,relative10,101.0,linear_test_ba,0.6859036796536796,0.6859036796536796,0.0,0.0
snn_l2,relative10,101.0,linear_test_macro_f1,0.694293498241853,0.694293498241853,0.0,0.0
snn_l2,relative10,101.0,linear_test_accuracy,0.7054794520547946,0.7054794520547946,0.0,0.0
