temporal_representation,decoder,n_snn_seeds,mean_snn_minus_raw_linear_test_ba,sd_snn_minus_raw_linear_test_ba,raw_nonlinear_gain,mean_snn_nonlinear_gain,sd_snn_nonlinear_gain,mean_snn_gain_minus_raw_gain,sd_snn_gain_minus_raw_gain,snn_lower_gain_seeds,snn_linear_better_seeds
fixed250,local,3,0.07746998371998366,0.023422438296115324,0.0,0.0147454397454397,0.015283200327494154,0.0147454397454397,0.015283200327494154,1,3
fixed250,local_transition,3,0.07746998371998366,0.023422438296115324,0.025432900432900474,-0.0015498390498390007,0.0360030685571379,-0.026982739482739476,0.0360030685571379,2,3
fixed250,transition,3,0.07746998371998366,0.023422438296115324,0.012993950493950468,0.007858345358345361,0.01731842528250986,-0.0051356051356051076,0.01731842528250986,1,3
relative10,local,3,-0.057481407481407544,0.03544747837481022,0.02926379176379168,-0.02211723461723462,0.03278481018911071,-0.0513810263810263,0.03278481018911071,3,0
relative10,local_transition,3,-0.057481407481407544,0.03544747837481022,0.01636696636696633,-0.008978290228290184,0.025570311013639973,-0.02534525659525651,0.02557031101363997,2,0
relative10,transition,3,-0.057481407481407544,0.03544747837481022,0.004870129870129802,-0.002642496392496363,0.022822035185789808,-0.007512626262626165,0.022822035185789808,1,0
