source,temporal_representation,decoder,snn_seed,source_objective,split_seed,input_channels,n_time_bins,linear_feature_dim,linear_C,best_epoch,n_trainable_params,identity_error_epoch0,linear_train_ba,linear_val_ba,linear_test_ba,linear_test_accuracy,linear_test_macro_f1,residual_train_ba,residual_val_ba,residual_test_ba,residual_test_accuracy,residual_test_macro_f1,test_delta_vs_linear,val_delta_vs_linear
raw,fixed250,local,,timestep_ce,12345,30,16,480,0.1,4,3552,0.0,0.9983660130718954,0.5872895622895623,0.548475135975136,0.5547945205479452,0.5372171762394753,0.9983660130718954,0.5991943241943242,0.548475135975136,0.5547945205479452,0.537078772976072,0.0,0.011904761904761862
snn_l2,fixed250,local,11.0,timestep_ce,12345,128,16,2048,0.01,21,5120,0.0,0.9664987152448292,0.5880411255411254,0.642110667110667,0.6575342465753424,0.6354867189266167,0.9789381904457746,0.6456108706108706,0.6654373404373404,0.678082191780822,0.660092854976663,0.023326673326673375,0.057569745069745215
snn_l2,fixed250,local,23.0,timestep_ce,12345,128,16,2048,1.0,60,5120,0.0,0.996545584045584,0.5996572871572871,0.5990842490842491,0.6164383561643836,0.5986990634587889,0.996545584045584,0.6507455507455507,0.6228937728937728,0.6438356164383562,0.6262272942435986,0.023809523809523725,0.05108826358826368
snn_l2,fixed250,local,101.0,timestep_ce,12345,128,16,2048,0.1,47,5120,0.0,0.9932776101893749,0.5265933140933141,0.6366404428904429,0.6506849315068494,0.6417187323113785,0.9932776101893749,0.5828162578162578,0.6337405649905649,0.6506849315068494,0.6359034659516316,-0.0028998778998780006,0.056222943722943675
raw,fixed250,transition,,timestep_ce,12345,30,16,480,0.1,15,3840,0.0,0.9983660130718954,0.5872895622895623,0.548475135975136,0.5547945205479452,0.5372171762394753,1.0,0.6144721019721021,0.5614690864690864,0.5684931506849316,0.5459400523256864,0.012993950493950468,0.027182539682539808
snn_l2,fixed250,transition,11.0,timestep_ce,12345,128,16,2048,0.01,2,6976,0.0,0.9664987152448292,0.5880411255411254,0.642110667110667,0.6575342465753424,0.6354867189266167,0.9664987152448292,0.6158189033189033,0.6599678099678099,0.678082191780822,0.6572259439417037,0.017857142857142905,0.0277777777777779
snn_l2,fixed250,transition,23.0,timestep_ce,12345,128,16,2048,1.0,5,6976,0.0,0.996545584045584,0.5996572871572871,0.5990842490842491,0.6164383561643836,0.5986990634587889,0.996545584045584,0.624525012025012,0.6169413919413919,0.636986301369863,0.6154435301864296,0.017857142857142794,0.024867724867724927
snn_l2,fixed250,transition,101.0,timestep_ce,12345,128,16,2048,0.1,11,6976,0.0,0.9932776101893749,0.5265933140933141,0.6366404428904429,0.6506849315068494,0.6417187323113785,0.9932776101893749,0.5687229437229437,0.6245011932511932,0.636986301369863,0.6250449918647071,-0.012139249639249616,0.04212962962962963
raw,fixed250,local_transition,,timestep_ce,12345,30,16,480,0.1,12,7392,0.0,0.9983660130718954,0.5872895622895623,0.548475135975136,0.5547945205479452,0.5372171762394753,1.0,0.6231000481000482,0.5739080364080364,0.5821917808219178,0.5608636032010645,0.025432900432900474,0.03581048581048585
snn_l2,fixed250,local_transition,11.0,timestep_ce,12345,128,16,2048,0.01,3,12096,0.0,0.9664987152448292,0.5880411255411254,0.642110667110667,0.6575342465753424,0.6354867189266167,0.9647311813081775,0.6250781625781626,0.6728646353646354,0.6917808219178082,0.6660586141075183,0.030753968253968367,0.0370370370370372
snn_l2,fixed250,local_transition,23.0,timestep_ce,12345,128,16,2048,1.0,15,12096,0.0,0.996545584045584,0.5996572871572871,0.5990842490842491,0.6164383561643836,0.5986990634587889,0.996545584045584,0.6524651274651274,0.6040445665445665,0.6232876712328768,0.6007669938935363,0.004960317460317443,0.05280784030784036
snn_l2,fixed250,local_transition,101.0,timestep_ce,12345,128,16,2048,0.1,24,12096,0.0,0.9932776101893749,0.5265933140933141,0.6366404428904429,0.6506849315068494,0.6417187323113785,0.9932776101893749,0.5846320346320346,0.59627664002664,0.6095890410958904,0.607324452497578,-0.04036380286380281,0.0580387205387205
raw,relative10,local,,timestep_ce,12345,30,10,300,0.01,24,2400,0.0,0.9679618100489326,0.6227392977392977,0.739481351981352,0.7602739726027398,0.745278773202482,0.9885856586224233,0.645592833092833,0.7687451437451437,0.7876712328767124,0.769181639188823,0.02926379176379168,0.022853535353535293
snn_l2,relative10,local,11.0,timestep_ce,12345,128,10,1280,0.01,8,3968,0.0,0.9778548881633865,0.6473063973063974,0.7153339715839716,0.7397260273972602,0.7174285682496636,0.9794272152074116,0.6618265993265994,0.6953955766455766,0.7191780821917808,0.6887325162432197,-0.019938394938395,0.014520202020201989
snn_l2,relative10,local,23.0,timestep_ce,12345,128,10,1280,1.0,8,3968,0.0,0.9983974358974358,0.6194023569023569,0.6447621822621822,0.6575342465753424,0.6585637373574261,0.9983974358974358,0.6471801346801347,0.6542859917859918,0.6712328767123288,0.6629167003530331,0.009523809523809601,0.02777777777777779
snn_l2,relative10,local,101.0,timestep_ce,12345,128,10,1280,0.01,33,3968,0.0,0.9762209012352819,0.6374218374218373,0.6859036796536796,0.7054794520547946,0.694293498241853,0.9857769975005901,0.6668229918229919,0.6299665612165611,0.6438356164383562,0.6414510652745947,-0.05593711843711846,0.02940115440115454
raw,relative10,transition,,timestep_ce,12345,30,10,300,0.01,11,2688,0.0,0.9679618100489326,0.6227392977392977,0.739481351981352,0.7602739726027398,0.745278773202482,0.9813961161387632,0.6578282828282828,0.7443514818514818,0.7602739726027398,0.7515466940310477,0.004870129870129802,0.03508898508898506
snn_l2,relative10,transition,11.0,timestep_ce,12345,128,10,1280,0.01,6,5824,0.0,0.9778548881633865,0.6473063973063974,0.7153339715839716,0.7397260273972602,0.7174285682496636,0.9762209012352819,0.6613636363636365,0.6870601620601621,0.7123287671232876,0.6837396177756755,-0.028273809523809534,0.014057239057239101
snn_l2,relative10,transition,23.0,timestep_ce,12345,128,10,1280,1.0,5,5824,0.0,0.9983974358974358,0.6194023569023569,0.6447621822621822,0.6575342465753424,0.6585637373574261,0.9983974358974358,0.6402356902356902,0.6602383727383727,0.678082191780822,0.6685779818915076,0.015476190476190532,0.02083333333333326
snn_l2,relative10,transition,101.0,timestep_ce,12345,128,10,1280,0.01,7,5824,0.0,0.9762209012352819,0.6374218374218373,0.6859036796536796,0.7054794520547946,0.694293498241853,0.977793228279307,0.6509139009139009,0.6907738095238095,0.7054794520547946,0.6837067572587007,0.004870129870129913,0.013492063492063555
raw,relative10,local_transition,,timestep_ce,12345,30,10,300,0.01,26,5088,0.0,0.9679618100489326,0.6227392977392977,0.739481351981352,0.7602739726027398,0.745278773202482,0.9983974358974358,0.6856060606060606,0.7558483183483183,0.773972602739726,0.7535473029451224,0.01636696636696633,0.06286676286676285
snn_l2,relative10,local_transition,11.0,timestep_ce,12345,128,10,1280,0.01,7,9792,0.0,0.9778548881633865,0.6473063973063974,0.7153339715839716,0.7397260273972602,0.7174285682496636,0.9794272152074116,0.6716810966810968,0.6822732822732823,0.7054794520547946,0.6833261524537596,-0.033060689310689284,0.024374699374699382
snn_l2,relative10,local_transition,23.0,timestep_ce,12345,128,10,1280,1.0,5,9792,0.0,0.9983974358974358,0.6194023569023569,0.6447621822621822,0.6575342465753424,0.6585637373574261,0.9983974358974358,0.6402356902356902,0.6626193251193251,0.678082191780822,0.6703716560561358,0.017857142857142905,0.02083333333333326
snn_l2,relative10,local_transition,101.0,timestep_ce,12345,128,10,1280,0.01,11,9792,0.0,0.9762209012352819,0.6374218374218373,0.6859036796536796,0.7054794520547946,0.694293498241853,0.9810297793099757,0.6794492544492545,0.6741723554223554,0.6917808219178082,0.6804097198837732,-0.01173132423132417,0.04202741702741719
