method,train_ba_mean,train_ba_std,train_ba_count,val_ba_mean,val_ba_std,val_ba_count,test_ba_mean,test_ba_std,test_ba_count,selected_gain_mean,selected_gain_std,selected_gain_count,weight_l2_mean,weight_l2_std,weight_l2_count,bias_l2_mean,bias_l2_std,bias_l2_count
A0_linear_no_bias_W0,0.9710014392590528,0.04302732285479133,3,0.5596661054994388,0.013622387383073531,3,0.5409814722314722,0.03690715353221837,3,,,0,0.5081396551843324,0.37339463123509437,3,0.0,0.0,3
A1_linear_affine_W1_b1,0.9146859278635003,0.01636265435201509,3,0.5617945326278659,0.005220577411459129,3,0.5862734487734488,0.00974412952227766,3,,,0,0.07918018228477146,0.00028557130750832776,3,4.848923811832662,0.14225190057943599,3
A2_linear_hybrid_W0_b1,0.8844622084878951,0.17997676441219546,3,0.4348504890171557,0.12625524731830085,3,0.4794596607096607,0.09315745889815832,3,,,0,0.5081396551843324,0.37339463123509437,3,4.848923811832662,0.14225190057943599,3
A3_linear_affine_W1_bias_off,0.7051802419676427,0.030023428957717202,3,0.4192360109026776,0.007640684818311668,3,0.4159477096977096,0.032328619284552045,3,,,0,0.07918018228477146,0.00028557130750832776,3,0.0,0.0,3
B0_affineW_lif_selected_gain,0.6657485782922822,0.020424757183368364,3,0.41379068462401797,0.020540303102161633,3,0.42003297628297626,0.021735491841378785,3,13.333333333333334,4.618802153517007,3,1.0566044410940252,0.36872746474268253,3,0.0,0.0,3
B1_affineW_lif_continuous_count_bias,0.8302162445738479,0.02472471388202111,3,0.49808401475068137,0.03677361844187914,3,0.5069520757020757,0.01055427746986702,3,13.333333333333334,4.618802153517007,3,1.0566044410940252,0.36872746474268253,3,28.490830239526915,1.5533020077410526,3
B2_affineW_lif_integer_count_bias,0.827151988548545,0.021501136266612042,3,0.49411576078242736,0.043078151029287165,3,0.5071047008547008,0.015072698623233741,3,13.333333333333334,4.618802153517007,3,1.0566044410940252,0.36872746474268253,3,0.0,0.0,3
C0_noBiasW_lif_selected_gain,0.9000595073557164,0.03741065755969235,3,0.5214165464165464,0.009896287189045148,3,0.5156297406297405,0.007576704128433785,3,6.666666666666667,8.082903768654761,3,1.3991350043848163,0.13646514814548283,3,0.0,0.0,3
C1_noBiasW_lif_continuous_count_bias,0.9067206762781397,0.0416688868273994,3,0.5596560846560846,0.001385970668695186,3,0.5202353202353202,0.027799813753908453,3,6.666666666666667,8.082903768654761,3,1.3991350043848163,0.13646514814548283,3,4.206274530862551,3.834197522052196,3
C2_noBiasW_lif_integer_count_bias,0.9069770797132022,0.03866751176898426,3,0.5414902998236332,0.009869785165656281,3,0.5209748584748585,0.02171541321268726,3,6.666666666666667,8.082903768654761,3,1.3991350043848163,0.13646514814548283,3,0.0,0.0,3
