weight_source,gain,split,accuracy_mean,accuracy_std,accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,macro_f1_mean,macro_f1_std,macro_f1_count,zero_output_fraction_mean,zero_output_fraction_std,zero_output_fraction_count,mean_total_output_spikes_mean,mean_total_output_spikes_std,mean_total_output_spikes_count,mean_active_output_classes_mean,mean_active_output_classes_std,mean_active_output_classes_count,mean_per_class_count_variance_mean,mean_per_class_count_variance_std,mean_per_class_count_variance_count,mean_peak_class_spikes_per_timestep_mean,mean_peak_class_spikes_per_timestep_std,mean_peak_class_spikes_per_timestep_count
affine_w,0.125,test,0.0753424657534246,0.0,3,0.0833333333333333,0.0,3,0.011677282377919299,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,0.125,train,0.0826161790017211,0.0,3,0.0833333333333333,0.0,3,0.012718600953895,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,0.125,val,0.0555555555555555,0.0,3,0.0833333333333333,0.0,3,0.0087719298245614,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,0.25,test,0.0753424657534246,0.0,3,0.0833333333333333,0.0,3,0.011677282377919299,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,0.25,train,0.0826161790017211,0.0,3,0.0833333333333333,0.0,3,0.012718600953895,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,0.25,val,0.0555555555555555,0.0,3,0.0833333333333333,0.0,3,0.0087719298245614,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,0.5,test,0.0753424657534246,0.0,3,0.0833333333333333,0.0,3,0.011677282377919299,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,0.5,train,0.0826161790017211,0.0,3,0.0833333333333333,0.0,3,0.012718600953895,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,0.5,val,0.0555555555555555,0.0,3,0.0833333333333333,0.0,3,0.0087719298245614,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,1.0,test,0.0753424657534246,0.0,3,0.0833333333333333,0.0,3,0.011677282377919299,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,1.0,train,0.0826161790017211,0.0,3,0.0833333333333333,0.0,3,0.012718600953895,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,1.0,val,0.0555555555555555,0.0,3,0.0833333333333333,0.0,3,0.0087719298245614,0.0,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3
affine_w,2.0,test,0.07762557077625566,0.003954453898559112,3,0.08531746031746028,0.0034366087451763146,3,0.015430888997767933,0.006436720401205317,3,0.9908675799086758,0.010462501586657144,3,0.009132420091324167,0.010462501586657146,3,0.009132420091324167,0.010462501586657146,3,0.0007532161547924333,0.0008616391178148245,3,9.066395747686607e-05,9.499705694893655e-05,3
affine_w,2.0,train,0.0975329890992541,0.011460117243510147,3,0.09764500349406006,0.011017232477556278,3,0.0384562937387617,0.019718973588757516,3,0.97877223178428,0.018958934758299788,3,0.025817555938037803,0.02598910304740365,3,0.021227768215719933,0.018958934758299833,3,0.0039296601206892995,0.005160902541497536,3,0.00023996540945136376,0.0002372014159422564,3
affine_w,2.0,val,0.058201058201058135,0.004582144993568443,3,0.08399470899470897,0.0011455362483921267,3,0.01581946318788423,0.01220668585331192,3,0.9894179894179894,0.012123216124221792,3,0.010582010582010568,0.012123216124221799,3,0.010582010582010568,0.012123216124221799,3,0.0008643375045491,0.0009850865619230032,3,0.00010098701303011151,0.00012101910185410184,3
affine_w,4.0,test,0.3972602739726027,0.024695556681260195,3,0.36287277537277535,0.02348174842595034,3,0.29201737106337283,0.02640652058216556,3,0.10958904109589036,0.006849315068493149,3,17.23972602739726,1.0123788150084303,3,2.9429223744292234,0.0549370292945935,3,12.158072444277638,1.2048533115203528,3,0.1047385057963293,0.007665980623122055,3
affine_w,4.0,train,0.48250143430866316,0.004331517174567212,3,0.47100040879636135,0.005102638652867581,3,0.4113244496774893,0.001481245029354041,3,0.144578313253012,0.010469470792251719,3,20.010900745840505,1.4009664475926353,3,2.9047619047619047,0.07743991735426693,3,19.41293211531476,2.032717957898634,3,0.10539603066032532,0.0063520561111809395,3
affine_w,4.0,val,0.3518518518518518,0.016521158725921647,3,0.33242945326278656,0.008714696236725623,3,0.2696142770187444,0.032930301266692816,3,0.14550264550264544,0.03207501495497924,3,15.648148148148147,1.5063553392195668,3,2.7169312169312168,0.0874217547188272,3,12.178653663111335,2.032765049913606,3,0.09117542546834993,0.005906029105967186,3
affine_w,8.0,test,0.4452054794520548,0.020547945205479458,3,0.42431411181411177,0.024741089094494267,3,0.37849638876112507,0.03145588045400219,3,0.0,0.0,3,101.69406392694064,2.442012163466386,3,7.047945205479452,0.12117675351338464,3,129.04445539083835,3.1836032898611024,3,0.398780176215397,0.0096242258953944,3
affine_w,8.0,train,0.6557659208261618,0.022375215146299508,3,0.6500785839950706,0.02219342390296798,3,0.6195079086224803,0.02545114395459316,3,0.0137693631669535,0.004553788831436496,3,119.26965002868617,3.160189932645639,3,7.270797475616753,0.178391098489999,3,196.24654210646375,7.358696634983563,3,0.38445095404702917,0.007517811695547786,3
affine_w,8.0,val,0.4074074074074074,0.022910724967842327,3,0.39032186948853614,0.018798122243621995,3,0.3363184685611698,0.040191564968395536,3,0.021164021164021135,0.0121232161242218,3,99.91269841269839,2.547260519696169,3,6.5740740740740735,0.2708121345658298,3,139.97984553903868,5.150403125839948,3,0.3570513988475681,0.006460000555989771,3
affine_w,16.0,test,0.4246575342465753,0.013698630136986287,3,0.42062821437821435,0.020927031170131928,3,0.38928294735736263,0.027257727367727365,3,0.0,0.0,3,219.72602739726028,3.1726748992195946,3,9.43607305936073,0.0650985270748095,3,291.71791924688813,4.779021240274963,3,0.6300320257807143,0.009040233615786734,3
