seed,weight_source,gain,split,accuracy,balanced_accuracy,macro_f1,zero_output_fraction,mean_total_output_spikes,mean_active_output_classes,mean_per_class_count_variance,mean_peak_class_spikes_per_timestep
11,affine_w,0.125,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
11,affine_w,0.125,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
11,affine_w,0.125,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
11,affine_w,0.25,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
11,affine_w,0.25,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
11,affine_w,0.25,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
11,affine_w,0.5,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
11,affine_w,0.5,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
11,affine_w,0.5,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
11,affine_w,1.0,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
11,affine_w,1.0,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
11,affine_w,1.0,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
11,affine_w,2.0,train,0.1032702237521514,0.1027603074772886,0.0463864838864838,0.9776247848537004,0.0223752151462994,0.0223752151462994,0.0018376925454461,0.0002217756682401
11,affine_w,2.0,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,0.992063492063492,0.0079365079365079,0.0079365079365079,0.0006561266481901,6.78334011667345e-05
11,affine_w,2.0,test,0.0753424657534246,0.0833333333333333,0.0117521367521367,0.9931506849315068,0.0068493150684931,0.0068493150684931,0.0005668668292988,8.252186829509821e-05
11,affine_w,4.0,train,0.487091222030981,0.4757061249081689,0.4119152971139188,0.1376936316695352,21.53700516351119,2.9879518072289155,20.946682723023823,0.1114001573572785
11,affine_w,4.0,val,0.3333333333333333,0.3234126984126984,0.2322340756633623,0.1269841269841269,17.38095238095238,2.8174603174603177,13.380910388846898,0.0971221507186431
11,affine_w,4.0,test,0.3698630136986301,0.3373154623154623,0.2615348703583998,0.1095890410958904,18.02054794520548,3.0,13.217782416963766,0.1128054580413724
11,affine_w,8.0,train,0.6695352839931153,0.664858481938414,0.6365010697268326,0.0086058519793459,122.5025817555938,7.454388984509467,204.5212880042421,0.3925660324280037
11,affine_w,8.0,val,0.3809523809523809,0.3692460317460317,0.2899377879318827,0.0079365079365079,102.07142857142856,6.714285714285714,145.26862874779547,0.3638858949050166
11,affine_w,8.0,test,0.4657534246575342,0.4495705683205683,0.4132803790412486,0.0,104.11643835616438,7.157534246575342,130.24955041596294,0.4093776547276462
11,affine_w,16.0,train,0.6815834767641996,0.6881869449569168,0.6619325423072349,0.0034423407917383,270.9139414802065,9.858864027538726,463.334771098162,0.6129937311689679
11,affine_w,16.0,val,0.3888888888888889,0.3988095238095238,0.3442894908971346,0.0,222.7142857142857,9.404761904761903,321.1875367430924,0.576920442175788
11,affine_w,16.0,test,0.4383561643835616,0.4432213619713619,0.4201028048938266,0.0,223.34246575342465,9.438356164383562,297.18049039844874,0.6404421563342467
11,affine_w,32.0,train,0.6179001721170396,0.622864001887809,0.6057318903284302,0.0034423407917383,386.0413080895009,10.864027538726337,628.8188381754213,0.7186301217090787
11,affine_w,32.0,val,0.3412698412698413,0.3514249639249638,0.3070218376287719,0.0,318.23015873015873,10.42063492063492,431.8966836734693,0.6791331660133204
11,affine_w,32.0,test,0.3767123287671233,0.3837357087357087,0.3605731499484024,0.0,309.6849315068493,10.383561643835616,394.479389503972,0.7375017923602245
11,affine_w,64.0,train,0.5679862306368331,0.5699571362016688,0.5657273810614828,0.0017211703958691,454.9793459552496,11.225473321858864,705.1593613203737,0.7672196627734381
11,affine_w,64.0,val,0.3253968253968254,0.3431277056277056,0.2950933169153508,0.0,376.8730158730159,10.817460317460318,487.5427899554882,0.7294343591072675
11,affine_w,64.0,test,0.3287671232876712,0.3354492729492729,0.3312384368128274,0.0,359.2191780821918,10.849315068493151,432.7674282229311,0.7754639708499949
11,no_bias_w,0.125,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
11,no_bias_w,0.125,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
11,no_bias_w,0.125,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
11,no_bias_w,0.25,train,0.0826161790017211,0.0833333333333333,0.012718600953895,1.0,0.0,0.0,0.0,0.0
11,no_bias_w,0.25,val,0.0555555555555555,0.0833333333333333,0.0087719298245614,1.0,0.0,0.0,0.0,0.0
11,no_bias_w,0.25,test,0.0753424657534246,0.0833333333333333,0.0116772823779193,1.0,0.0,0.0,0.0,0.0
11,no_bias_w,0.5,train,0.3631669535283993,0.3662363128062531,0.3829494222748795,0.5679862306368331,1.0292598967297764,0.4819277108433735,0.2589694899588527,0.0103984653230971
11,no_bias_w,0.5,val,0.2142857142857142,0.2186507936507936,0.2098886895268474,0.6984126984126984,0.6111111111111112,0.3412698412698413,0.1146331989585957,0.0062477524748842
11,no_bias_w,0.5,test,0.2534246575342466,0.2425178987678987,0.2134451659451659,0.6575342465753424,0.8287671232876712,0.4589041095890411,0.1781173766185025,0.0077666983825442
11,no_bias_w,1.0,train,0.8055077452667814,0.807200709433772,0.7954648493867208,0.0154905335628227,41.32185886402754,5.741824440619621,41.15561582449799,0.1956174755109679
11,no_bias_w,1.0,val,0.5,0.4831770081770081,0.4578593195208262,0.0158730158730158,30.182539682539684,4.849206349206349,25.202900604686324,0.1466088377083632
11,no_bias_w,1.0,test,0.5,0.4682831057831058,0.4465097163373024,0.0,34.794520547945204,5.664383561643835,27.445088196659796,0.1753235498688407
11,no_bias_w,2.0,train,0.9208261617900172,0.9195611962109314,0.9205856012368367,0.0034423407917383,169.08605851979345,9.567986230636834,265.0969513658271,0.4854387833054052
11,no_bias_w,2.0,val,0.5158730158730159,0.5119107744107744,0.4990931061645704,0.0,130.52380952380952,8.912698412698413,177.11604518350555,0.3984162830937334
11,no_bias_w,2.0,test,0.5273972602739726,0.5154914529914529,0.5102504812916278,0.0,142.94520547945206,9.3013698630137,177.91289016075564,0.4578964766805292
11,no_bias_w,4.0,train,0.9070567986230637,0.9054786841721236,0.9040449392454758,0.0034423407917383,315.47848537005166,10.83132530120482,513.215069276368,0.6500923075722451
11,no_bias_w,4.0,val,0.4761904761904761,0.482948532948533,0.4686404644737978,0.0,252.8095238095238,10.333333333333334,355.5124296632234,0.5721149021471018
11,no_bias_w,4.0,test,0.5,0.5063034188034188,0.4762862009658348,0.0,259.2260273972603,10.52054794520548,337.0346257897041,0.6294175922119352
11,no_bias_w,8.0,train,0.8278829604130808,0.8275896300238651,0.8249748356529953,0.0017211703958691,415.0137693631669,11.282271944922549,651.9274575558192,0.7267458852561656
11,no_bias_w,8.0,val,0.4603174603174603,0.4738936988936988,0.4475312328573198,0.0,341.06349206349205,11.015873015873016,458.087427563618,0.6616609230014292
11,no_bias_w,8.0,test,0.3972602739726027,0.4041590354090353,0.3735879391778133,0.0,333.4246575342466,11.10958904109589,414.1944861449929,0.7106191951915805
11,no_bias_w,16.0,train,0.7693631669535284,0.7699013632044956,0.7628590448871263,0.0017211703958691,471.1944922547332,11.457831325301203,713.9688204502294,0.7620727399570228
11,no_bias_w,16.0,val,0.4285714285714285,0.4386363636363636,0.4107709342887362,0.0,394.3968253968254,11.325396825396826,508.49199000587896,0.7096672895370828
11,no_bias_w,16.0,test,0.4041095890410959,0.4168303918303918,0.393088657007338,0.0,374.8219178082192,11.32876712328767,444.7733314568088,0.7440365833237487
11,no_bias_w,32.0,train,0.7504302925989673,0.7487499240726613,0.7411397204507298,0.0017211703958691,501.68674698795184,11.555938037865747,741.9144910105136,0.7796242811442814
11,no_bias_w,32.0,val,0.4206349206349206,0.4273629148629148,0.4066682212696144,0.0,423.5396825396825,11.468253968253968,535.1713067943227,0.7363718939170901
11,no_bias_w,32.0,test,0.3904109589041096,0.3983037795537795,0.3759524864463561,0.0,396.6780821917809,11.465753424657532,459.3408980734346,0.7617783943681696
11,no_bias_w,64.0,train,0.7246127366609294,0.7246870469753794,0.7152134720513631,0.0017211703958691,517.8709122203098,11.61617900172117,755.4729061315342,0.7892141543644671
