seed,affine_vs_no_bias_linear_pp,hybrid_b1_effect_on_W0_pp,same_W1_bias_effect_pp,affineW_gain_lif_gap_to_affine_linear_pp,affineW_count_bias_recovery_pp,noBiasW_gain_lif_gap_to_no_bias_linear_pp,noBiasW_count_bias_recovery_pp,selected_gain_affineW,selected_gain_noBiasW
11,4.006410256410264,0.8655927405927466,12.897380397380399,13.260836385836388,6.536172161172166,2.0274170274170222,3.6643217893218005,16.0,2.0
23,8.091006216006225,1.427045177045183,16.924741924741927,17.11149961149961,7.892246642246636,-0.11634199134199497,-0.07305194805194981,16.0,2.0
37,1.490176490176487,-20.749181374181376,21.275599400599404,19.49980574980575,11.647311022311019,5.694444444444457,-2.209595959595956,8.0,16.0
