method,seed,train_ba,val_ba,test_ba,selected_gain,weight_l2,bias_l2
A0_linear_no_bias_W0,11,0.9967634489693312,0.5441859066859068,0.5357656232656232,,0.6641525149654435,0.0
A0_linear_no_bias_W0,23,0.9949115971174795,0.5698232323232323,0.5069597069597068,,0.7782259447269498,0.0
A0_linear_no_bias_W0,37,0.9213292716903475,0.5649891774891774,0.5802190864690865,,0.08204050586060388,0.0
A1_linear_affine_W1_b1,11,0.9312395565165112,0.5579184704184704,0.5758297258297258,,0.0792987396781396,4.839626697148874
A1_linear_affine_W1_b1,23,0.8985211802679326,0.5597342472342473,0.5878697691197691,,0.07938737887780548,4.995596226192942
A1_linear_affine_W1_b1,37,0.9142970468060572,0.5677308802308801,0.5951208513708514,,0.07885442829836932,4.711548512156169
A2_linear_hybrid_W0_b1,11,0.9917017205742695,0.48565416065416067,0.5444215506715506,,0.6641525149654435,4.839626697148874
A2_linear_hybrid_W0_b1,23,0.9850060052511033,0.5277898027898028,0.5212301587301587,,0.7782259447269498,4.995596226192942
A2_linear_hybrid_W0_b1,37,0.676678899638313,0.2911075036075036,0.37272727272727274,,0.08204050586060388,4.711548512156169
A3_linear_affine_W1_bias_off,11,0.7350338376251638,0.41190476190476194,0.4468559218559218,,0.0792987396781396,0.0
A3_linear_affine_W1_bias_off,23,0.6749898139639526,0.4271524771524771,0.4186223498723498,,0.07938737887780548,0.0
A3_linear_affine_W1_bias_off,37,0.7055170743138116,0.41865079365079366,0.3823648573648573,,0.07885442829836932,0.0
B0_affineW_lif_selected_gain,11,0.6881869449569168,0.3988095238095238,0.4432213619713619,16.0,1.2687798348502335,0.0
B0_affineW_lif_selected_gain,23,0.6482396825605686,0.4372053872053872,0.416754773004773,16.0,1.2701980620448876,0.0
B0_affineW_lif_selected_gain,37,0.6608191073593612,0.4053571428571429,0.40012279387279387,8.0,0.6308354263869546,0.0
B1_affineW_lif_continuous_count_bias,11,0.8571939948262477,0.45976430976430976,0.5085830835830836,16.0,1.2687798348502335,29.618924363709763
B1_affineW_lif_continuous_count_bias,23,0.8086364968100912,0.5014009139009138,0.49567723942723935,16.0,1.2701980620448876,29.134384047959557
B1_affineW_lif_continuous_count_bias,37,0.8248182420852049,0.5330868205868206,0.5165959040959041,8.0,0.6308354263869546,26.719182306911424
B2_affineW_lif_integer_count_bias,11,0.8507196358518887,0.4478595478595478,0.5149933399933401,16.0,1.2687798348502335,0.0
B2_affineW_lif_integer_count_bias,23,0.8086062597515523,0.5014009139009138,0.4897248584748584,16.0,1.2701980620448876,0.0
B2_affineW_lif_integer_count_bias,37,0.8221300700421942,0.5330868205868206,0.5165959040959041,8.0,0.6308354263869546,0.0
C0_noBiasW_lif_selected_gain,11,0.9195611962109314,0.5119107744107744,0.5154914529914529,2.0,1.328305029930887,0.0
C0_noBiasW_lif_selected_gain,23,0.9236901008524159,0.5316618566618567,0.5081231268731268,2.0,1.5564518894538997,0.0
C0_noBiasW_lif_selected_gain,37,0.856927225003802,0.5206770081770081,0.5232746420246419,16.0,1.312648093769662,0.0
C1_noBiasW_lif_continuous_count_bias,11,0.9349523801709768,0.5580747955747957,0.5521346708846709,2.0,1.328305029930887,4.641111941936043
C1_noBiasW_lif_continuous_count_bias,23,0.9263468500698863,0.5602332852332852,0.5073926073926073,2.0,1.5564518894538997,0.17319625487676119
C1_noBiasW_lif_continuous_count_bias,37,0.8588627985935561,0.5606601731601731,0.5011786824286824,16.0,1.312648093769662,7.804515395774848
C2_noBiasW_lif_integer_count_bias,11,0.9344769864172813,0.5414081289081291,0.5460470085470085,2.0,1.328305029930887,0.0
C2_noBiasW_lif_integer_count_bias,23,0.9236901008524159,0.5316618566618567,0.5081231268731268,2.0,1.5564518894538997,0.0
C2_noBiasW_lif_integer_count_bias,37,0.8627641518699094,0.5514009139009138,0.5087544400044399,16.0,1.312648093769662,0.0
