synapse_mode,objective,mem_shift,tau_mem_ms,val_ba_mean,val_ba_std,test_ba_mean,test_ba_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std,hidden_s4_fr_valid_mean,hidden_s4_fr_valid_std,hidden_s5_fr_valid_mean,hidden_s5_fr_valid_std,hidden_s6_fr_valid_mean,hidden_s6_fr_valid_std,hidden_s4_fr_tail_mean,hidden_s4_fr_tail_std,hidden_s5_fr_tail_mean,hidden_s5_fr_tail_std,hidden_s6_fr_tail_mean,hidden_s6_fr_tail_std
legacy_unnormalized,whole_count,1,22.542110013890053,0.46558441558441555,0.0018855030963469705,0.418200086950087,0.02105757393467424,0.4292237442922375,0.019772269492795393,0.3984784670945832,0.023080284500103784,0.015934539027512074,0.01074554310886282,0.05064599464337031,0.026251246324994978,0.14567901194095612,0.015012691261998825,0.000653777916644079,0.0006620644182974121,0.00667787444156905,0.007328379725250068,0.059715049962202706,0.009484168369997662
legacy_unnormalized,whole_count,2,54.31342963722199,0.4660473785473785,0.022633650641702675,0.3969472656972657,0.021877082022988673,0.4109589041095891,0.023726723391354475,0.3821731955646483,0.015663799943665402,0.03763996561368307,0.0070355141465398415,0.08708010365565617,0.016450433262278873,0.19056436916192374,0.01848510520639875,0.0024283179081976414,0.0013606801240132198,0.013262351974844933,0.006116780774207258,0.0885924647251765,0.011684405450543065
legacy_unnormalized,whole_count,3,117.0136826471659,0.465189594356261,0.016210193828188203,0.38082103082103086,0.01742972518264038,0.3949771689497717,0.020925003173314326,0.36476572650712824,0.02011987967482184,0.05719207599759102,0.005837354411138606,0.0996554692586263,0.008270077197988113,0.2159611980120341,0.01485334127063416,0.005183524917811155,0.001351029734580347,0.018585971867044766,0.004142494689437583,0.11488812168439229,0.009029312864398472
legacy_unnormalized,whole_count_contextual_gain,1,22.542110013890053,0.43045935545935543,0.01106449611767555,0.35849405224405223,0.02568210801033266,0.3698630136986301,0.018121584322360215,0.3287153969275544,0.03489348024344609,0.12954350064198175,0.015067802326965765,0.06080964704354604,0.008032531986626573,0.1537037044763565,0.008837720684072072,0.004576445401956637,0.0007715845142309383,0.0040627627943952875,0.0006419972472377524,0.04671065260966619,0.009618784429594344
legacy_unnormalized,whole_count_contextual_gain,2,54.31342963722199,0.4119127785794452,0.012966538089067193,0.362792069042069,0.014613285485483117,0.37442922374429227,0.020925003173314326,0.33142970191054705,0.02362835289418025,0.17683032155036926,0.009307109440528935,0.08828596025705338,0.0017204974383466074,0.1721340368191401,0.013228392687622553,0.011347716363767782,0.000852165940943264,0.009666573256254196,0.0011467289677050507,0.06353987505038579,0.008875346967557114
legacy_unnormalized,whole_count_contextual_gain,3,117.0136826471659,0.40557760141093474,0.00795621844890642,0.3276362526362526,0.005543636342492202,0.34246575342465757,0.0068493150684931225,0.3026612248907825,0.013103392432674586,0.18492678801218668,0.007813423496535526,0.10258397956689198,0.01048980791702678,0.17830687761306763,0.009505415026298336,0.014710002889235815,0.000505120689853249,0.015550574287772179,0.0019861930316474987,0.07530120511849721,0.006460763688998783
legacy_unnormalized,whole_count_hce,1,22.542110013890053,0.3897787397787398,0.038776075827361256,0.3312058312058312,0.009176947637967411,0.34474885844748854,0.010462501586657158,0.28859960766923815,0.025006606852060655,0.020585702111323673,0.00826200202769502,0.04995693390568098,0.01085988719599137,0.1721340368191401,0.0165430278305073,0.0014009526542698343,0.0008748946614972898,0.00999346220244964,0.001403285326132567,0.09021801501512527,0.0037594208199481643
legacy_unnormalized,whole_count_hce,2,54.31342963722199,0.33787678371011703,0.011939617322741954,0.2860801235801236,0.009680566687470058,0.3059360730593607,0.0039544538985591005,0.2334202057165334,0.017444981893484788,0.06735572591423988,0.016828298440512125,0.11248923341433208,0.01851531188193839,0.2531746079524358,0.03730159252882028,0.006257588509470224,0.0032018227962450135,0.025403941050171852,0.00743209478170301,0.14252246916294098,0.02742881826263304
legacy_unnormalized,whole_count_hce,3,117.0136826471659,0.33720338303671643,0.029672027440584222,0.2701710326710327,0.014261045858620786,0.2922374429223744,0.01723706492070946,0.20926646713555663,0.01655444956494232,0.09913867463668187,0.017966245108775793,0.14918173849582672,0.05031289825232311,0.2688712577025096,0.020621912206194797,0.010693938471376896,0.0012634487865352917,0.03698514960706234,0.01107816057120528,0.16771848996480307,0.027847145818290536
normalized_unit_dc,whole_count,1,22.542110013890053,0.08333333333333333,0.0,0.08333333333333333,0.0,0.07534246575342465,0.0,0.01167728237791932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized_unit_dc,whole_count,2,54.31342963722199,0.12070105820105818,0.0037558917630954314,0.08152958152958152,0.004910049635215083,0.08447488584474887,0.003954453898559081,0.024305331304687844,0.00216520965466518,0.0006029284947241346,0.000537898173538218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized_unit_dc,whole_count,3,117.0136826471659,0.27164902998236334,0.05000285771440237,0.24197330447330448,0.01857726063697326,0.2625570776255708,0.014257986297713222,0.15988631692105007,0.03047178976626577,0.006201550364494324,0.0,0.0032730404442797103,0.0013005744385880653,0.00044091711364065606,0.0003054763371008947,9.339684038423002e-05,8.088403640594356e-05,0.00018679368076846004,0.00016176807281188712,4.7810288378968835e-05,8.280984859689388e-05
normalized_unit_dc,whole_count_contextual_gain,1,22.542110013890053,0.08333333333333333,0.0,0.08333333333333333,0.0,0.07534246575342465,0.0,0.01167728237791932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized_unit_dc,whole_count_contextual_gain,2,54.31342963722199,0.0861111111111111,0.004811252243246888,0.07828282828282829,0.00874773135135796,0.07077625570776255,0.007908907797118161,0.011140559616599459,0.0009296310921846652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized_unit_dc,whole_count_contextual_gain,3,117.0136826471659,0.1346200096200096,0.009473275166299153,0.11748321123321122,0.014528229062496886,0.11643835616438354,0.031387504759971506,0.04727568343964867,0.016634461377279485,0.020757967606186867,0.0009074633893655964,0.011972437612712383,0.00039470932684172326,0.008465608581900597,0.0002645505592226982,0.0005603810617079338,0.00014009527512826126,0.0005136826463664571,0.0001617680896149915,0.0015777395262072484,0.00014343083603307998
normalized_unit_dc,whole_count_hce,1,22.542110013890053,0.08333333333333333,0.0,0.08333333333333333,0.0,0.07534246575342465,0.0,0.01167728237791932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized_unit_dc,whole_count_hce,2,54.31342963722199,0.09074074074074075,0.006990587440065512,0.08778258778258778,0.002217098853714801,0.0821917808219178,0.0,0.027031592486304313,0.007839214993539166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized_unit_dc,whole_count_hce,3,117.0136826471659,0.16693121693121693,0.033357011095786454,0.15805028305028304,0.04100168020233442,0.16666666666666666,0.044564432182518564,0.08900151447609184,0.026740184159977694,0.0009474590769968927,0.0003947093840004737,0.0006890611645455161,0.0006502872192940327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
