synapse_mode,objective,mem_shift,seed,history_csv,learning_curve_png,raster_png
normalized_unit_dc,whole_count,1,11,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem1__seed11.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem1__seed11.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem1__seed11.png
normalized_unit_dc,whole_count,1,23,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem1__seed23.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem1__seed23.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem1__seed23.png
normalized_unit_dc,whole_count,1,37,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem1__seed37.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem1__seed37.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem1__seed37.png
normalized_unit_dc,whole_count,2,11,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem2__seed11.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem2__seed11.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem2__seed11.png
normalized_unit_dc,whole_count,2,23,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem2__seed23.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem2__seed23.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem2__seed23.png
normalized_unit_dc,whole_count,2,37,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem2__seed37.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem2__seed37.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem2__seed37.png
normalized_unit_dc,whole_count,3,11,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem3__seed11.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem3__seed11.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem3__seed11.png
normalized_unit_dc,whole_count,3,23,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem3__seed23.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem3__seed23.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem3__seed23.png
normalized_unit_dc,whole_count,3,37,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count__mem3__seed37.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count__mem3__seed37.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count__mem3__seed37.png
normalized_unit_dc,whole_count_hce,1,11,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count_hce__mem1__seed11.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count_hce__mem1__seed11.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count_hce__mem1__seed11.png
normalized_unit_dc,whole_count_hce,1,23,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/histories/whole_count_hce__mem1__seed23.csv,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/learning_curves/whole_count_hce__mem1__seed23.png,notebooks/artifacts/experiment_6_0_multiscale_phase_evidence/single_hidden_multiscale_phase_evidence_v1/rasters/whole_count_hce__mem1__seed23.png
