objective,mem_shift,tau_mem_ms,seed,best_epoch,train_loss,val_loss,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,train_wholecount_ce,val_wholecount_ce,test_wholecount_ce,test_hce_loss,test_cg_loss,test_orig_margin,test_rev_margin,test_mid_gain,test_long_gain,hidden_s4_fr_tail,hidden_s4_fr_valid,hidden_s5_fr_tail,hidden_s5_fr_valid,hidden_s6_fr_tail,hidden_s6_fr_valid,output_fr_tail,output_fr_valid,synapse_mode,synaptic_update
whole_count,1,22.542110013890053,11,1,2.4849066734313965,2.4849069118499756,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,2.4849066734313965,2.4849069118499756,2.4849066440373253,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count,1,22.542110013890053,23,1,2.4849066734313965,2.4849069118499756,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,2.4849066734313965,2.4849069118499756,2.4849066440373253,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count,1,22.542110013890053,37,1,2.4849066734313965,2.4849069118499756,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,2.4849066734313965,2.4849069118499756,2.4849066440373253,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count,2,54.31342963722199,11,100,2.399444079850504,2.422111749649048,0.12043394658567613,0.11904761904761903,0.08225108225108226,0.08904109589041095,0.023909657320872274,2.399444079850504,2.422111749649048,2.3924548625946045,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count,2,54.31342963722199,23,89,2.4250217879290425,2.435784339904785,0.09386755496425309,0.11805555555555554,0.08603896103896104,0.0821917808219178,0.02236524537409493,2.4250217879290425,2.435784339904785,2.4027711691921705,0.0,0.0,,,,,0.0,0.0010335916886106133,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count,2,54.31342963722199,37,88,2.4476121694824164,2.4458367824554443,0.09537396522066334,0.125,0.0762987012987013,0.0821917808219178,0.026641091219096334,2.4476121694824164,2.4458367824554443,2.4412205905130464,0.0,0.0,,,,,0.0,0.0007751937955617905,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count,3,117.0136826471659,11,97,2.227826204644628,2.264256238937378,0.28974694809924184,0.32936507936507936,0.2461802086802087,0.2671232876712329,0.16951481058623918,2.227826204644628,2.264256238937378,2.2191107795663076,0.0,0.0,,,,,0.0,0.006201550364494324,0.0,0.004651162773370743,0.0,0.00026455026818439364,0.0,0.024074073880910873,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count,3,117.0136826471659,23,100,2.2184175460145723,2.2714085578918457,0.2887418966000635,0.2441798941798942,0.2580863580863581,0.273972602739726,0.1843807557270859,2.2184175460145723,2.2714085578918457,2.2005463462986357,0.0,0.0,,,,,0.00014009526057634503,0.006201550364494324,0.00028019052115269005,0.003100775182247162,0.0,0.00026455026818439364,0.001004016026854515,0.024074073880910873,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count,3,117.0136826471659,37,99,2.2566449654492167,2.2831950187683105,0.27083362450500814,0.2414021164021164,0.22165334665334668,0.2465753424657534,0.12576338444982513,2.2566449654492167,2.2831950187683105,2.253279307117201,0.0,0.0,,,,,0.00014009526057634503,0.006201550364494324,0.00028019052115269005,0.0020671833772212267,0.0001434308651369065,0.0007936508045531809,0.0030120480805635452,0.01944444514811039,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count_hce,1,22.542110013890053,11,1,3.178053855895996,3.178054094314575,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,2.4849066734313965,2.4849069118499756,2.4849066440373253,0.6931471824645996,0.0,-2.397895574569702,-2.397895574569702,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count_hce,1,22.542110013890053,23,1,3.178053855895996,3.178054094314575,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,2.4849066734313965,2.4849069118499756,2.4849066440373253,0.6931471824645996,0.0,-2.397895574569702,-2.397895574569702,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
whole_count_hce,1,22.542110013890053,37,1,3.178053855895996,3.178054094314575,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07534246575342465,0.01167728237791932,2.4849066734313965,2.4849069118499756,2.4849066440373253,0.6931471824645996,0.0,-2.397895574569702,-2.397895574569702,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normalized_unit_dc,I_t = alpha*I_{t-1} + (1-alpha)*W*x_t
