stage,seed,l1_mem_shift,vs_shift,native_test_ba_delta,l1_pre_reset_fixed250_ba_delta,l1_spike_fixed250_ba_delta,l1_quantization_delta_delta,l2_pre_reset_fixed250_ba_delta,l2_spike_fixed250_ba_delta,l2_spike_whole_ba_delta,l2_temporal_ordering_gain_delta
e2e_retrain,11,2,1,0.032496486356780596,0.024849456099456102,0.037203339960692805,0.012353883861236703,0.060721753736459494,0.035928573060925895,0.058941650669591894,-0.023013077608666
e2e_retrain,11,3,1,0.0024751188354130704,0.02147435897435901,0.03376753964989254,0.012293180675533533,0.07960844302756054,0.06225304515745678,0.036517036884683884,0.025736008272772892
e2e_retrain,11,4,1,-0.0012694821518348665,0.037756096028154884,0.05525889551624852,0.017502799488093634,0.054303355957767585,0.06724770327711505,0.036442621920563134,0.03080508135655191
e2e_retrain,23,2,1,0.045523818501759794,0.049781897024544164,0.030753519356460424,-0.01902837766808374,-0.07470905320170018,0.010774886877828127,0.04285444947209638,-0.03207956259426825
e2e_retrain,23,3,1,0.056843605740664604,0.0623271744595274,0.04785667763608936,-0.01447049682343804,-0.06602849764614471,0.03987713675213678,0.053412233191644676,-0.013535096439507899
e2e_retrain,23,4,1,0.02114941839206541,0.04126602564102555,0.03591029068970242,-0.005355734951323132,-0.021186268796563046,-0.015307629462041117,0.02238119315325182,-0.03768882261529294
e2e_retrain,37,2,1,0.030103066867772643,0.04727592668769165,0.07806786758992634,0.030791940902234693,0.0012019230769232392,0.07926093514328814,0.07233534439416789,0.006925590749120247
e2e_retrain,37,3,1,0.014479352346999375,0.05865570295717393,0.05794026235202698,-0.0007154406051469442,-0.02326703117144291,0.05818564605329324,0.025644167923579486,0.03254147812971375
e2e_retrain,37,4,1,-0.023857494629553555,0.001265054390054532,0.018683726404314593,0.01741867201426006,-0.017574215000685456,0.030001228346816622,0.0194727249874308,0.010528503359385821
frozen_replay,11,2,1,-0.12329474039032845,0.04576448877919459,0.0724893162393162,0.026724827460121614,0.02477946889711602,0.0549723764797293,-0.0037581699346405095,0.05873054641436981
frozen_replay,11,3,1,-0.23136412198912187,0.004508175647881529,0.06956413684354856,0.06505596119566703,0.04464683600713015,0.02570987019516424,-0.005483283056812449,0.03119315325197669
frozen_replay,11,4,1,-0.29211986950957525,0.0345481112025231,0.06593165821106994,0.03138354700854684,0.015293203528497612,0.09167395104895104,0.002890899949723469,0.08878305109922757
frozen_replay,23,2,1,-0.11507038712921064,-0.00929644293614873,0.02161076260340966,0.03090720553955839,-0.012126068376068444,0.03193001851090105,-0.019992772750125787,0.051922791261026835
frozen_replay,23,3,1,-0.21355080785227842,0.03558792106586228,0.06222633575574754,0.02663841468988526,-0.027339429361488143,0.02165504022121667,0.04930427007632876,-0.02764922985511209
frozen_replay,23,4,1,-0.27272627291009643,0.02323403720462547,0.014392653914712672,-0.008841383289912796,-0.02911767562502854,0.08039058572146818,0.015579722565016496,0.06481086315645168
frozen_replay,37,2,1,-0.1924179578591344,0.03783779537456011,0.008221210978563875,-0.029616584395996237,0.02061651583710422,0.058077237305178664,0.01917449380684666,0.038902743498332004
frozen_replay,37,3,1,-0.3124452957173547,0.053302538964303814,0.03606212006947307,-0.017240418894830745,-0.012264328808446301,0.10419337606837609,0.026488442113442034,0.07770493395493405
frozen_replay,37,4,1,-0.34966848919054816,0.011411770419123446,0.028382381507381482,0.016970611088258036,-0.030200477626948108,0.06236645299145305,0.003102004204945219,0.05926444878650783
