stage,l1_mem_shift,seed,layer,bank,count,dead_neuron_fraction,fraction_nonzero,high_rate_neuron_fraction_ge_0p5,mean_spikes_per_neuron_s,mean_value_per_neuron_step,saturated_neuron_fraction_ge_0p95,shift,start,stop,threshold_multiplier
frozen_replay,1,11,l1,0,43,0.1627907007932663,0.8372092843055725,0.0,0.3386160135269165,0.00529087521135807,0.0,2,0,43,1.0
frozen_replay,1,11,l1,0,43,0.13953489065170288,0.8604651093482971,0.0,1.9778529405593872,0.030903952196240425,0.0,3,43,86,1.0
frozen_replay,1,11,l1,0,42,0.02380952425301075,0.976190447807312,0.095238097012043,9.617772102355957,0.15027768909931183,0.0,4,86,128,1.0
frozen_replay,1,11,l2,0,43,0.0,1.0,0.0,22.189748764038086,0.3467148244380951,0.0,2,0,43,1.0
frozen_replay,1,11,l2,0,43,0.0,1.0,0.023255813866853714,24.161224365234375,0.3775191307067871,0.0,3,43,86,1.0
frozen_replay,1,11,l2,0,42,0.0,1.0,0.0714285746216774,23.94388771057129,0.3741232454776764,0.0,4,86,128,1.0
frozen_replay,1,23,l1,0,43,0.11627907305955887,0.8837209343910217,0.0,0.4476129412651062,0.006993952207267284,0.0,2,0,43,1.0
frozen_replay,1,23,l1,0,43,0.09302325546741486,0.9069767594337463,0.0,1.8475288152694702,0.028867637738585472,0.0,3,43,86,1.0
frozen_replay,1,23,l1,0,42,0.1190476194024086,0.8809523582458496,0.0476190485060215,7.2372894287109375,0.1130826473236084,0.0,4,86,128,1.0
frozen_replay,1,23,l2,0,43,0.0,1.0,0.0,20.09931755065918,0.3140518367290497,0.0,2,0,43,1.0
frozen_replay,1,23,l2,0,43,0.0,1.0,0.023255813866853714,23.24458122253418,0.36319658160209656,0.0,3,43,86,1.0
frozen_replay,1,23,l2,0,42,0.0,1.0,0.1666666716337204,25.518083572387695,0.39872005581855774,0.0,4,86,128,1.0
frozen_replay,1,37,l1,0,43,0.09302325546741486,0.9069767594337463,0.0,0.32026049494743347,0.005004070233553648,0.0,2,0,43,1.0
frozen_replay,1,37,l1,0,43,0.11627907305955887,0.8837209343910217,0.0,1.608556866645813,0.025133701041340828,0.0,3,43,86,1.0
frozen_replay,1,37,l1,0,42,0.1190476194024086,0.8809523582458496,0.0476190485060215,8.05601978302002,0.1258753091096878,0.0,4,86,128,1.0
frozen_replay,1,37,l2,0,43,0.0,1.0,0.023255813866853714,22.200590133666992,0.34688422083854675,0.0,2,0,43,1.0
frozen_replay,1,37,l2,0,43,0.0,1.0,0.023255813866853714,22.680543899536133,0.3543834984302521,0.0,3,43,86,1.0
frozen_replay,1,37,l2,0,42,0.0,1.0,0.1428571492433548,25.36013412475586,0.3962520956993103,0.0,4,86,128,1.0
frozen_replay,2,11,l1,0,43,0.06976744532585144,0.930232584476471,0.0,1.084550142288208,0.01694609597325325,0.0,2,0,43,1.0
frozen_replay,2,11,l1,0,43,0.11627907305955887,0.8837209343910217,0.0,4.469661235809326,0.06983845680952072,0.0,3,43,86,1.0
frozen_replay,2,11,l1,0,42,0.02380952425301075,0.976190447807312,0.095238097012043,14.968376159667969,0.233880877494812,0.0,4,86,128,1.0
frozen_replay,2,11,l2,0,43,0.0,1.0,0.11627907305955887,23.0523738861084,0.3601933419704437,0.0,2,0,43,1.0
frozen_replay,2,11,l2,0,43,0.0,1.0,0.09302325546741486,23.178327560424805,0.3621613681316376,0.0,3,43,86,1.0
frozen_replay,2,11,l2,0,42,0.0,1.0,0.2142857164144516,24.70919418334961,0.38608115911483765,0.0,4,86,128,1.0
frozen_replay,2,23,l1,0,43,0.06976744532585144,0.930232584476471,0.0,1.4625869989395142,0.02285292185842991,0.0,2,0,43,1.0
frozen_replay,2,23,l1,0,43,0.09302325546741486,0.9069767594337463,0.0,4.65041971206665,0.07266280800104141,0.0,3,43,86,1.0
frozen_replay,2,23,l1,0,42,0.1190476194024086,0.8809523582458496,0.0714285746216774,11.909214973449707,0.18608148396015167,0.0,4,86,128,1.0
frozen_replay,2,23,l2,0,43,0.0,1.0,0.11627907305955887,21.809003829956055,0.34076568484306335,0.0,2,0,43,1.0
frozen_replay,2,23,l2,0,43,0.0,1.0,0.1860465109348297,24.138059616088867,0.37715718150138855,0.0,3,43,86,1.0
frozen_replay,2,23,l2,0,42,0.0,1.0,0.3333333432674408,26.978981018066406,0.4215465784072876,0.0,4,86,128,1.0
frozen_replay,2,37,l1,0,43,0.04651162773370743,0.9534883499145508,0.0,1.100808024406433,0.017200125381350517,0.0,2,0,43,1.0
frozen_replay,2,37,l1,0,43,0.06976744532585144,0.930232584476471,0.0,3.9598143100738525,0.061872098594903946,0.0,3,43,86,1.0
