stage,l1_mem_shift,layer,shift,mean_value_per_neuron_step_count,mean_value_per_neuron_step_mean,mean_value_per_neuron_step_std,dead_neuron_fraction_count,dead_neuron_fraction_mean,dead_neuron_fraction_std,high_rate_neuron_fraction_ge_0p5_count,high_rate_neuron_fraction_ge_0p5_mean,high_rate_neuron_fraction_ge_0p5_std,saturated_neuron_fraction_ge_0p95_count,saturated_neuron_fraction_ge_0p95_mean,saturated_neuron_fraction_ge_0p95_std,mean_spikes_per_neuron_s_count,mean_spikes_per_neuron_s_mean,mean_spikes_per_neuron_s_std
e2e_retrain,1,l1,2,3,0.005762965884059668,0.0010756671277707172,3,0.12403100977341334,0.03552384409007028,3,0.0,0.0,3,0.0,0.0,3,0.3688298165798187,0.0688426961773259
e2e_retrain,1,l1,3,3,0.02830176365872224,0.002926450017230915,3,0.11627907305955887,0.023255817592144012,3,0.0,0.0,3,0.0,0.0,3,1.8113128741582234,0.18729280110277857
e2e_retrain,1,l1,4,3,0.129745215177536,0.018897087418556256,3,0.08730158768594265,0.05498573987161204,3,0.06349206467469533,0.02749287047350536,3,0.0,0.0,3,8.303693771362305,1.2094135947876004
e2e_retrain,1,l2,2,3,0.33588362733523053,0.018907074987665737,3,0.0,0.0,3,0.007751937955617905,0.013426750396251824,3,0.0,0.0,3,21.496552149454754,1.2100527992106072
e2e_retrain,1,l2,3,3,0.3650330702463786,0.011676638562283032,3,0.0,0.0,3,0.023255813866853714,0.0,3,0.0,0.0,3,23.36211649576823,0.7473048679861141
e2e_retrain,1,l2,4,3,0.38969846566518146,0.013544863222066826,3,0.0,0.0,3,0.12698413183291754,0.04956347739921869,3,0.0,0.0,3,24.940701802571613,0.8668712462122768
e2e_retrain,2,l1,2,3,0.012360398968060812,0.001258201793011887,3,0.04651162773370743,0.0,3,0.0,0.0,3,0.0,0.0,3,0.791065533955892,0.08052491475276077
e2e_retrain,2,l1,3,3,0.039853191624085106,0.004276812094482563,3,0.03875968977808952,0.013426750396251824,3,0.0,0.0,3,0.0,0.0,3,2.550604263941447,0.273715974046884
e2e_retrain,2,l1,4,3,0.12493381400903066,0.007139821598145541,3,0.007936508084336916,0.013746435236752681,3,0.06349206591645877,0.013746436312151361,3,0.0,0.0,3,7.995764096577962,0.45694858228131463
e2e_retrain,2,l2,2,3,0.37542041142781574,0.005177589692007218,3,0.0,0.0,3,0.03875969101985296,0.026853502943301,3,0.0,0.0,3,24.026906331380207,0.33136574028846194
e2e_retrain,2,l2,3,3,0.39615825812021893,0.005325204319846722,3,0.0,0.0,3,0.0620155061284701,0.013426752547049179,3,0.0,0.0,3,25.35412851969401,0.3408130764701902
e2e_retrain,2,l2,4,3,0.39254438877105713,0.006273431008827662,3,0.0,0.0,3,0.1031746044754982,0.027492868322708003,3,0.0,0.0,3,25.122840881347656,0.40149958456497037
e2e_retrain,3,l1,2,3,0.01856222376227379,0.0008767270960787244,3,0.03100775182247162,0.013426750396251824,3,0.0,0.0,3,0.0,0.0,3,1.1879823207855225,0.05611053414903836
e2e_retrain,3,l1,3,3,0.045217362542947136,0.005645494256375281,3,0.023255813866853714,0.023255813866853714,3,0.0,0.0,3,0.0,0.0,3,2.8939112027486167,0.361311632408018
e2e_retrain,3,l1,4,3,0.11043062806129456,0.0030012098257060893,3,0.007936508084336916,0.013746435236752681,3,0.0476190485060215,0.0,3,0.0,0.0,3,7.067560195922852,0.19207742884518972
e2e_retrain,3,l2,2,3,0.3832174241542816,0.011891211187180362,3,0.0,0.0,3,0.05426356693108877,0.05370700373580465,3,0.0,0.0,3,24.525915145874023,0.7610375159795432
