user,label,total,train,val,test,pair_present_in_train,pair_present_in_val,pair_present_in_test,test_pair_seen_in_train
user_13,E,3,0,3,0,False,True,False,True
user_13,G,3,0,3,0,False,True,False,True
user_13,H,3,0,3,0,False,True,False,True
user_13,I,3,0,3,0,False,True,False,True
user_13,J,3,0,3,0,False,True,False,True
user_13,K,3,0,3,0,False,True,False,True
user_13,L,1,0,1,0,False,True,False,True
user_13,X,2,0,2,0,False,True,False,True
user_14,A,4,4,0,0,True,False,False,True
user_14,B,2,2,0,0,True,False,False,True
user_14,C,4,4,0,0,True,False,False,True
user_14,D,4,4,0,0,True,False,False,True
user_14,E,3,3,0,0,True,False,False,True
user_14,G,4,4,0,0,True,False,False,True
user_14,H,4,4,0,0,True,False,False,True
user_14,I,4,4,0,0,True,False,False,True
user_14,J,4,4,0,0,True,False,False,True
user_14,K,4,4,0,0,True,False,False,True
user_14,L,2,2,0,0,True,False,False,True
user_14,X,2,2,0,0,True,False,False,True
user_15,A,4,4,0,0,True,False,False,True
user_15,B,2,2,0,0,True,False,False,True
user_15,C,4,4,0,0,True,False,False,True
user_15,D,4,4,0,0,True,False,False,True
user_15,E,3,3,0,0,True,False,False,True
user_15,G,4,4,0,0,True,False,False,True
user_15,H,4,4,0,0,True,False,False,True
user_15,I,4,4,0,0,True,False,False,True
user_15,J,4,4,0,0,True,False,False,True
user_15,K,4,4,0,0,True,False,False,True
user_15,L,3,3,0,0,True,False,False,True
user_15,X,2,2,0,0,True,False,False,True
user_16,A,3,3,0,0,True,False,False,True
user_16,B,4,4,0,0,True,False,False,True
user_16,C,4,4,0,0,True,False,False,True
user_16,D,3,3,0,0,True,False,False,True
user_16,E,4,4,0,0,True,False,False,True
user_16,G,4,4,0,0,True,False,False,True
user_16,H,4,4,0,0,True,False,False,True
user_16,I,4,4,0,0,True,False,False,True
user_16,J,4,4,0,0,True,False,False,True
user_16,K,4,4,0,0,True,False,False,True
user_16,L,2,2,0,0,True,False,False,True
user_16,X,2,2,0,0,True,False,False,True
user_18,A,2,2,0,0,True,False,False,True
user_18,B,3,3,0,0,True,False,False,True
user_18,C,3,3,0,0,True,False,False,True
user_18,D,3,3,0,0,True,False,False,True
user_18,E,2,2,0,0,True,False,False,True
user_18,G,3,3,0,0,True,False,False,True
user_18,H,3,3,0,0,True,False,False,True
user_18,I,1,1,0,0,True,False,False,True
user_18,J,3,3,0,0,True,False,False,True
user_18,K,3,3,0,0,True,False,False,True
user_18,L,1,1,0,0,True,False,False,True
user_18,X,3,3,0,0,True,False,False,True
user_19,A,4,4,0,0,True,False,False,True
user_19,B,2,2,0,0,True,False,False,True
user_19,C,4,4,0,0,True,False,False,True
user_19,D,4,4,0,0,True,False,False,True
user_19,E,4,4,0,0,True,False,False,True
user_19,G,4,4,0,0,True,False,False,True
user_19,H,3,3,0,0,True,False,False,True
user_19,I,4,4,0,0,True,False,False,True
user_19,J,4,4,0,0,True,False,False,True
user_19,K,4,4,0,0,True,False,False,True
user_19,L,3,3,0,0,True,False,False,True
user_19,X,2,2,0,0,True,False,False,True
user_2,A,4,0,0,4,False,False,True,False
user_2,B,3,0,0,3,False,False,True,False
user_2,C,4,0,0,4,False,False,True,False
user_2,D,4,0,0,4,False,False,True,False
user_2,E,4,0,0,4,False,False,True,False
user_2,G,4,0,0,4,False,False,True,False
user_2,H,4,0,0,4,False,False,True,False
user_2,I,4,0,0,4,False,False,True,False
user_2,J,4,0,0,4,False,False,True,False
user_2,K,4,0,0,4,False,False,True,False
user_2,L,2,0,0,2,False,False,True,False
user_2,X,3,0,0,3,False,False,True,False
user_20,A,2,2,0,0,True,False,False,True
user_20,B,4,4,0,0,True,False,False,True
user_20,C,4,4,0,0,True,False,False,True
user_20,D,3,3,0,0,True,False,False,True
user_20,E,3,3,0,0,True,False,False,True
user_20,G,4,4,0,0,True,False,False,True
user_20,H,4,4,0,0,True,False,False,True
user_20,I,4,4,0,0,True,False,False,True
user_20,J,4,4,0,0,True,False,False,True
user_20,K,4,4,0,0,True,False,False,True
user_20,L,2,2,0,0,True,False,False,True
user_20,X,4,4,0,0,True,False,False,True
user_3,A,5,5,0,0,True,False,False,True
user_3,B,6,6,0,0,True,False,False,True
user_3,C,6,6,0,0,True,False,False,True
user_3,D,4,4,0,0,True,False,False,True
user_3,E,6,6,0,0,True,False,False,True
user_3,G,5,5,0,0,True,False,False,True
user_3,H,6,6,0,0,True,False,False,True
user_3,I,6,6,0,0,True,False,False,True
user_3,J,4,4,0,0,True,False,False,True
user_3,K,6,6,0,0,True,False,False,True
user_3,L,4,4,0,0,True,False,False,True
user_3,X,5,5,0,0,True,False,False,True
user_4,A,2,2,0,0,True,False,False,True
user_4,B,4,4,0,0,True,False,False,True
user_4,C,4,4,0,0,True,False,False,True
user_4,D,4,4,0,0,True,False,False,True
user_4,E,4,4,0,0,True,False,False,True
user_4,G,4,4,0,0,True,False,False,True
user_4,H,4,4,0,0,True,False,False,True
user_4,I,4,4,0,0,True,False,False,True
user_4,J,4,4,0,0,True,False,False,True
user_4,K,4,4,0,0,True,False,False,True
user_4,L,3,3,0,0,True,False,False,True
user_4,X,3,3,0,0,True,False,False,True
user_5,A,4,0,4,0,False,True,False,True
user_5,B,4,0,4,0,False,True,False,True
user_5,C,4,0,4,0,False,True,False,True
user_5,D,4,0,4,0,False,True,False,True
user_5,E,4,0,4,0,False,True,False,True
user_5,G,2,0,2,0,False,True,False,True
user_5,H,4,0,4,0,False,True,False,True
user_5,I,4,0,4,0,False,True,False,True
user_5,J,4,0,4,0,False,True,False,True
user_5,K,2,0,2,0,False,True,False,True
user_5,L,2,0,2,0,False,True,False,True
user_5,X,4,0,4,0,False,True,False,True
user_6,A,3,0,0,3,False,False,True,False
user_6,B,5,0,0,5,False,False,True,False
user_6,C,4,0,0,4,False,False,True,False
user_6,D,5,0,0,5,False,False,True,False
user_6,E,5,0,0,5,False,False,True,False
user_6,G,2,0,0,2,False,False,True,False
user_6,H,5,0,0,5,False,False,True,False
user_6,I,5,0,0,5,False,False,True,False
user_6,J,4,0,0,4,False,False,True,False
user_6,K,5,0,0,5,False,False,True,False
user_6,L,3,0,0,3,False,False,True,False
user_6,X,4,0,0,4,False,False,True,False
user_7,A,4,0,4,0,False,True,False,True
user_7,B,5,0,5,0,False,True,False,True
user_7,C,5,0,5,0,False,True,False,True
user_7,D,4,0,4,0,False,True,False,True
user_7,E,5,0,5,0,False,True,False,True
user_7,G,5,0,5,0,False,True,False,True
user_7,H,5,0,5,0,False,True,False,True
user_7,I,5,0,5,0,False,True,False,True
user_7,J,5,0,5,0,False,True,False,True
user_7,K,5,0,5,0,False,True,False,True
user_7,L,4,0,4,0,False,True,False,True
user_7,X,3,0,3,0,False,True,False,True
user_8,A,4,0,4,0,False,True,False,True
user_8,B,4,0,4,0,False,True,False,True
user_8,C,4,0,4,0,False,True,False,True
user_8,D,4,0,4,0,False,True,False,True
user_8,E,4,0,4,0,False,True,False,True
user_8,G,4,0,4,0,False,True,False,True
user_8,H,4,0,4,0,False,True,False,True
user_8,I,4,0,4,0,False,True,False,True
user_8,J,3,0,3,0,False,True,False,True
user_8,K,4,0,4,0,False,True,False,True
user_8,L,2,0,2,0,False,True,False,True
user_8,X,2,0,2,0,False,True,False,True
user_9,A,2,2,0,0,True,False,False,True
user_9,B,4,4,0,0,True,False,False,True
user_9,C,4,4,0,0,True,False,False,True
user_9,D,3,3,0,0,True,False,False,True
user_9,E,4,4,0,0,True,False,False,True
user_9,G,2,2,0,0,True,False,False,True
user_9,H,4,4,0,0,True,False,False,True
user_9,I,3,3,0,0,True,False,False,True
user_9,J,4,4,0,0,True,False,False,True
user_9,K,4,4,0,0,True,False,False,True
user_9,L,2,2,0,0,True,False,False,True
user_9,X,4,4,0,0,True,False,False,True
