architecture,objective,seed,interaction_reg_delta_multi_h_minus_binary
short_mid_long,whole_count_ce,11,0.04984876234876236
short_mid_long,whole_count_ce,23,-0.007406482406482312
short_mid_long,whole_count_ce,37,0.016763791763791794
short_mid_long,whole_count_ce,53,0.03445859695859688
short_mid_long,whole_count_ce,71,0.04967740592740591
short_mid_long,timestep_ce,11,-0.02813852813852813
short_mid_long,timestep_ce,23,-0.024675324675324656
short_mid_long,timestep_ce,37,0.03603896103896109
short_mid_long,timestep_ce,53,-0.0002997002997003062
short_mid_long,timestep_ce,71,-0.0024891774891774854
short_mid,whole_count_ce,11,-0.034299034299034414
short_mid,whole_count_ce,23,0.06978785103785107
short_mid,whole_count_ce,37,0.040503246753246736
short_mid,whole_count_ce,53,-0.014380758130758176
short_mid,whole_count_ce,71,0.05157412032412029
short_mid,timestep_ce,11,-0.02887112887112875
short_mid,timestep_ce,23,0.031843156843156806
short_mid,timestep_ce,37,-0.013406732156732215
short_mid,timestep_ce,53,0.002879065379065515
short_mid,timestep_ce,71,-0.045970695970695974
mid_long,whole_count_ce,11,-0.021487540237540237
mid_long,whole_count_ce,23,-0.011686230436230516
mid_long,whole_count_ce,37,-0.035898823398823554
mid_long,whole_count_ce,53,-0.04967740592740588
mid_long,whole_count_ce,71,0.021329365079365115
mid_long,timestep_ce,11,0.10523989898989894
mid_long,timestep_ce,23,0.13553668553668557
mid_long,timestep_ce,37,0.0010281385281385447
mid_long,timestep_ce,53,0.026973026973026948
mid_long,timestep_ce,71,0.015043290043290025
